units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,2015.8758,1413.8828,1413882.7594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,0.7594,0.0008
1,2015.9209,1413.9279,1413927.8594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,45.8594,0.0459
1,2016.0442,1414.0512,1414051.1594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,169.1594,0.1692
1,2016.1679,1414.1749,1414174.8594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,292.8594,0.2929
1,2016.2043,1414.2113,1414211.2594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,329.2594,0.3293
1,2016.2772,1414.2842,1414284.1594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,402.1594,0.4022
1,2016.3365,1414.3435,1414343.4594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,461.4594,0.4615
1,2016.4149,1414.4219,1414421.8594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,539.8594,0.5399
1,2016.5903,1414.5973,1414597.2594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,715.2594,0.7153
1,2016.6809,1414.6879,1414687.8594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,805.8594,0.8059
1,2016.7928,1414.7998,1414799.7594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,917.7594,0.9178
1,2016.8803,1414.8873,1414887.2594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,1005.2594,1.0053
1,2017.0406,1415.0476,1415047.5594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,1165.5594,1.1656
1,2017.2653,1415.2723,1415272.2594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,1390.2594,1.3903
1,2017.3986,1415.4056,1415405.5594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,1523.5594,1.5236
1,2017.4860,1415.4930,1415492.9594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,1610.9594,1.6110
1,2017.5936,1415.6006,1415600.5594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,1718.5594,1.7186
1,980.4742,378.4812,378481.1594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,387.1594,0.3872
1,980.6627,378.6697,378669.6594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,575.6594,0.5757
1,980.9647,378.9717,378971.6594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,877.6594,0.8777
1,981.0461,379.0531,379053.0594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,959.0594,0.9591
1,981.2369,379.2439,379243.8594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1149.8594,1.1499
1,981.5470,379.5540,379553.9594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1459.9594,1.4600
1,741.5240,139.5310,139530.9594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,64.9594,0.0650
1,741.6006,139.6076,139607.5594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,141.5594,0.1416
1,741.6755,139.6825,139682.4594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,216.4594,0.2165
1,741.7150,139.7220,139721.9594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,255.9594,0.2560
1,741.8179,139.8249,139824.8594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,358.8594,0.3589
1,741.8561,139.8631,139863.0594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,397.0594,0.3971
1,741.9364,139.9434,139943.3594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,477.3594,0.4774
1,741.9903,139.9973,139997.2594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,531.2594,0.5313
1,742.0980,140.1050,140104.9594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,638.9594,0.6390
1,1592.8224,990.8294,990829.3594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,51.3594,0.0514
1,1592.8963,990.9033,990903.2594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,125.2594,0.1253
1,1593.0026,991.0096,991009.5594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,231.5594,0.2316
1,1593.2055,991.2125,991212.4594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,434.4594,0.4345
1,1593.3776,991.3846,991384.5594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,606.5594,0.6066
1,1593.4625,991.4695,991469.4594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,691.4594,0.6915
1,1593.5605,991.5675,991567.4594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,789.4594,0.7895
1,1593.6406,991.6476,991647.5594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,869.5594,0.8696
1,1593.7499,991.7569,991756.8594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,978.8594,0.9789
1,1594.0720,992.0790,992078.9594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1300.9594,1.3010
1,1594.1479,992.1549,992154.8594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1376.8594,1.3769
1,1594.2850,992.2920,992291.9594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1513.9594,1.5140
1,1594.3447,992.3517,992351.6594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1573.6594,1.5737
1,1594.4309,992.4379,992437.8594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1659.8594,1.6599
1,1594.5231,992.5301,992530.0594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1752.0594,1.7521
1,1594.6327,992.6397,992639.6594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1861.6594,1.8617
1,1594.9106,992.9176,992917.5594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2139.5594,2.1396
1,1594.9538,992.9608,992960.7594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2182.7594,2.1828
1,1595.1299,993.1369,993136.8594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2358.8594,2.3589
