units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,2015.9527,1413.9597,1413959.6594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,77.6594,0.0777
1,2015.9730,1413.9800,1413979.9594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,97.9594,0.0980
1,2015.9823,1413.9893,1413989.2594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,107.2594,0.1073
1,2016.0132,1414.0202,1414020.1594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,138.1594,0.1382
1,2017.0390,1415.0460,1415045.9594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,1163.9594,1.1640
1,2017.1596,1415.1666,1415166.5594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,1284.5594,1.2846
1,2017.2934,1415.3004,1415300.3594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,1418.3594,1.4184
1,2017.5098,1415.5168,1415516.7594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,1634.7594,1.6348
1,2017.5267,1415.5337,1415533.6594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,1651.6594,1.6517
1,980.4205,378.4275,378427.4594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,333.4594,0.3335
1,980.5841,378.5911,378591.0594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,497.0594,0.4971
1,981.5772,379.5842,379584.1594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1490.1594,1.4902
1,981.5814,379.5884,379588.3594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1494.3594,1.4944
1,981.6853,379.6923,379692.2594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1598.2594,1.5983
1,981.6998,379.7068,379706.7594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1612.7594,1.6128
1,741.4941,139.5011,139501.0594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,35.0594,0.0351
1,741.5605,139.5675,139567.4594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,101.4594,0.1015
1,741.5659,139.5729,139572.8594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,106.8594,0.1069
1,741.6205,139.6275,139627.4594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,161.4594,0.1615
1,742.3125,140.3195,140319.4594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,853.4594,0.8535
1,1592.8069,990.8139,990813.8594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,35.8594,0.0359
1,1593.1593,991.1663,991166.2594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,388.2594,0.3883
1,1593.6450,991.6520,991651.9594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,873.9594,0.8740
1,1593.6583,991.6653,991665.2594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,887.2594,0.8873
1,1593.7088,991.7158,991715.7594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,937.7594,0.9378
1,1593.8029,991.8099,991809.8594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1031.8594,1.0319
1,1594.0749,992.0819,992081.8594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1303.8594,1.3039
