units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,741.4831,139.4901,139490.0594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,24.0594,0.0241
2,813.0270,211.0340,211033.9594,10,1.0-209934-212143,126.0000,1.0000,1,8,True,209934.0000,212143.0000,1099.9594,1.1000
2,1093.7427,491.7497,491749.6594,11,1.0-491435-493165,257.0000,1.0000,0,24,True,491435.0000,493165.0000,314.6594,0.3147
2,1094.0829,492.0899,492089.8594,11,1.0-491435-493165,257.0000,1.0000,0,24,True,491435.0000,493165.0000,654.8594,0.6549
2,1601.1511,999.1581,999158.0594,14,1.0-998686-999526,429.0000,1.0000,1,11,True,998686.0000,999526.0000,472.0594,0.4721
2,1126.6989,524.7059,524705.8594,22,1.0-522899-527908,267.0000,1.0000,1,16,True,522899.0000,527908.0000,1806.8594,1.8069
2,1126.9684,524.9754,524975.3594,22,1.0-522899-527908,267.0000,1.0000,1,16,True,522899.0000,527908.0000,2076.3594,2.0764
2,1311.9057,709.9127,709912.6594,23,1.0-708909-710939,330.0000,1.0000,1,17,True,708909.0000,710939.0000,1003.6594,1.0037
2,2614.6242,2012.6312,2012631.1594,26,1.0-2010651-2012831,835.0000,1.0000,0,28,True,2010651.0000,2012831.0000,1980.1594,1.9802
2,1413.8824,811.8894,811889.3594,27,1.0-809205-812075,358.0000,1.0000,0,29,True,809205.0000,812075.0000,2684.3594,2.6844
2,1413.9450,811.9520,811951.9594,27,1.0-809205-812075,358.0000,1.0000,0,29,True,809205.0000,812075.0000,2746.9594,2.7470
