bin_10s,spike_count,firing_rate_hz
0,26,2.6
1,4,0.4
2,8,0.8
3,20,2.0
4,13,1.3
5,10,1.0
6,8,0.8
7,6,0.6
8,10,1.0
9,45,4.5
10,24,2.4
11,20,2.0
12,11,1.1
13,7,0.7
14,18,1.8
15,18,1.8
16,19,1.9
17,14,1.4
18,11,1.1
19,16,1.6
20,25,2.5
21,23,2.3
22,12,1.2
23,7,0.7
24,12,1.2
25,14,1.4
26,18,1.8
27,10,1.0
28,14,1.4
29,14,1.4
30,14,1.4
31,21,2.1
32,11,1.1
33,13,1.3
34,11,1.1
35,20,2.0
36,13,1.3
37,17,1.7
38,9,0.9
39,12,1.2
40,20,2.0
41,11,1.1
42,24,2.4
43,23,2.3
44,6,0.6
45,14,1.4
46,13,1.3
47,12,1.2
48,6,0.6
49,13,1.3
50,7,0.7
51,15,1.5
52,10,1.0
53,8,0.8
54,9,0.9
55,5,0.5
56,2,0.2
57,22,2.2
58,9,0.9
59,8,0.8
60,17,1.7
61,6,0.6
62,13,1.3
63,11,1.1
64,14,1.4
65,13,1.3
66,37,3.7
67,21,2.1
68,3,0.3
69,18,1.8
70,15,1.5
71,41,4.1
72,9,0.9
73,10,1.0
74,23,2.3
75,10,1.0
76,14,1.4
77,18,1.8
78,31,3.1
79,28,2.8
80,8,0.8
81,11,1.1
82,17,1.7
83,19,1.9
84,15,1.5
85,6,0.6
86,9,0.9
87,15,1.5
88,18,1.8
89,8,0.8
90,20,2.0
91,30,3.0
92,33,3.3
93,20,2.0
94,9,0.9
95,15,1.5
96,11,1.1
97,17,1.7
98,17,1.7
99,15,1.5
100,8,0.8
101,23,2.3
102,1,0.1
103,15,1.5
104,10,1.0
105,13,1.3
106,16,1.6
107,38,3.8
108,8,0.8
109,8,0.8
110,13,1.3
111,15,1.5
112,29,2.9
113,9,0.9
114,14,1.4
115,8,0.8
116,3,0.3
117,11,1.1
118,11,1.1
119,18,1.8
120,24,2.4
121,12,1.2
122,15,1.5
123,13,1.3
124,12,1.2
125,11,1.1
126,4,0.4
127,10,1.0
128,25,2.5
129,22,2.2
130,5,0.5
131,13,1.3
132,11,1.1
133,13,1.3
134,30,3.0
135,28,2.8
136,9,0.9
137,20,2.0
138,19,1.9
139,20,2.0
140,11,1.1
141,5,0.5
142,12,1.2
143,9,0.9
144,17,1.7
145,17,1.7
146,5,0.5
147,4,0.4
148,6,0.6
149,17,1.7
150,8,0.8
151,7,0.7
152,15,1.5
153,8,0.8
154,17,1.7
155,4,0.4
156,6,0.6
157,8,0.8
158,12,1.2
159,7,0.7
160,14,1.4
161,22,2.2
162,11,1.1
163,14,1.4
164,2,0.2
165,15,1.5
166,12,1.2
167,19,1.9
168,18,1.8
169,18,1.8
170,18,1.8
171,10,1.0
172,16,1.6
173,21,2.1
174,6,0.6
175,8,0.8
176,13,1.3
177,24,2.4
178,8,0.8
179,9,0.9
180,15,1.5
181,10,1.0
182,9,0.9
183,7,0.7
184,30,3.0
185,1,0.1
186,5,0.5
187,23,2.3
188,18,1.8
189,8,0.8
190,10,1.0
191,14,1.4
192,4,0.4
193,10,1.0
194,6,0.6
195,12,1.2
196,28,2.8
197,12,1.2
198,20,2.0
199,8,0.8
200,10,1.0
201,9,0.9
202,11,1.1
203,10,1.0
204,8,0.8
205,11,1.1
206,11,1.1
207,19,1.9
208,11,1.1
209,6,0.6
210,14,1.4
211,11,1.1
212,14,1.4
213,14,1.4
214,7,0.7
215,8,0.8
216,3,0.3
