bin_10s,spike_count,firing_rate_hz
0,280,28.0
1,294,29.4
2,310,31.0
3,291,29.1
4,251,25.1
5,285,28.5
6,255,25.5
7,302,30.2
8,279,27.9
9,277,27.7
10,276,27.6
11,248,24.8
12,260,26.0
13,255,25.5
14,310,31.0
15,258,25.8
16,268,26.8
17,242,24.2
18,247,24.7
19,274,27.4
20,274,27.4
21,265,26.5
22,255,25.5
23,256,25.6
24,231,23.1
25,267,26.7
26,250,25.0
27,267,26.7
28,258,25.8
29,250,25.0
30,243,24.3
31,260,26.0
32,262,26.2
33,237,23.7
34,267,26.7
35,237,23.7
36,221,22.1
37,253,25.3
38,217,21.7
39,222,22.2
40,245,24.5
41,213,21.3
42,219,21.9
43,243,24.3
44,222,22.2
45,232,23.2
46,223,22.3
47,216,21.6
48,220,22.0
49,239,23.9
50,242,24.2
51,232,23.2
52,233,23.3
53,270,27.0
54,251,25.1
55,289,28.9
56,269,26.9
57,280,28.0
58,256,25.6
59,254,25.4
60,224,22.4
61,231,23.1
62,233,23.3
63,276,27.6
64,291,29.1
65,271,27.1
66,265,26.5
67,253,25.3
68,224,22.4
69,244,24.4
70,238,23.8
71,239,23.9
72,231,23.1
73,244,24.4
74,240,24.0
75,243,24.3
76,289,28.9
77,273,27.3
78,267,26.7
79,266,26.6
80,246,24.6
81,224,22.4
82,262,26.2
83,260,26.0
84,225,22.5
85,262,26.2
86,239,23.9
87,272,27.2
88,286,28.6
89,273,27.3
90,290,29.0
91,227,22.7
92,276,27.6
93,233,23.3
94,265,26.5
95,265,26.5
96,288,28.8
97,262,26.2
98,271,27.1
99,259,25.9
100,302,30.2
101,265,26.5
102,235,23.5
103,221,22.1
104,238,23.8
105,252,25.2
106,275,27.5
107,123,12.3
108,248,24.8
109,254,25.4
110,247,24.7
111,262,26.2
112,251,25.1
113,256,25.6
114,261,26.1
115,268,26.8
116,269,26.9
117,265,26.5
118,327,32.7
119,364,36.4
120,323,32.3
121,274,27.4
122,274,27.4
123,265,26.5
124,311,31.1
125,256,25.6
126,277,27.7
127,314,31.4
128,247,24.7
129,306,30.6
130,247,24.7
131,314,31.4
132,282,28.2
133,296,29.6
134,268,26.8
135,238,23.8
136,249,24.9
137,271,27.1
138,253,25.3
139,241,24.1
140,272,27.2
141,201,20.1
142,265,26.5
143,265,26.5
144,270,27.0
145,304,30.4
146,305,30.5
147,261,26.1
148,250,25.0
149,265,26.5
150,274,27.4
151,259,25.9
152,270,27.0
153,206,20.6
154,265,26.5
155,242,24.2
156,229,22.9
157,281,28.1
158,227,22.7
159,222,22.2
160,268,26.8
161,260,26.0
162,244,24.4
163,297,29.7
164,233,23.3
165,271,27.1
166,251,25.1
167,242,24.2
168,265,26.5
169,266,26.6
170,270,27.0
171,285,28.5
172,251,25.1
173,245,24.5
174,264,26.4
175,242,24.2
176,222,22.2
177,245,24.5
178,232,23.2
179,246,24.6
180,204,20.4
181,255,25.5
182,261,26.1
183,225,22.5
184,233,23.3
185,264,26.4
186,311,31.1
187,250,25.0
188,232,23.2
189,249,24.9
190,254,25.4
191,232,23.2
192,257,25.7
193,263,26.3
194,249,24.9
195,250,25.0
196,84,8.4
197,263,26.3
198,173,17.3
199,173,17.3
200,239,23.9
201,273,27.3
202,266,26.6
203,248,24.8
204,260,26.0
205,313,31.3
206,290,29.0
207,237,23.7
208,250,25.0
209,292,29.2
210,272,27.2
211,274,27.4
212,294,29.4
213,281,28.1
214,303,30.3
215,274,27.4
216,118,11.8
