bin_10s,spike_count,firing_rate_hz
0,4,0.4
1,0,0.0
2,4,0.4
3,3,0.3
4,4,0.4
5,3,0.3
6,3,0.3
7,14,1.4
8,3,0.3
9,7,0.7
10,4,0.4
11,1,0.1
12,1,0.1
13,1,0.1
14,1,0.1
15,6,0.6
16,4,0.4
17,0,0.0
18,3,0.3
19,1,0.1
20,1,0.1
21,1,0.1
22,0,0.0
23,3,0.3
24,2,0.2
25,2,0.2
26,3,0.3
27,3,0.3
28,1,0.1
29,1,0.1
30,3,0.3
31,0,0.0
32,2,0.2
33,1,0.1
34,4,0.4
35,4,0.4
36,0,0.0
37,6,0.6
38,5,0.5
39,0,0.0
40,1,0.1
41,0,0.0
42,2,0.2
43,1,0.1
44,1,0.1
45,1,0.1
46,4,0.4
47,1,0.1
48,1,0.1
49,0,0.0
50,3,0.3
51,5,0.5
52,2,0.2
53,5,0.5
54,3,0.3
55,1,0.1
56,0,0.0
57,0,0.0
58,0,0.0
59,1,0.1
60,0,0.0
61,2,0.2
62,0,0.0
63,1,0.1
64,0,0.0
65,2,0.2
66,1,0.1
67,3,0.3
68,0,0.0
69,0,0.0
70,2,0.2
71,0,0.0
72,1,0.1
73,0,0.0
74,0,0.0
75,0,0.0
76,1,0.1
77,1,0.1
78,0,0.0
79,0,0.0
80,1,0.1
81,3,0.3
82,0,0.0
83,0,0.0
84,1,0.1
85,5,0.5
86,0,0.0
87,0,0.0
88,1,0.1
89,1,0.1
90,4,0.4
91,1,0.1
92,1,0.1
93,4,0.4
94,0,0.0
95,2,0.2
96,0,0.0
97,0,0.0
98,1,0.1
99,6,0.6
100,5,0.5
101,0,0.0
102,0,0.0
103,2,0.2
104,4,0.4
105,6,0.6
106,8,0.8
107,2,0.2
108,5,0.5
109,1,0.1
110,1,0.1
111,0,0.0
112,3,0.3
113,2,0.2
114,4,0.4
115,4,0.4
116,3,0.3
117,4,0.4
118,5,0.5
119,2,0.2
120,5,0.5
121,3,0.3
122,3,0.3
123,1,0.1
124,0,0.0
125,2,0.2
126,5,0.5
127,5,0.5
128,2,0.2
129,1,0.1
130,0,0.0
131,7,0.7
132,5,0.5
133,4,0.4
134,5,0.5
135,0,0.0
136,1,0.1
137,2,0.2
138,2,0.2
139,4,0.4
140,6,0.6
141,3,0.3
142,2,0.2
143,0,0.0
144,1,0.1
145,0,0.0
146,7,0.7
147,1,0.1
148,6,0.6
149,2,0.2
150,0,0.0
151,1,0.1
152,3,0.3
153,8,0.8
154,5,0.5
155,3,0.3
156,3,0.3
157,3,0.3
158,2,0.2
159,9,0.9
160,1,0.1
161,0,0.0
162,3,0.3
163,0,0.0
164,9,0.9
165,2,0.2
166,1,0.1
167,2,0.2
168,5,0.5
169,3,0.3
170,2,0.2
171,2,0.2
172,0,0.0
173,4,0.4
174,4,0.4
175,2,0.2
176,3,0.3
177,7,0.7
178,2,0.2
179,2,0.2
180,3,0.3
181,4,0.4
182,2,0.2
183,1,0.1
184,2,0.2
185,8,0.8
186,3,0.3
187,2,0.2
188,6,0.6
189,1,0.1
190,0,0.0
191,1,0.1
192,5,0.5
193,4,0.4
194,2,0.2
195,2,0.2
196,5,0.5
197,6,0.6
198,0,0.0
199,1,0.1
200,2,0.2
201,4,0.4
202,2,0.2
203,2,0.2
204,1,0.1
205,3,0.3
206,3,0.3
207,4,0.4
208,1,0.1
209,1,0.1
210,2,0.2
211,3,0.3
212,0,0.0
213,6,0.6
214,1,0.1
215,0,0.0
216,1,0.1
