bin_10s,spike_count,firing_rate_hz
0,20,2.0
1,28,2.8
2,7,0.7
3,2,0.2
4,7,0.7
5,14,1.4
6,16,1.6
7,17,1.7
8,9,0.9
9,15,1.5
10,9,0.9
11,2,0.2
12,11,1.1
13,9,0.9
14,28,2.8
15,11,1.1
16,25,2.5
17,15,1.5
18,10,1.0
19,4,0.4
20,9,0.9
21,12,1.2
22,25,2.5
23,11,1.1
24,1,0.1
25,3,0.3
26,3,0.3
27,12,1.2
28,13,1.3
29,5,0.5
30,20,2.0
31,26,2.6
32,18,1.8
33,5,0.5
34,8,0.8
35,7,0.7
36,31,3.1
37,15,1.5
38,24,2.4
39,23,2.3
40,25,2.5
41,3,0.3
42,12,1.2
43,8,0.8
44,7,0.7
45,0,0.0
46,11,1.1
47,24,2.4
48,3,0.3
49,8,0.8
50,2,0.2
51,5,0.5
52,6,0.6
53,9,0.9
54,22,2.2
55,26,2.6
56,11,1.1
57,12,1.2
58,16,1.6
59,9,0.9
60,1,0.1
61,8,0.8
62,26,2.6
63,9,0.9
64,5,0.5
65,6,0.6
66,7,0.7
67,7,0.7
68,17,1.7
69,34,3.4
70,27,2.7
71,9,0.9
72,8,0.8
73,3,0.3
74,15,1.5
75,13,1.3
76,8,0.8
77,16,1.6
78,25,2.5
79,14,1.4
80,3,0.3
81,10,1.0
82,10,1.0
83,15,1.5
84,5,0.5
85,14,1.4
86,2,0.2
87,9,0.9
88,14,1.4
89,7,0.7
90,11,1.1
91,13,1.3
92,35,3.5
93,23,2.3
94,15,1.5
95,26,2.6
96,3,0.3
97,10,1.0
98,16,1.6
99,2,0.2
100,5,0.5
101,28,2.8
102,12,1.2
103,10,1.0
104,19,1.9
105,0,0.0
106,0,0.0
107,5,0.5
108,6,0.6
109,16,1.6
110,8,0.8
111,19,1.9
112,14,1.4
113,15,1.5
114,19,1.9
115,2,0.2
116,3,0.3
117,9,0.9
118,3,0.3
119,5,0.5
120,1,0.1
121,8,0.8
122,18,1.8
123,7,0.7
124,3,0.3
125,1,0.1
126,14,1.4
127,14,1.4
128,12,1.2
129,10,1.0
130,16,1.6
131,18,1.8
132,3,0.3
133,2,0.2
134,1,0.1
135,3,0.3
136,10,1.0
137,7,0.7
138,9,0.9
139,7,0.7
140,9,0.9
141,15,1.5
142,4,0.4
143,10,1.0
144,5,0.5
145,4,0.4
146,7,0.7
147,2,0.2
148,13,1.3
149,30,3.0
150,13,1.3
151,1,0.1
152,8,0.8
153,10,1.0
154,5,0.5
155,2,0.2
156,2,0.2
157,4,0.4
158,9,0.9
159,11,1.1
160,7,0.7
161,12,1.2
162,19,1.9
163,7,0.7
164,9,0.9
165,1,0.1
166,6,0.6
167,10,1.0
168,8,0.8
169,7,0.7
170,8,0.8
171,6,0.6
172,2,0.2
173,1,0.1
174,8,0.8
175,2,0.2
176,5,0.5
177,7,0.7
178,4,0.4
179,3,0.3
180,1,0.1
181,24,2.4
182,11,1.1
183,10,1.0
184,6,0.6
185,17,1.7
186,15,1.5
187,9,0.9
188,14,1.4
189,8,0.8
190,6,0.6
191,21,2.1
192,5,0.5
193,4,0.4
194,7,0.7
195,12,1.2
196,8,0.8
197,10,1.0
198,14,1.4
199,4,0.4
200,6,0.6
201,6,0.6
202,10,1.0
203,7,0.7
204,3,0.3
205,2,0.2
206,2,0.2
207,11,1.1
208,5,0.5
209,5,0.5
210,9,0.9
211,21,2.1
212,3,0.3
213,1,0.1
214,10,1.0
215,19,1.9
216,2,0.2
