bin_10s,spike_count,firing_rate_hz
0,12,1.2
1,5,0.5
2,11,1.1
3,12,1.2
4,11,1.1
5,3,0.3
6,11,1.1
7,13,1.3
8,4,0.4
9,7,0.7
10,8,0.8
11,7,0.7
12,18,1.8
13,1,0.1
14,10,1.0
15,13,1.3
16,15,1.5
17,12,1.2
18,5,0.5
19,8,0.8
20,17,1.7
21,33,3.3
22,40,4.0
23,13,1.3
24,27,2.7
25,11,1.1
26,27,2.7
27,1,0.1
28,12,1.2
29,15,1.5
30,18,1.8
31,12,1.2
32,13,1.3
33,31,3.1
34,31,3.1
35,29,2.9
36,25,2.5
37,24,2.4
38,12,1.2
39,21,2.1
40,25,2.5
41,12,1.2
42,31,3.1
43,12,1.2
44,26,2.6
45,18,1.8
46,48,4.8
47,15,1.5
48,20,2.0
49,25,2.5
50,41,4.1
51,22,2.2
52,15,1.5
53,4,0.4
54,32,3.2
55,68,6.8
56,34,3.4
57,18,1.8
58,9,0.9
59,12,1.2
60,14,1.4
61,10,1.0
62,13,1.3
63,25,2.5
64,70,7.0
65,4,0.4
66,14,1.4
67,30,3.0
68,11,1.1
69,11,1.1
70,23,2.3
71,9,0.9
72,30,3.0
73,25,2.5
74,22,2.2
75,10,1.0
76,7,0.7
77,18,1.8
78,6,0.6
79,41,4.1
80,18,1.8
81,5,0.5
82,20,2.0
83,31,3.1
84,37,3.7
85,71,7.1
86,19,1.9
87,13,1.3
88,20,2.0
89,33,3.3
90,31,3.1
91,15,1.5
92,12,1.2
93,33,3.3
94,21,2.1
95,36,3.6
96,22,2.2
97,14,1.4
98,4,0.4
99,22,2.2
100,19,1.9
101,23,2.3
102,14,1.4
103,13,1.3
104,20,2.0
105,63,6.3
106,74,7.4
107,8,0.8
108,10,1.0
109,17,1.7
110,34,3.4
111,8,0.8
112,9,0.9
113,6,0.6
114,32,3.2
115,59,5.9
116,67,6.7
117,28,2.8
118,16,1.6
119,17,1.7
120,25,2.5
121,36,3.6
122,32,3.2
123,13,1.3
124,32,3.2
125,69,6.9
126,120,12.0
127,58,5.8
128,8,0.8
129,36,3.6
130,8,0.8
131,18,1.8
132,18,1.8
133,18,1.8
134,22,2.2
135,15,1.5
136,27,2.7
137,13,1.3
138,11,1.1
139,23,2.3
140,11,1.1
141,13,1.3
142,5,0.5
143,15,1.5
144,14,1.4
145,33,3.3
146,26,2.6
147,1,0.1
148,16,1.6
149,3,0.3
150,1,0.1
151,3,0.3
152,7,0.7
153,3,0.3
154,25,2.5
155,14,1.4
156,11,1.1
157,21,2.1
158,13,1.3
159,8,0.8
160,4,0.4
161,5,0.5
162,4,0.4
163,19,1.9
164,18,1.8
165,16,1.6
166,32,3.2
167,15,1.5
168,12,1.2
169,23,2.3
170,20,2.0
171,12,1.2
172,21,2.1
173,24,2.4
174,10,1.0
175,14,1.4
176,27,2.7
177,6,0.6
178,13,1.3
179,12,1.2
180,41,4.1
181,19,1.9
182,39,3.9
183,50,5.0
184,17,1.7
185,42,4.2
186,37,3.7
187,12,1.2
188,38,3.8
189,44,4.4
190,13,1.3
191,28,2.8
192,7,0.7
193,10,1.0
194,9,0.9
195,14,1.4
196,17,1.7
197,24,2.4
198,11,1.1
199,6,0.6
200,13,1.3
201,20,2.0
202,33,3.3
203,13,1.3
204,15,1.5
205,29,2.9
206,7,0.7
207,28,2.8
208,9,0.9
209,10,1.0
210,7,0.7
211,34,3.4
212,11,1.1
213,31,3.1
214,13,1.3
215,8,0.8
216,8,0.8
