bin_10s,spike_count,firing_rate_hz
0,18,1.8
1,24,2.4
2,20,2.0
3,30,3.0
4,25,2.5
5,16,1.6
6,15,1.5
7,21,2.1
8,16,1.6
9,22,2.2
10,26,2.6
11,16,1.6
12,30,3.0
13,22,2.2
14,26,2.6
15,22,2.2
16,20,2.0
17,19,1.9
18,14,1.4
19,19,1.9
20,18,1.8
21,15,1.5
22,21,2.1
23,21,2.1
24,13,1.3
25,26,2.6
26,27,2.7
27,21,2.1
28,22,2.2
29,15,1.5
30,11,1.1
31,10,1.0
32,16,1.6
33,22,2.2
34,23,2.3
35,20,2.0
36,27,2.7
37,24,2.4
38,13,1.3
39,22,2.2
40,15,1.5
41,24,2.4
42,19,1.9
43,9,0.9
44,25,2.5
45,17,1.7
46,21,2.1
47,26,2.6
48,22,2.2
49,18,1.8
50,21,2.1
51,16,1.6
52,24,2.4
53,17,1.7
54,11,1.1
55,19,1.9
56,21,2.1
57,29,2.9
58,22,2.2
59,22,2.2
60,25,2.5
61,29,2.9
62,22,2.2
63,23,2.3
64,27,2.7
65,19,1.9
66,23,2.3
67,30,3.0
68,26,2.6
69,27,2.7
70,16,1.6
71,16,1.6
72,15,1.5
73,22,2.2
74,23,2.3
75,19,1.9
76,20,2.0
77,19,1.9
78,26,2.6
79,18,1.8
80,26,2.6
81,34,3.4
82,34,3.4
83,28,2.8
84,11,1.1
85,22,2.2
86,20,2.0
87,15,1.5
88,20,2.0
89,24,2.4
90,20,2.0
91,19,1.9
92,12,1.2
93,20,2.0
94,20,2.0
95,20,2.0
96,15,1.5
97,21,2.1
98,26,2.6
99,18,1.8
100,9,0.9
101,12,1.2
102,7,0.7
103,13,1.3
104,16,1.6
105,17,1.7
106,16,1.6
107,15,1.5
108,22,2.2
109,32,3.2
110,22,2.2
111,20,2.0
112,18,1.8
113,22,2.2
114,12,1.2
115,20,2.0
116,13,1.3
117,22,2.2
118,18,1.8
119,28,2.8
120,18,1.8
121,19,1.9
122,20,2.0
123,34,3.4
124,17,1.7
125,19,1.9
126,20,2.0
127,24,2.4
128,18,1.8
129,23,2.3
130,26,2.6
131,32,3.2
132,24,2.4
133,17,1.7
134,15,1.5
135,22,2.2
136,25,2.5
137,20,2.0
138,18,1.8
139,16,1.6
140,20,2.0
141,25,2.5
142,24,2.4
143,19,1.9
144,24,2.4
145,16,1.6
146,17,1.7
147,14,1.4
148,13,1.3
149,11,1.1
150,23,2.3
151,17,1.7
152,14,1.4
153,22,2.2
154,27,2.7
155,16,1.6
156,16,1.6
157,23,2.3
158,26,2.6
159,35,3.5
160,18,1.8
161,13,1.3
162,15,1.5
163,18,1.8
164,9,0.9
165,6,0.6
166,15,1.5
167,9,0.9
168,21,2.1
169,16,1.6
170,16,1.6
171,23,2.3
172,19,1.9
173,21,2.1
174,18,1.8
175,14,1.4
176,26,2.6
177,24,2.4
178,14,1.4
179,16,1.6
180,12,1.2
181,12,1.2
182,11,1.1
183,16,1.6
184,9,0.9
185,13,1.3
186,14,1.4
187,11,1.1
188,15,1.5
189,8,0.8
190,21,2.1
191,20,2.0
192,24,2.4
193,16,1.6
194,14,1.4
195,18,1.8
196,7,0.7
197,17,1.7
198,13,1.3
199,17,1.7
200,17,1.7
201,16,1.6
202,25,2.5
203,16,1.6
204,26,2.6
205,20,2.0
206,10,1.0
207,19,1.9
208,20,2.0
209,27,2.7
210,9,0.9
211,20,2.0
212,20,2.0
213,20,2.0
214,18,1.8
215,17,1.7
216,2,0.2
