bin_10s,spike_count,firing_rate_hz
0,10,1.0
1,3,0.3
2,9,0.9
3,6,0.6
4,4,0.4
5,8,0.8
6,15,1.5
7,7,0.7
8,8,0.8
9,9,0.9
10,2,0.2
11,6,0.6
12,11,1.1
13,1,0.1
14,1,0.1
15,10,1.0
16,3,0.3
17,3,0.3
18,5,0.5
19,0,0.0
20,9,0.9
21,4,0.4
22,5,0.5
23,17,1.7
24,11,1.1
25,2,0.2
26,3,0.3
27,8,0.8
28,3,0.3
29,4,0.4
30,7,0.7
31,7,0.7
32,4,0.4
33,9,0.9
34,4,0.4
35,11,1.1
36,5,0.5
37,12,1.2
38,14,1.4
39,5,0.5
40,4,0.4
41,7,0.7
42,2,0.2
43,7,0.7
44,7,0.7
45,6,0.6
46,9,0.9
47,7,0.7
48,5,0.5
49,1,0.1
50,2,0.2
51,16,1.6
52,13,1.3
53,10,1.0
54,5,0.5
55,2,0.2
56,4,0.4
57,4,0.4
58,6,0.6
59,15,1.5
60,3,0.3
61,7,0.7
62,7,0.7
63,7,0.7
64,5,0.5
65,12,1.2
66,3,0.3
67,3,0.3
68,6,0.6
69,11,1.1
70,10,1.0
71,7,0.7
72,19,1.9
73,7,0.7
74,17,1.7
75,7,0.7
76,5,0.5
77,5,0.5
78,5,0.5
79,3,0.3
80,5,0.5
81,5,0.5
82,11,1.1
83,11,1.1
84,5,0.5
85,10,1.0
86,4,0.4
87,6,0.6
88,7,0.7
89,8,0.8
90,6,0.6
91,7,0.7
92,3,0.3
93,9,0.9
94,7,0.7
95,9,0.9
96,7,0.7
97,5,0.5
98,2,0.2
99,6,0.6
100,8,0.8
101,15,1.5
102,1,0.1
103,4,0.4
104,2,0.2
105,8,0.8
106,8,0.8
107,4,0.4
108,7,0.7
109,11,1.1
110,18,1.8
111,6,0.6
112,4,0.4
113,7,0.7
114,6,0.6
115,6,0.6
116,11,1.1
117,4,0.4
118,2,0.2
119,6,0.6
120,5,0.5
121,6,0.6
122,14,1.4
123,3,0.3
124,10,1.0
125,6,0.6
126,12,1.2
127,4,0.4
128,5,0.5
129,6,0.6
130,5,0.5
131,13,1.3
132,9,0.9
133,5,0.5
134,2,0.2
135,3,0.3
136,4,0.4
137,11,1.1
138,5,0.5
139,8,0.8
140,12,1.2
141,10,1.0
142,1,0.1
143,3,0.3
144,4,0.4
145,6,0.6
146,12,1.2
147,5,0.5
148,5,0.5
149,2,0.2
150,2,0.2
151,13,1.3
152,6,0.6
153,6,0.6
154,8,0.8
155,10,1.0
156,6,0.6
157,10,1.0
158,9,0.9
159,8,0.8
160,7,0.7
161,8,0.8
162,6,0.6
163,11,1.1
164,12,1.2
165,5,0.5
166,10,1.0
167,1,0.1
168,17,1.7
169,15,1.5
170,6,0.6
171,4,0.4
172,12,1.2
173,8,0.8
174,4,0.4
175,15,1.5
176,11,1.1
177,9,0.9
178,5,0.5
179,2,0.2
180,11,1.1
181,2,0.2
182,6,0.6
183,8,0.8
184,1,0.1
185,12,1.2
186,3,0.3
187,8,0.8
188,4,0.4
189,7,0.7
190,4,0.4
191,0,0.0
192,11,1.1
193,8,0.8
194,7,0.7
195,9,0.9
196,9,0.9
197,8,0.8
198,5,0.5
199,8,0.8
200,10,1.0
201,6,0.6
202,5,0.5
203,6,0.6
204,12,1.2
205,4,0.4
206,4,0.4
207,1,0.1
208,6,0.6
209,3,0.3
210,3,0.3
211,9,0.9
212,5,0.5
213,2,0.2
214,7,0.7
215,7,0.7
216,7,0.7
