bin_10s,spike_count,firing_rate_hz
0,1,0.1
1,1,0.1
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,7,0.7
7,2,0.2
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,2,0.2
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,2,0.2
22,1,0.1
23,0,0.0
24,0,0.0
25,1,0.1
26,1,0.1
27,1,0.1
28,0,0.0
29,1,0.1
30,2,0.2
31,0,0.0
32,2,0.2
33,0,0.0
34,2,0.2
35,5,0.5
36,1,0.1
37,0,0.0
38,2,0.2
39,1,0.1
40,1,0.1
41,2,0.2
42,3,0.3
43,0,0.0
44,4,0.4
45,1,0.1
46,2,0.2
47,10,1.0
48,4,0.4
49,7,0.7
50,5,0.5
51,5,0.5
52,3,0.3
53,13,1.3
54,4,0.4
55,2,0.2
56,4,0.4
57,2,0.2
58,0,0.0
59,3,0.3
60,1,0.1
61,0,0.0
62,0,0.0
63,0,0.0
64,1,0.1
65,2,0.2
66,0,0.0
67,0,0.0
68,1,0.1
69,1,0.1
70,2,0.2
71,0,0.0
72,0,0.0
73,0,0.0
74,0,0.0
75,2,0.2
76,0,0.0
77,0,0.0
78,0,0.0
79,0,0.0
80,0,0.0
81,3,0.3
82,0,0.0
83,0,0.0
84,0,0.0
85,1,0.1
86,0,0.0
87,0,0.0
88,3,0.3
89,1,0.1
90,3,0.3
91,0,0.0
92,1,0.1
93,1,0.1
94,0,0.0
95,0,0.0
96,0,0.0
97,0,0.0
98,0,0.0
99,3,0.3
100,1,0.1
101,0,0.0
102,0,0.0
103,0,0.0
104,1,0.1
105,0,0.0
106,0,0.0
107,2,0.2
108,0,0.0
109,1,0.1
110,0,0.0
111,0,0.0
112,0,0.0
113,0,0.0
114,4,0.4
115,0,0.0
116,2,0.2
117,0,0.0
118,1,0.1
119,0,0.0
120,0,0.0
121,0,0.0
122,1,0.1
123,0,0.0
124,0,0.0
125,0,0.0
126,3,0.3
127,0,0.0
128,0,0.0
129,1,0.1
130,1,0.1
131,1,0.1
132,0,0.0
133,1,0.1
134,2,0.2
135,0,0.0
136,0,0.0
137,1,0.1
138,0,0.0
139,0,0.0
140,0,0.0
141,1,0.1
142,0,0.0
143,0,0.0
144,1,0.1
145,0,0.0
146,2,0.2
147,0,0.0
148,3,0.3
149,0,0.0
150,2,0.2
151,0,0.0
152,0,0.0
153,3,0.3
154,0,0.0
155,0,0.0
156,1,0.1
157,1,0.1
158,0,0.0
159,4,0.4
160,0,0.0
161,0,0.0
162,1,0.1
163,1,0.1
164,4,0.4
165,1,0.1
166,2,0.2
167,0,0.0
168,0,0.0
169,0,0.0
170,2,0.2
171,1,0.1
172,3,0.3
173,1,0.1
174,0,0.0
175,1,0.1
176,0,0.0
177,2,0.2
178,0,0.0
179,0,0.0
180,0,0.0
181,2,0.2
182,1,0.1
183,3,0.3
184,1,0.1
185,3,0.3
186,0,0.0
187,0,0.0
188,0,0.0
189,1,0.1
190,2,0.2
191,1,0.1
192,5,0.5
193,1,0.1
194,0,0.0
195,1,0.1
196,0,0.0
197,0,0.0
198,0,0.0
199,1,0.1
200,1,0.1
201,1,0.1
202,0,0.0
203,0,0.0
204,0,0.0
205,0,0.0
206,0,0.0
207,0,0.0
208,0,0.0
209,0,0.0
210,1,0.1
211,0,0.0
212,0,0.0
213,2,0.2
214,1,0.1
215,1,0.1
216,1,0.1
