experimentPhase,trialNumber,startTag,cueEndTag,endTag,startTimeUnixSec,cueEndTimeUnixSec,endTimeUnixSec,startTimeMat,cueEndTimeMat,endTimeMat,trialNumberMat,movieID,clipID,response,trialStartTimePTB,trialEndTimePTB,reactionTimePTB,frameOn,frameOff,clipStartTime,clipEndTime,clipStartTimeMs,clipEndTimeMs,clipDurationMs,clipDurationSec,clipFrameRange,clipTimeRangeMs,clipWindowId,isAccurate,trialOrder,plotOrder,includeInPlots
recog_task,1,Trial start,,Trial end,1700608199.01719,,1700608206.07488,1168.369920385,,1175.427622905,1.0,1.0,560.0,2.0,21261.772316586,21268.830157452,5.01823630800209,42376.0,42432.0,1413.88181491891,1415.62123611889,1413882,1415621,1739,1.7394211999799154,42376-42432,1413882-1415621,1.0-1413882-1415621,1,1,1,True
recog_task,4,Trial start,,Trial end,1700608215.78672,,1700608219.57587,1185.14022652,,1188.929542616,4.0,1.0,210.0,2.0,21278.542154,21282.331277589,1.5770782360014,11332.0,11396.0,378.09393823534697,380.23384129268,378094,380234,2140,2.139903057333015,11332-11396,378094-380234,1.0-378094-380234,1,2,2,True
recog_task,5,Trial start,,Trial end,1700608219.61775,,1700608222.45753,1188.971425105,,1191.811333858,5.0,1.0,83.0,2.0,21282.373449969,21285.21329363,1.62850695000088,4180.0,4214.0,139.466348554867,140.58629781820005,139466,140586,1120,1.1199492633330408,4180-4214,139466-140586,1.0-139466-140586,1,3,3,True
recog_task,7,Trial start,,Trial end,1700608228.66581,,1700608234.94518,1198.019788247,,1204.299448509,7.0,1.0,427.0,2.0,21291.421493536,21297.701159567,3.31766864800011,29695.0,29782.0,990.778282377217,993.67815100655,990778,993678,2900,2.899868629333014,29695-29782,990778-993678,1.0-990778-993678,1,4,4,True
recog_task,8,Trial start,,Trial end,1700608234.98618,,1700608239.89687,1204.340464079,,1209.251346857,8.0,1.0,167.0,2.0,21297.742280456,21302.653059767,1.96637588600061,8840.0,8926.0,294.947971584933,297.82784112060006,294948,297828,2880,2.879869535667069,8840-8926,294948-297828,1.0-294948-297828,1,5,5,True
recog_task,10,Trial start,,Trial end,1700608248.75502,,1700608255.64023,1218.109794552,,1224.995317342,10.0,1.0,290.0,2.0,21311.511531305,21318.396973726,3.92480778199752,17581.0,17668.0,586.592792809357,589.49266143869,586593,589493,2900,2.899868629333014,17581-17668,586593-589493,1.0-586593-589493,1,6,6,True
recog_task,11,Trial start,,Trial end,1700608255.68083,,1700608263.05392,1225.03583661,,1232.409321688,11.0,1.0,600.0,1.0,21318.437720614,21325.811414942,4.85288101799961,44969.0,45043.0,1500.39766224014,1502.85755080181,1500398,1502858,2460,2.4598885616699135,44969-45043,1500398-1502858,1.0-1500398-1502858,0,7,22,True
recog_task,14,Trial start,,Trial end,1700608269.5571,,1700608274.80741,1238.912660682,,1244.163294935,14.0,1.0,22.0,1.0,21332.315018066,21337.564864751,2.68984406099844,1215.0,1290.0,40.53866351535,43.03855026535,40539,43039,2500,2.4998867499999946,1215-1290,40539-43039,1.0-40539-43039,0,8,23,True
recog_task,16,Trial start,,Trial end,1700608281.51819,,1700608284.34513,1250.874229208,,1253.701331424,16.0,1.0,477.0,2.0,21344.275938733,21347.103010609,0.709336372998223,34673.0,34735.0,1156.8700247471,1158.92993142877,1156870,1158930,2060,2.0599066816700997,34673-34735,1156870-1158930,1.0-1156870-1158930,1,9,7,True
recog_task,17,Trial start,,Trial end,1700608284.38532,,1700608288.84694,1253.741448758,,1258.203342302,17.0,1.0,126.0,2.0,21347.143189401,21351.60493995,2.19374109500131,6292.0,6358.0,209.93355624574698,212.14345613208002,209934,212143,2209,2.2098998863330337,6292-6358,209934-212143,1.0-209934-212143,1,10,8,True
