neuron_name,electrode_code,full_location,region_abbr
times_manual_GA1-RA1_unit_1,RA,Right-Amygdala,AMY
times_manual_GA1-RA2_unit_1,RA,Right-Amygdala,AMY
times_manual_GA1-RA3_unit_1,RA,Right-Amygdala,AMY
times_manual_GA1-RA5_unit_1,RA,Right-Amygdala,AMY
times_manual_GA1-RA6_unit_1,RA,Right-Amygdala,AMY
times_manual_GA2-RMH1_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA2-RMH2_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA2-RMH3_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA2-RMH3_unit_2,RMH,Right-Hippocampus,HPC
times_manual_GA2-RMH4_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA2-RMH5_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA2-RMH5_unit_2,RMH,Right-Hippocampus,HPC
times_manual_GA2-RMH7_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA2-RMH8_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA3-ROF2_unit_1,ROF,ctx-rh-medialorbitofrontal,FC
times_manual_GA3-ROF2_unit_2,ROF,ctx-rh-medialorbitofrontal,FC
times_manual_GA3-ROF3_unit_1,ROF,ctx-rh-medialorbitofrontal,FC
times_manual_GA4-RpSMAp1_unit_1,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp1_unit_2,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp1_unit_3,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp2_unit_1,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp2_unit_2,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp3_unit_1,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp3_unit_2,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp3_unit_3,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp3_unit_4,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp3_unit_5,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp3_unit_6,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp3_unit_7,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp4_unit_1,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp4_unit_2,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp5_unit_1,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp5_unit_2,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp6_unit_1,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp6_unit_2,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp7_unit_1,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp7_unit_2,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp8_unit_1,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GA4-RpSMAp8_unit_2,RPSMAP,ctx-rh-superiorfrontal,FC
times_manual_GB1-LA1_unit_1,LA,Left-Amygdala,AMY
times_manual_GB1-LA4_unit_1,LA,Left-Amygdala,AMY
times_manual_GB1-LA6_unit_1,LA,Left-Amygdala,AMY
times_manual_GB1-LA7_unit_1,LA,Left-Amygdala,AMY
times_manual_GB1-LA8_unit_1,LA,Left-Amygdala,AMY
times_manual_GB2-LAH4_unit_1,LAH,Left-Hippocampus,HPC
times_manual_GB3-LAC3_unit_1,LAC,ctx-lh-rostralanteriorcingulate,CC
times_manual_GB3-LAC4_unit_1,LAC,ctx-lh-rostralanteriorcingulate,CC
times_manual_GB3-LAC5_unit_1,LAC,ctx-lh-rostralanteriorcingulate,CC
times_manual_GB3-LAC8_unit_1,LAC,ctx-lh-rostralanteriorcingulate,CC
times_manual_GB4-LpSMA2_unit_1,LPSMA,ctx-lh-superiorfrontal,FC
times_manual_GB4-LpSMA3_unit_1,LPSMA,ctx-lh-superiorfrontal,FC
