units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,4109.5188,3.5978,3597.8000
1,4109.8806,3.9596,3959.6000
1,4114.1581,8.2371,8237.1000
1,4116.3773,10.4563,10456.3000
1,4116.7043,10.7833,10783.3000
1,4119.1315,13.2105,13210.5000
1,4131.1193,25.1983,25198.3000
1,4135.7088,29.7878,29787.8000
1,4138.2639,32.3429,32342.9000
1,4145.6185,39.6975,39697.5000
1,4160.2976,54.3766,54376.6000
1,4166.3028,60.3818,60381.8000
1,4169.6143,63.6933,63693.3000
1,4171.5919,65.6709,65670.9000
1,4190.7541,84.8331,84833.1000
1,4193.5987,87.6777,87677.7000
1,4194.5527,88.6317,88631.7000
1,4209.1912,103.2702,103270.2000
1,4214.1943,108.2733,108273.3000
1,4223.3778,117.4568,117456.8000
1,4240.5172,134.5962,134596.2000
1,4253.3745,147.4535,147453.5000
1,4253.9583,148.0373,148037.3000
1,4259.3077,153.3867,153386.7000
1,4266.6730,160.7520,160752.0000
1,4271.2092,165.2882,165288.2000
1,4275.4418,169.5208,169520.8000
1,4288.5881,182.6671,182667.1000
1,4289.8656,183.9446,183944.6000
1,4299.1626,193.2416,193241.6000
1,4319.3266,213.4056,213405.6000
1,4335.1740,229.2530,229253.0000
1,4349.2983,243.3773,243377.3000
1,4352.6185,246.6975,246697.5000
1,4390.0125,284.0915,284091.5000
1,4390.2617,284.3407,284340.7000
1,4392.7854,286.8644,286864.4000
1,4393.8793,287.9583,287958.3000
1,4404.3313,298.4103,298410.3000
1,4419.3548,313.4338,313433.8000
1,4432.4874,326.5664,326566.4000
1,4511.3077,405.3867,405386.7000
1,4534.2178,428.2968,428296.8000
1,4545.6240,439.7030,439703.0000
1,4553.5410,447.6200,447620.0000
1,4563.2340,457.3130,457313.0000
1,4563.7173,457.7963,457796.3000
1,4564.2816,458.3606,458360.6000
1,4564.5369,458.6159,458615.9000
1,4565.1187,459.1977,459197.7000
1,4565.2667,459.3457,459345.7000
1,4566.1081,460.1871,460187.1000
1,4566.1619,460.2409,460240.9000
1,4566.4662,460.5452,460545.2000
1,4567.6012,461.6802,461680.2000
1,4567.7092,461.7882,461788.2000
1,4568.0936,462.1726,462172.6000
1,4568.1582,462.2372,462237.2000
1,4568.5250,462.6040,462604.0000
1,4568.7262,462.8052,462805.2000
1,4568.9082,462.9872,462987.2000
1,4569.1897,463.2687,463268.7000
1,4569.2262,463.3052,463305.2000
1,4570.4884,464.5674,464567.4000
1,4570.8074,464.8864,464886.4000
1,4571.6236,465.7026,465702.6000
1,4572.3236,466.4026,466402.6000
1,4572.4728,466.5518,466551.8000
1,4572.8558,466.9348,466934.8000
1,4573.9271,468.0061,468006.1000
1,4574.7975,468.8765,468876.5000
1,4578.8108,472.8898,472889.8000
1,4579.3447,473.4237,473423.7000
1,4579.6546,473.7336,473733.6000
1,4579.8587,473.9377,473937.7000
1,4580.1509,474.2299,474229.9000
1,4580.2986,474.3776,474377.6000
1,4580.8635,474.9425,474942.5000
1,4581.2650,475.3440,475344.0000
1,4581.6043,475.6833,475683.3000
1,4581.6902,475.7692,475769.2000
1,4582.5913,476.6703,476670.3000
1,4584.5358,478.6148,478614.8000
1,4584.9668,479.0458,479045.8000
1,4585.0991,479.1781,479178.1000
1,4585.5204,479.5994,479599.4000
1,4587.6802,481.7592,481759.2000
1,4587.8008,481.8798,481879.8000
1,4587.9763,482.0553,482055.3000
1,4592.2552,486.3342,486334.2000
1,4596.4931,490.5721,490572.1000
1,4600.5130,494.5920,494592.0000
1,4600.9466,495.0256,495025.6000
1,4600.9662,495.0452,495045.2000
1,4601.7906,495.8696,495869.6000
1,4601.8794,495.9584,495958.4000
1,4602.8109,496.8899,496889.9000
1,4602.9777,497.0567,497056.7000
1,4603.0425,497.1215,497121.5000
1,4603.1362,497.2152,497215.2000
1,4603.8350,497.9140,497914.0000
1,4603.9570,498.0360,498036.0000
1,4604.8229,498.9019,498901.9000
1,4606.2871,500.3661,500366.1000
1,4606.9648,501.0438,501043.8000
1,4607.3136,501.3926,501392.6000
1,4607.4023,501.4813,501481.3000
1,4608.0435,502.1225,502122.5000
1,4609.4888,503.5678,503567.8000
1,4610.3121,504.3911,504391.1000
1,4610.7283,504.8073,504807.3000
1,4612.5184,506.5974,506597.4000
1,4612.6788,506.7578,506757.8000
1,4614.5639,508.6429,508642.9000
1,4614.7379,508.8169,508816.9000
1,4614.9050,508.9840,508984.0000
1,4615.4723,509.5513,509551.3000
1,4617.2693,511.3483,511348.3000
1,4617.4464,511.5254,511525.4000
1,4618.1407,512.2197,512219.7000
1,4618.5978,512.6768,512676.8000
1,4619.1306,513.2096,513209.6000
1,4619.1987,513.2777,513277.7000
1,4619.6848,513.7638,513763.8000
1,4619.8915,513.9705,513970.5000
1,4621.9507,516.0297,516029.7000
1,4624.2783,518.3573,518357.3000
1,4627.7959,521.8749,521874.9000
1,4627.8860,521.9650,521965.0000
1,4629.1718,523.2508,523250.8000
1,4629.4652,523.5442,523544.2000
1,4629.7035,523.7825,523782.5000
1,4630.8416,524.9206,524920.6000
1,4631.4637,525.5427,525542.7000
1,4631.5780,525.6570,525657.0000
1,4631.6811,525.7601,525760.1000
1,4632.6515,526.7305,526730.5000
1,4632.7078,526.7868,526786.8000
1,4633.2133,527.2923,527292.3000
1,4633.4032,527.4822,527482.2000
1,4635.1421,529.2211,529221.1000
1,4636.1231,530.2021,530202.1000
1,4637.4733,531.5523,531552.3000
1,4639.8211,533.9001,533900.1000
1,4639.9150,533.9940,533994.0000
1,4640.6936,534.7726,534772.6000
1,4641.0871,535.1661,535166.1000
1,4643.1174,537.1964,537196.4000
1,4645.1445,539.2235,539223.5000
1,4646.0779,540.1569,540156.9000
1,4647.5836,541.6626,541662.6000
1,4649.9821,544.0611,544061.1000
1,4650.3555,544.4345,544434.5000
1,4651.3708,545.4498,545449.8000
1,4651.9293,546.0083,546008.3000
1,4653.2983,547.3773,547377.3000
1,4653.6026,547.6816,547681.6000
1,4654.3514,548.4304,548430.4000
1,4655.9057,549.9847,549984.7000
1,4656.6668,550.7458,550745.8000
1,4657.0002,551.0792,551079.2000
1,4657.4919,551.5709,551570.9000
1,4657.5694,551.6484,551648.4000
1,4658.4518,552.5308,552530.8000
1,4659.3374,553.4164,553416.4000
1,4659.9645,554.0435,554043.5000
1,4660.9115,554.9905,554990.5000
1,4660.9921,555.0711,555071.1000
1,4661.2077,555.2867,555286.7000
1,4662.0236,556.1026,556102.6000
1,4662.0627,556.1417,556141.7000
1,4662.1158,556.1948,556194.8000
1,4663.0513,557.1303,557130.3000
1,4663.1245,557.2035,557203.5000
1,4664.2277,558.3067,558306.7000
1,4667.0131,561.0921,561092.1000
1,4667.8097,561.8887,561888.7000
1,4669.0453,563.1243,563124.3000
1,4670.5646,564.6436,564643.6000
1,4670.6025,564.6815,564681.5000
1,4670.7086,564.7876,564787.6000
1,4673.3149,567.3939,567393.9000
1,4674.0025,568.0815,568081.5000
1,4674.0177,568.0967,568096.7000
1,4674.2208,568.2998,568299.8000
1,4674.8717,568.9507,568950.7000
1,4676.4667,570.5457,570545.7000
1,4677.8240,571.9030,571903.0000
1,4679.1042,573.1832,573183.2000
1,4679.6397,573.7187,573718.7000
1,4679.6859,573.7649,573764.9000
1,4679.9490,574.0280,574028.0000
1,4680.7130,574.7920,574792.0000
1,4680.7627,574.8417,574841.7000
1,4681.2070,575.2860,575286.0000
1,4681.7488,575.8278,575827.8000
1,4684.9452,579.0242,579024.2000
1,4692.8658,586.9448,586944.8000
1,4705.0047,599.0837,599083.7000
1,4716.5889,610.6679,610667.9000
1,4717.6506,611.7296,611729.6000
1,4730.4794,624.5584,624558.4000
1,4733.5030,627.5820,627582.0000
1,4738.0271,632.1061,632106.1000
1,4751.8607,645.9397,645939.7000
1,4778.7003,672.7793,672779.3000
1,4784.5780,678.6570,678657.0000
1,4794.3808,688.4598,688459.8000
1,4803.3030,697.3820,697382.0000
1,4805.7169,699.7959,699795.9000
1,4812.5669,706.6459,706645.9000
1,4813.6627,707.7417,707741.7000
1,4813.9289,708.0079,708007.9000
1,4815.5852,709.6642,709664.2000
1,4819.7878,713.8668,713866.8000
1,4842.0864,736.1654,736165.4000
1,4842.4404,736.5194,736519.4000
1,4845.5099,739.5889,739588.9000
1,4854.3706,748.4496,748449.6000
1,4866.7626,760.8416,760841.6000
1,4874.4147,768.4937,768493.7000
1,4877.0953,771.1743,771174.3000
1,4887.0669,781.1459,781145.9000
1,4890.0961,784.1751,784175.1000
1,4898.2561,792.3351,792335.1000
1,4899.4368,793.5158,793515.8000
1,4910.9733,805.0523,805052.3000
1,4922.2910,816.3700,816370.0000
1,4950.2534,844.3324,844332.4000
1,4952.8334,846.9124,846912.4000
1,4956.7729,850.8519,850851.9000
1,4984.9774,879.0564,879056.4000
1,4988.5815,882.6605,882660.5000
1,5007.0951,901.1741,901174.1000
1,5054.0125,948.0915,948091.5000
1,5066.8778,960.9568,960956.8000
1,5073.0407,967.1197,967119.7000
1,5073.9294,968.0084,968008.4000
1,5083.3691,977.4481,977448.1000
1,5178.9043,1072.9833,1072983.3000
1,5186.3069,1080.3859,1080385.9000
1,5204.7193,1098.7983,1098798.3000
1,5206.9940,1101.0730,1101073.0000
1,5212.4214,1106.5004,1106500.4000
1,5228.9653,1123.0443,1123044.3000
1,5229.6113,1123.6903,1123690.3000
1,5232.3183,1126.3973,1126397.3000
1,5236.5852,1130.6642,1130664.2000
1,5245.8253,1139.9043,1139904.3000
1,5248.7151,1142.7941,1142794.1000
1,5288.8542,1182.9332,1182933.2000
1,5302.4438,1196.5228,1196522.8000
1,5305.3223,1199.4013,1199401.3000
1,5305.5096,1199.5886,1199588.6000
1,5315.2780,1209.3570,1209357.0000
1,5318.1074,1212.1864,1212186.4000
1,5322.6378,1216.7168,1216716.8000
1,5329.8659,1223.9449,1223944.9000
