units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,4107.1152,1.1942,1194.2000
1,4107.1656,1.2446,1244.6000
1,4107.1717,1.2507,1250.7000
1,4110.6058,4.6848,4684.8000
1,4110.6124,4.6914,4691.4000
1,4111.5980,5.6770,5677.0000
1,4111.6452,5.7242,5724.2000
1,4113.0816,7.1606,7160.6000
1,4119.4571,13.5361,13536.1000
1,4119.4783,13.5573,13557.3000
1,4119.4864,13.5654,13565.4000
1,4119.4930,13.5720,13572.0000
1,4121.4901,15.5691,15569.1000
1,4121.4943,15.5733,15573.3000
1,4127.2517,21.3307,21330.7000
1,4128.3892,22.4682,22468.2000
1,4139.8229,33.9019,33901.9000
1,4141.9140,35.9930,35993.0000
1,4148.4634,42.5424,42542.4000
1,4148.6045,42.6835,42683.5000
1,4157.8027,51.8817,51881.7000
1,4159.3498,53.4288,53428.8000
1,4160.5579,54.6369,54636.9000
1,4171.5528,65.6318,65631.8000
1,4171.6183,65.6973,65697.3000
1,4171.6712,65.7502,65750.2000
1,4172.8617,66.9407,66940.7000
1,4173.5020,67.5810,67581.0000
1,4173.6066,67.6856,67685.6000
1,4182.4244,76.5034,76503.4000
1,4182.4508,76.5298,76529.8000
1,4185.5848,79.6638,79663.8000
1,4193.7448,87.8238,87823.8000
1,4194.5109,88.5899,88589.9000
1,4194.7298,88.8088,88808.8000
1,4197.5181,91.5971,91597.1000
1,4198.1903,92.2693,92269.3000
1,4199.0529,93.1319,93131.9000
1,4200.2345,94.3135,94313.5000
1,4200.2717,94.3507,94350.7000
1,4203.0343,97.1133,97113.3000
1,4203.0478,97.1268,97126.8000
1,4206.0403,100.1193,100119.3000
1,4209.0796,103.1586,103158.6000
1,4211.8167,105.8957,105895.7000
1,4211.8221,105.9011,105901.1000
1,4216.2810,110.3600,110360.0000
1,4220.8917,114.9707,114970.7000
1,4229.9871,124.0661,124066.1000
1,4232.1832,126.2622,126262.2000
1,4235.9540,130.0330,130033.0000
1,4236.3187,130.3977,130397.7000
1,4244.5165,138.5955,138595.5000
1,4244.5272,138.6062,138606.2000
1,4244.5319,138.6109,138610.9000
1,4244.5362,138.6152,138615.2000
1,4255.6976,149.7766,149776.6000
1,4256.7831,150.8621,150862.1000
1,4256.7919,150.8709,150870.9000
1,4256.7958,150.8748,150874.8000
1,4256.8408,150.9198,150919.8000
1,4265.5174,159.5964,159596.4000
1,4268.6402,162.7192,162719.2000
1,4270.3221,164.4011,164401.1000
1,4270.4574,164.5364,164536.4000
1,4273.2041,167.2831,167283.1000
1,4273.5028,167.5818,167581.8000
1,4274.6782,168.7572,168757.2000
1,4284.3352,178.4142,178414.2000
1,4293.6927,187.7717,187771.7000
1,4299.5622,193.6412,193641.2000
1,4304.7386,198.8176,198817.6000
1,4307.5925,201.6715,201671.5000
1,4307.6003,201.6793,201679.3000
1,4307.8131,201.8921,201892.1000
1,4307.8235,201.9025,201902.5000
1,4310.9930,205.0720,205072.0000
1,4311.0202,205.0992,205099.2000
1,4312.5638,206.6428,206642.8000
1,4313.9813,208.0603,208060.3000
1,4313.9920,208.0710,208071.0000
1,4315.8285,209.9075,209907.5000
1,4316.2164,210.2954,210295.4000
1,4323.9913,218.0703,218070.3000
1,4331.5952,225.6742,225674.2000
1,4331.6558,225.7348,225734.8000
1,4331.6621,225.7411,225741.1000
1,4331.6656,225.7446,225744.6000
1,4334.1555,228.2345,228234.5000
1,4337.4229,231.5019,231501.9000
1,4337.8122,231.8912,231891.2000
1,4338.0971,232.1761,232176.1000
1,4339.8748,233.9538,233953.8000
1,4340.2620,234.3410,234341.0000
1,4340.8999,234.9789,234978.9000
1,4340.9155,234.9945,234994.5000
1,4340.9266,235.0056,235005.6000
1,4343.3363,237.4153,237415.3000
1,4343.5990,237.6780,237678.0000
