units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,4106.2601,0.3391,339.1000
2,4106.5020,0.5810,581.0000
2,4106.5200,0.5990,599.0000
2,4106.6982,0.7772,777.2000
2,4106.7007,0.7797,779.7000
2,4106.9994,1.0784,1078.4000
2,4107.1190,1.1980,1198.0000
2,4107.2781,1.3571,1357.1000
2,4108.0352,2.1142,2114.2000
2,4108.1505,2.2295,2229.5000
2,4108.3038,2.3828,2382.8000
2,4108.4754,2.5544,2554.4000
2,4108.5092,2.5882,2588.2000
2,4109.5291,3.6081,3608.1000
2,4109.6971,3.7761,3776.1000
2,4109.9410,4.0200,4020.0000
2,4110.0108,4.0898,4089.8000
2,4110.1723,4.2513,4251.3000
2,4110.2115,4.2905,4290.5000
2,4110.2177,4.2967,4296.7000
2,4110.6624,4.7414,4741.4000
2,4111.1378,5.2168,5216.8000
2,4111.4992,5.5782,5578.2000
2,4111.7167,5.7957,5795.7000
2,4112.4013,6.4803,6480.3000
2,4112.4718,6.5508,6550.8000
2,4112.5804,6.6594,6659.4000
2,4112.6214,6.7004,6700.4000
2,4113.2949,7.3739,7373.9000
2,4113.3894,7.4684,7468.4000
2,4113.4058,7.4848,7484.8000
2,4113.7498,7.8288,7828.8000
2,4113.7524,7.8314,7831.4000
2,4113.8355,7.9145,7914.5000
2,4114.1750,8.2540,8254.0000
2,4114.2667,8.3457,8345.7000
2,4114.2762,8.3552,8355.2000
2,4114.5634,8.6424,8642.4000
2,4114.5833,8.6623,8662.3000
2,4114.5914,8.6704,8670.4000
2,4114.5932,8.6722,8672.2000
2,4114.5954,8.6744,8674.4000
2,4114.5973,8.6763,8676.3000
2,4114.5994,8.6784,8678.4000
2,4114.6014,8.6804,8680.4000
2,4114.6033,8.6823,8682.3000
2,4114.6053,8.6843,8684.3000
2,4114.6093,8.6883,8688.3000
2,4114.6111,8.6901,8690.1000
2,4114.6130,8.6920,8692.0000
2,4114.6152,8.6942,8694.2000
2,4114.6170,8.6960,8696.0000
2,4114.6271,8.7061,8706.1000
2,4114.6293,8.7083,8708.3000
2,4114.6313,8.7103,8710.3000
2,4114.6334,8.7124,8712.4000
2,4114.8370,8.9160,8916.0000
2,4114.8566,8.9356,8935.6000
2,4114.8589,8.9379,8937.9000
2,4114.9177,8.9967,8996.7000
2,4114.9377,9.0167,9016.7000
2,4114.9399,9.0189,9018.9000
2,4114.9422,9.0212,9021.2000
2,4114.9444,9.0234,9023.4000
2,4114.9467,9.0257,9025.7000
2,4114.9487,9.0277,9027.7000
2,4115.0751,9.1541,9154.1000
2,4115.0904,9.1694,9169.4000
2,4115.4189,9.4979,9497.9000
2,4115.5857,9.6647,9664.7000
2,4115.7994,9.8784,9878.4000
2,4115.8368,9.9158,9915.8000
2,4116.1570,10.2360,10236.0000
2,4116.3811,10.4601,10460.1000
2,4116.4282,10.5072,10507.2000
2,4116.6297,10.7087,10708.7000
2,4116.6374,10.7164,10716.4000
2,4117.8958,11.9748,11974.8000
2,4117.9087,11.9877,11987.7000
2,4118.1738,12.2528,12252.8000
2,4118.4912,12.5702,12570.2000
2,4118.6878,12.7668,12766.8000
2,4118.7068,12.7858,12785.8000
2,4119.1056,13.1846,13184.6000
2,4119.3174,13.3964,13396.4000
2,4119.8108,13.8898,13889.8000
