units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,4111.6923,5.7713,5771.3000
2,4113.1445,7.2235,7223.5000
2,4115.0142,9.0932,9093.2000
2,4115.0165,9.0955,9095.5000
2,4118.9775,13.0565,13056.5000
2,4127.3068,21.3858,21385.8000
2,4137.3249,31.4039,31403.9000
2,4192.5219,86.6009,86600.9000
2,4216.0777,110.1567,110156.7000
2,4220.7524,114.8314,114831.4000
2,4239.2337,133.3127,133312.7000
2,4269.5062,163.5852,163585.2000
2,4302.0336,196.1126,196112.6000
2,4302.6500,196.7290,196729.0000
2,4302.6816,196.7606,196760.6000
2,4320.8228,214.9018,214901.8000
2,4376.5515,270.6305,270630.5000
2,4406.7294,300.8084,300808.4000
2,4433.3704,327.4494,327449.4000
2,4434.3693,328.4483,328448.3000
2,4482.4260,376.5050,376505.0000
2,4495.9029,389.9819,389981.9000
2,4500.6122,394.6912,394691.2000
2,4500.7901,394.8691,394869.1000
2,4542.6227,436.7017,436701.7000
2,4563.2205,457.2995,457299.5000
2,4606.0293,500.1083,500108.3000
2,4627.5355,521.6145,521614.5000
2,4699.9266,594.0056,594005.6000
2,4701.5045,595.5835,595583.5000
2,4715.8864,609.9654,609965.4000
2,4743.6966,637.7756,637775.6000
2,4808.4254,702.5044,702504.4000
2,4815.6741,709.7531,709753.1000
2,4821.6915,715.7705,715770.5000
2,4837.0929,731.1719,731171.9000
2,4863.4528,757.5318,757531.8000
2,4911.6290,805.7080,805708.0000
2,4915.0459,809.1249,809124.9000
2,4932.9341,827.0131,827013.1000
2,4970.6436,864.7226,864722.6000
2,4984.9045,878.9835,878983.5000
2,5009.9211,904.0001,904000.1000
2,5023.4031,917.4821,917482.1000
2,5069.0867,963.1657,963165.7000
2,5083.0482,977.1272,977127.2000
2,5121.2813,1015.3603,1015360.3000
2,5146.1520,1040.2310,1040231.0000
2,5192.1711,1086.2501,1086250.1000
2,5193.9309,1088.0099,1088009.9000
2,5200.0608,1094.1398,1094139.8000
2,5228.8302,1122.9092,1122909.2000
2,5275.8289,1169.9079,1169907.9000
2,5282.2584,1176.3374,1176337.4000
2,5287.7353,1181.8143,1181814.3000
2,5356.5988,1250.6778,1250677.8000
2,5385.9373,1280.0163,1280016.3000
2,5406.4055,1300.4845,1300484.5000
2,5408.5645,1302.6435,1302643.5000
2,5411.5062,1305.5852,1305585.2000
2,5411.5340,1305.6130,1305613.0000
2,5421.4853,1315.5643,1315564.3000
2,5421.8184,1315.8974,1315897.4000
2,5491.5976,1385.6766,1385676.6000
2,5523.8068,1417.8858,1417885.8000
2,5523.8351,1417.9141,1417914.1000
2,5524.2204,1418.2994,1418299.4000
2,5524.7360,1418.8150,1418815.0000
2,5524.9994,1419.0784,1419078.4000
2,5525.2616,1419.3406,1419340.6000
2,5525.5221,1419.6011,1419601.1000
2,5525.9917,1420.0707,1420070.7000
2,5540.1188,1434.1978,1434197.8000
2,5583.5634,1477.6424,1477642.4000
2,5597.9836,1492.0626,1492062.6000
2,5617.4484,1511.5274,1511527.4000
2,5658.7027,1552.7817,1552781.7000
2,5687.9136,1581.9926,1581992.6000
2,5692.1787,1586.2577,1586257.7000
2,5707.3256,1601.4046,1601404.6000
2,5729.8323,1623.9113,1623911.3000
2,5767.0633,1661.1423,1661142.3000
2,5816.2969,1710.3759,1710375.9000
2,5826.0649,1720.1439,1720143.9000
2,5849.9568,1744.0358,1744035.8000
2,5868.4648,1762.5438,1762543.8000
2,5986.3983,1880.4773,1880477.3000
2,5988.5153,1882.5943,1882594.3000
2,6033.2747,1927.3537,1927353.7000
2,6053.3546,1947.4336,1947433.6000
2,6109.1993,2003.2783,2003278.3000
2,6196.1831,2090.2621,2090262.1000
2,6196.8211,2090.9001,2090900.1000
2,6198.2417,2092.3207,2092320.7000
2,6199.0809,2093.1599,2093159.9000
2,6213.2521,2107.3311,2107331.1000
2,6219.8747,2113.9537,2113953.7000
2,6230.6494,2124.7284,2124728.4000
2,6309.2893,2203.3683,2203368.3000
2,6358.1966,2252.2756,2252275.6000
2,6381.0493,2275.1283,2275128.3000
2,6396.4007,2290.4797,2290479.7000
2,6451.3480,2345.4270,2345427.0000
2,6479.6130,2373.6920,2373692.0000
2,6488.3784,2382.4574,2382457.4000
2,6555.4088,2449.4878,2449487.8000
2,6560.0674,2454.1464,2454146.4000
2,6561.5868,2455.6658,2455665.8000
2,6578.1939,2472.2729,2472272.9000
2,6580.2136,2474.2926,2474292.6000
