units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,5519.8798,1413.9588,1413958.8000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,75.8000,0.0758
1,5519.9043,1413.9833,1413983.3000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,100.3000,0.1003
1,5520.3483,1414.4273,1414427.3000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,544.3000,0.5443
1,5520.4907,1414.5697,1414569.7000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,686.7000,0.6867
1,5520.5475,1414.6265,1414626.5000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,743.5000,0.7435
1,5520.5998,1414.6788,1414678.8000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,795.8000,0.7958
1,5521.3513,1415.4303,1415430.3000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1547.3000,1.5473
1,4485.5691,379.6481,379648.1000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1554.1000,1.5541
1,4485.6015,379.6805,379680.5000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1586.5000,1.5865
1,4485.6573,379.7363,379736.3000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1642.3000,1.6423
1,4485.6937,379.7727,379772.7000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1678.7000,1.6787
1,4485.6993,379.7783,379778.3000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1684.3000,1.6843
1,4485.8081,379.8871,379887.1000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1793.1000,1.7931
1,4485.8278,379.9068,379906.8000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1812.8000,1.8128
1,4485.9215,380.0005,380000.5000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1906.5000,1.9065
1,4485.9465,380.0255,380025.5000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1931.5000,1.9315
1,4485.9585,380.0375,380037.5000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1943.5000,1.9435
1,4485.9763,380.0553,380055.3000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1961.3000,1.9613
1,4245.4710,139.5500,139550.0000,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,84.0000,0.0840
1,4245.9074,139.9864,139986.4000,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,520.4000,0.5204
1,4246.0042,140.0832,140083.2000,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,617.2000,0.6172
1,4246.0489,140.1279,140127.9000,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,661.9000,0.6619
