units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,5519.9790,1414.0580,1414058.0000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,175.0000,0.1750
1,5520.0936,1414.1726,1414172.6000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,289.6000,0.2896
1,5520.2045,1414.2835,1414283.5000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,400.5000,0.4005
1,5521.2400,1415.3190,1415319.0000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1436.0000,1.4360
1,5521.3847,1415.4637,1415463.7000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1580.7000,1.5807
1,5521.4092,1415.4882,1415488.2000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1605.2000,1.6052
1,5521.5738,1415.6528,1415652.8000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1769.8000,1.7698
1,4484.0955,378.1745,378174.5000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,80.5000,0.0805
1,4484.2964,378.3754,378375.4000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,281.4000,0.2814
1,4484.6419,378.7209,378720.9000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,626.9000,0.6269
1,4484.7901,378.8691,378869.1000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,775.1000,0.7751
1,4484.8951,378.9741,378974.1000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,880.1000,0.8801
1,4485.7113,379.7903,379790.3000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1696.3000,1.6963
1,4486.0054,380.0844,380084.4000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1990.4000,1.9904
1,4245.5612,139.6402,139640.2000,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,174.2000,0.1742
1,4245.7605,139.8395,139839.5000,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,373.5000,0.3735
1,4245.9111,139.9901,139990.1000,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,524.1000,0.5241
1,4246.0003,140.0793,140079.3000,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,613.3000,0.6133
1,4246.1476,140.2266,140226.6000,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,760.6000,0.7606
