units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,5520.0340,1414.1130,1414113.0000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,230.0000,0.2300
2,5520.6831,1414.7621,1414762.1000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,879.1000,0.8791
2,5520.7436,1414.8226,1414822.6000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,939.6000,0.9396
2,5520.8512,1414.9302,1414930.2000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1047.2000,1.0472
2,5520.8766,1414.9556,1414955.6000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1072.6000,1.0726
2,5520.9352,1415.0142,1415014.2000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1131.2000,1.1312
2,5521.0593,1415.1383,1415138.3000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1255.3000,1.2553
2,5521.3308,1415.4098,1415409.8000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1526.8000,1.5268
2,5521.3661,1415.4451,1415445.1000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1562.1000,1.5621
2,5521.4257,1415.5047,1415504.7000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1621.7000,1.6217
2,5521.5606,1415.6396,1415639.6000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1756.6000,1.7566
2,4484.1515,378.2305,378230.5000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,136.5000,0.1365
2,4484.2069,378.2859,378285.9000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,191.9000,0.1919
2,4484.2925,378.3715,378371.5000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,277.5000,0.2775
2,4484.3023,378.3813,378381.3000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,287.3000,0.2873
2,4485.1341,379.2131,379213.1000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1119.1000,1.1191
