units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,5519.9301,1414.0091,1414009.1000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,126.1000,0.1261
1,5519.9620,1414.0410,1414041.0000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,158.0000,0.1580
1,5520.1453,1414.2243,1414224.3000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,341.3000,0.3413
1,5520.2271,1414.3061,1414306.1000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,423.1000,0.4231
1,5520.4031,1414.4821,1414482.1000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,599.1000,0.5991
1,5520.6109,1414.6899,1414689.9000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,806.9000,0.8069
1,5520.7219,1414.8009,1414800.9000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,917.9000,0.9179
1,5520.7539,1414.8329,1414832.9000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,949.9000,0.9499
1,5520.9235,1415.0025,1415002.5000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1119.5000,1.1195
1,5521.4386,1415.5176,1415517.6000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1634.6000,1.6346
1,5521.4720,1415.5510,1415551.0000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1668.0000,1.6680
1,4484.7448,378.8238,378823.8000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,729.8000,0.7298
1,4485.4449,379.5239,379523.9000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1429.9000,1.4299
1,4485.4896,379.5686,379568.6000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1474.6000,1.4746
1,4485.5921,379.6711,379671.1000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1577.1000,1.5771
1,4246.2315,140.3105,140310.5000,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,844.5000,0.8445
1,5097.1120,991.1910,991191.0000,4,1.0-990779-993679,427.0000,1.0000,1,4,True,990779.0000,993679.0000,412.0000,0.4120
1,5097.8208,991.8998,991899.8000,4,1.0-990779-993679,427.0000,1.0000,1,4,True,990779.0000,993679.0000,1120.8000,1.1208
1,5098.0935,992.1725,992172.5000,4,1.0-990779-993679,427.0000,1.0000,1,4,True,990779.0000,993679.0000,1393.5000,1.3935
1,5098.9415,993.0205,993020.5000,4,1.0-990779-993679,427.0000,1.0000,1,4,True,990779.0000,993679.0000,2241.5000,2.2415
1,4400.8769,294.9559,294955.9000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,7.9000,0.0079
1,4401.3245,295.4035,295403.5000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,455.5000,0.4555
1,4401.3491,295.4281,295428.1000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,480.1000,0.4801
1,4402.4093,296.4883,296488.3000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,1540.3000,1.5403
1,4402.7382,296.8172,296817.2000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,1869.2000,1.8692
1,4403.1536,297.2326,297232.6000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,2284.6000,2.2846
1,4403.5058,297.5848,297584.8000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,2636.8000,2.6368
