bin_10s,spike_count,firing_rate_hz
0,1,0.1
1,4,0.4
2,4,0.4
3,0,0.0
4,9,0.9
5,2,0.2
6,4,0.4
7,6,0.6
8,3,0.3
9,3,0.3
10,3,0.3
11,3,0.3
12,6,0.6
13,2,0.2
14,7,0.7
15,4,0.4
16,8,0.8
17,5,0.5
18,5,0.5
19,2,0.2
20,8,0.8
21,4,0.4
22,4,0.4
23,6,0.6
24,5,0.5
25,4,0.4
26,4,0.4
27,4,0.4
28,3,0.3
29,3,0.3
30,2,0.2
31,4,0.4
32,5,0.5
33,3,0.3
34,6,0.6
35,2,0.2
36,10,1.0
37,3,0.3
38,8,0.8
39,2,0.2
40,8,0.8
41,2,0.2
42,2,0.2
43,2,0.2
44,5,0.5
45,4,0.4
46,3,0.3
47,5,0.5
48,2,0.2
49,1,0.1
50,7,0.7
51,3,0.3
52,3,0.3
53,8,0.8
54,1,0.1
55,4,0.4
56,1,0.1
57,3,0.3
58,5,0.5
59,7,0.7
60,1,0.1
61,3,0.3
62,0,0.0
63,5,0.5
64,2,0.2
65,7,0.7
66,0,0.0
67,1,0.1
68,5,0.5
69,4,0.4
70,3,0.3
71,10,1.0
72,8,0.8
73,0,0.0
74,1,0.1
75,6,0.6
76,9,0.9
77,5,0.5
78,2,0.2
79,3,0.3
80,3,0.3
81,5,0.5
82,3,0.3
83,3,0.3
84,2,0.2
85,1,0.1
86,2,0.2
87,3,0.3
88,6,0.6
89,1,0.1
90,5,0.5
91,3,0.3
92,6,0.6
93,3,0.3
94,6,0.6
95,2,0.2
96,6,0.6
97,1,0.1
98,3,0.3
99,4,0.4
100,3,0.3
101,5,0.5
102,1,0.1
103,4,0.4
104,5,0.5
105,2,0.2
106,6,0.6
107,3,0.3
108,5,0.5
109,0,0.0
110,1,0.1
111,0,0.0
112,3,0.3
113,4,0.4
114,5,0.5
115,8,0.8
116,5,0.5
117,2,0.2
118,16,1.6
119,4,0.4
120,2,0.2
121,7,0.7
122,4,0.4
123,4,0.4
124,9,0.9
125,1,0.1
126,0,0.0
127,0,0.0
128,0,0.0
129,3,0.3
130,8,0.8
131,3,0.3
132,7,0.7
133,2,0.2
134,2,0.2
135,1,0.1
136,6,0.6
137,3,0.3
138,2,0.2
139,4,0.4
140,11,1.1
141,9,0.9
142,6,0.6
143,4,0.4
144,3,0.3
145,4,0.4
146,2,0.2
147,9,0.9
148,6,0.6
149,5,0.5
150,6,0.6
151,6,0.6
152,1,0.1
153,1,0.1
154,4,0.4
155,9,0.9
156,3,0.3
157,2,0.2
158,2,0.2
159,4,0.4
160,6,0.6
161,5,0.5
162,1,0.1
163,2,0.2
164,1,0.1
165,8,0.8
166,6,0.6
167,4,0.4
168,6,0.6
169,5,0.5
170,2,0.2
171,2,0.2
172,8,0.8
173,5,0.5
174,2,0.2
175,3,0.3
176,7,0.7
177,6,0.6
178,10,1.0
179,5,0.5
180,1,0.1
181,10,1.0
182,7,0.7
183,2,0.2
184,3,0.3
185,5,0.5
186,4,0.4
187,4,0.4
188,1,0.1
189,1,0.1
190,4,0.4
191,2,0.2
192,3,0.3
193,3,0.3
194,2,0.2
195,3,0.3
196,7,0.7
197,6,0.6
198,6,0.6
199,3,0.3
200,3,0.3
201,4,0.4
202,8,0.8
203,6,0.6
204,8,0.8
205,10,1.0
206,48,4.8
207,67,6.7
208,56,5.6
209,13,1.3
210,4,0.4
211,8,0.8
212,3,0.3
213,3,0.3
214,0,0.0
215,2,0.2
216,4,0.4
217,0,0.0
218,5,0.5
219,4,0.4
220,10,1.0
221,5,0.5
222,10,1.0
223,8,0.8
224,10,1.0
225,4,0.4
226,1,0.1
227,7,0.7
228,10,1.0
229,12,1.2
230,4,0.4
231,3,0.3
232,4,0.4
233,1,0.1
234,3,0.3
235,8,0.8
236,2,0.2
237,14,1.4
238,6,0.6
239,10,1.0
240,4,0.4
241,3,0.3
242,0,0.0
243,5,0.5
244,4,0.4
245,1,0.1
246,3,0.3
