bin_10s,spike_count,firing_rate_hz
0,12,1.2
1,7,0.7
2,1,0.1
3,21,2.1
4,26,2.6
5,14,1.4
6,34,3.4
7,12,1.2
8,12,1.2
9,20,2.0
10,15,1.5
11,7,0.7
12,14,1.4
13,21,2.1
14,10,1.0
15,23,2.3
16,11,1.1
17,17,1.7
18,11,1.1
19,10,1.0
20,15,1.5
21,37,3.7
22,15,1.5
23,18,1.8
24,20,2.0
25,15,1.5
26,12,1.2
27,23,2.3
28,15,1.5
29,22,2.2
30,31,3.1
31,27,2.7
32,27,2.7
33,19,1.9
34,19,1.9
35,16,1.6
36,16,1.6
37,23,2.3
38,14,1.4
39,15,1.5
40,19,1.9
41,17,1.7
42,8,0.8
43,23,2.3
44,11,1.1
45,42,4.2
46,39,3.9
47,24,2.4
48,29,2.9
49,13,1.3
50,25,2.5
51,17,1.7
52,22,2.2
53,12,1.2
54,23,2.3
55,18,1.8
56,14,1.4
57,35,3.5
58,42,4.2
59,53,5.3
60,28,2.8
61,20,2.0
62,22,2.2
63,21,2.1
64,31,3.1
65,26,2.6
66,18,1.8
67,24,2.4
68,43,4.3
69,21,2.1
70,28,2.8
71,13,1.3
72,19,1.9
73,37,3.7
74,24,2.4
75,10,1.0
76,23,2.3
77,27,2.7
78,47,4.7
79,33,3.3
80,26,2.6
81,24,2.4
82,16,1.6
83,11,1.1
84,25,2.5
85,12,1.2
86,7,0.7
87,20,2.0
88,19,1.9
89,20,2.0
90,18,1.8
91,11,1.1
92,19,1.9
93,17,1.7
94,20,2.0
95,11,1.1
96,11,1.1
97,22,2.2
98,13,1.3
99,18,1.8
100,16,1.6
101,12,1.2
102,6,0.6
103,12,1.2
104,44,4.4
105,27,2.7
106,13,1.3
107,9,0.9
108,12,1.2
109,18,1.8
110,17,1.7
111,11,1.1
112,10,1.0
113,15,1.5
114,8,0.8
115,7,0.7
116,15,1.5
117,12,1.2
118,14,1.4
119,9,0.9
120,10,1.0
121,11,1.1
122,9,0.9
123,7,0.7
124,10,1.0
125,4,0.4
126,8,0.8
127,15,1.5
128,21,2.1
129,17,1.7
130,6,0.6
131,7,0.7
132,6,0.6
133,6,0.6
134,6,0.6
135,4,0.4
136,10,1.0
137,6,0.6
138,5,0.5
139,6,0.6
140,9,0.9
141,17,1.7
142,30,3.0
143,18,1.8
144,26,2.6
145,15,1.5
146,12,1.2
147,9,0.9
148,11,1.1
149,6,0.6
150,9,0.9
151,6,0.6
152,3,0.3
153,3,0.3
154,3,0.3
155,7,0.7
156,18,1.8
157,8,0.8
158,6,0.6
159,5,0.5
160,5,0.5
161,24,2.4
162,8,0.8
163,1,0.1
164,2,0.2
165,11,1.1
166,16,1.6
167,13,1.3
168,14,1.4
169,0,0.0
170,7,0.7
171,15,1.5
172,12,1.2
173,26,2.6
174,28,2.8
175,17,1.7
176,18,1.8
177,9,0.9
178,11,1.1
179,14,1.4
180,10,1.0
181,17,1.7
182,6,0.6
183,8,0.8
184,6,0.6
185,15,1.5
186,9,0.9
187,12,1.2
188,11,1.1
189,7,0.7
190,2,0.2
191,11,1.1
192,2,0.2
193,5,0.5
194,15,1.5
195,10,1.0
196,18,1.8
197,12,1.2
198,3,0.3
199,13,1.3
200,23,2.3
201,18,1.8
202,5,0.5
203,12,1.2
204,16,1.6
205,17,1.7
206,12,1.2
207,15,1.5
208,14,1.4
209,7,0.7
210,14,1.4
211,6,0.6
212,20,2.0
213,29,2.9
214,20,2.0
215,16,1.6
216,17,1.7
217,12,1.2
218,5,0.5
219,12,1.2
220,30,3.0
221,12,1.2
222,10,1.0
223,19,1.9
224,8,0.8
225,6,0.6
226,14,1.4
227,47,4.7
228,10,1.0
229,13,1.3
230,12,1.2
231,19,1.9
232,40,4.0
233,18,1.8
234,15,1.5
235,15,1.5
236,14,1.4
237,20,2.0
238,34,3.4
239,29,2.9
240,32,3.2
241,15,1.5
242,8,0.8
243,18,1.8
244,33,3.3
245,17,1.7
246,20,2.0
247,12,1.2
