bin_10s,spike_count,firing_rate_hz
0,46,4.6
1,81,8.1
2,81,8.1
3,59,5.9
4,41,4.1
5,61,6.1
6,50,5.0
7,52,5.2
8,68,6.8
9,65,6.5
10,71,7.1
11,75,7.5
12,62,6.2
13,55,5.5
14,73,7.3
15,81,8.1
16,60,6.0
17,56,5.6
18,71,7.1
19,58,5.8
20,48,4.8
21,44,4.4
22,51,5.1
23,73,7.3
24,66,6.6
25,56,5.6
26,66,6.6
27,64,6.4
28,45,4.5
29,64,6.4
30,67,6.7
31,51,5.1
32,57,5.7
33,31,3.1
34,56,5.6
35,59,5.9
36,34,3.4
37,41,4.1
38,45,4.5
39,49,4.9
40,68,6.8
41,39,3.9
42,46,4.6
43,49,4.9
44,57,5.7
45,39,3.9
46,59,5.9
47,54,5.4
48,51,5.1
49,47,4.7
50,50,5.0
51,61,6.1
52,54,5.4
53,70,7.0
54,62,6.2
55,57,5.7
56,59,5.9
57,57,5.7
58,64,6.4
59,57,5.7
60,54,5.4
61,58,5.8
62,54,5.4
63,45,4.5
64,62,6.2
65,60,6.0
66,49,4.9
67,70,7.0
68,52,5.2
69,37,3.7
70,50,5.0
71,40,4.0
72,57,5.7
73,48,4.8
74,40,4.0
75,65,6.5
76,54,5.4
77,84,8.4
78,42,4.2
79,43,4.3
80,61,6.1
81,40,4.0
82,54,5.4
83,68,6.8
84,51,5.1
85,34,3.4
86,42,4.2
87,51,5.1
88,61,6.1
89,51,5.1
90,54,5.4
91,41,4.1
92,55,5.5
93,50,5.0
94,36,3.6
95,46,4.6
96,46,4.6
97,52,5.2
98,42,4.2
99,57,5.7
100,44,4.4
101,37,3.7
102,38,3.8
103,48,4.8
104,56,5.6
105,41,4.1
106,39,3.9
107,43,4.3
108,104,10.4
109,47,4.7
110,56,5.6
111,53,5.3
112,58,5.8
113,42,4.2
114,34,3.4
115,48,4.8
116,71,7.1
117,47,4.7
118,48,4.8
119,70,7.0
120,58,5.8
121,43,4.3
122,34,3.4
123,76,7.6
124,49,4.9
125,65,6.5
126,71,7.1
127,71,7.1
128,42,4.2
129,41,4.1
130,48,4.8
131,34,3.4
132,44,4.4
133,60,6.0
134,51,5.1
135,63,6.3
136,36,3.6
137,38,3.8
138,37,3.7
139,54,5.4
140,76,7.6
141,45,4.5
142,40,4.0
143,57,5.7
144,53,5.3
145,40,4.0
146,63,6.3
147,88,8.8
148,64,6.4
149,30,3.0
150,33,3.3
151,50,5.0
152,52,5.2
153,50,5.0
154,64,6.4
155,37,3.7
156,42,4.2
157,51,5.1
158,54,5.4
159,62,6.2
160,51,5.1
161,55,5.5
162,49,4.9
163,67,6.7
164,27,2.7
165,48,4.8
166,52,5.2
167,48,4.8
168,49,4.9
169,48,4.8
170,42,4.2
171,45,4.5
172,60,6.0
173,63,6.3
174,51,5.1
175,42,4.2
176,45,4.5
177,49,4.9
178,57,5.7
179,36,3.6
180,49,4.9
181,55,5.5
182,56,5.6
183,50,5.0
184,42,4.2
185,55,5.5
186,46,4.6
187,39,3.9
188,58,5.8
189,44,4.4
190,29,2.9
191,43,4.3
192,60,6.0
193,59,5.9
194,61,6.1
195,29,2.9
196,51,5.1
197,48,4.8
198,55,5.5
199,44,4.4
200,62,6.2
201,54,5.4
202,63,6.3
203,52,5.2
204,61,6.1
205,71,7.1
206,61,6.1
207,57,5.7
208,69,6.9
209,81,8.1
210,63,6.3
211,70,7.0
212,47,4.7
213,48,4.8
214,42,4.2
215,64,6.4
216,37,3.7
217,55,5.5
218,96,9.6
219,85,8.5
220,50,5.0
221,50,5.0
222,47,4.7
223,60,6.0
224,55,5.5
225,54,5.4
226,60,6.0
227,54,5.4
228,70,7.0
229,45,4.5
230,51,5.1
231,50,5.0
232,40,4.0
233,31,3.1
234,46,4.6
235,26,2.6
236,56,5.6
237,50,5.0
238,56,5.6
239,57,5.7
240,35,3.5
241,43,4.3
242,57,5.7
243,65,6.5
244,68,6.8
245,54,5.4
246,65,6.5
247,51,5.1
