bin_10s,spike_count,firing_rate_hz
0,18,1.8
1,36,3.6
2,30,3.0
3,29,2.9
4,13,1.3
5,16,1.6
6,13,1.3
7,22,2.2
8,5,0.5
9,9,0.9
10,3,0.3
11,7,0.7
12,39,3.9
13,17,1.7
14,24,2.4
15,12,1.2
16,24,2.4
17,14,1.4
18,8,0.8
19,33,3.3
20,29,2.9
21,16,1.6
22,19,1.9
23,10,1.0
24,12,1.2
25,33,3.3
26,13,1.3
27,14,1.4
28,17,1.7
29,13,1.3
30,26,2.6
31,8,0.8
32,22,2.2
33,23,2.3
34,17,1.7
35,38,3.8
36,9,0.9
37,9,0.9
38,11,1.1
39,14,1.4
40,15,1.5
41,17,1.7
42,25,2.5
43,15,1.5
44,15,1.5
45,13,1.3
46,6,0.6
47,7,0.7
48,14,1.4
49,14,1.4
50,9,0.9
51,12,1.2
52,14,1.4
53,11,1.1
54,21,2.1
55,22,2.2
56,31,3.1
57,11,1.1
58,16,1.6
59,10,1.0
60,12,1.2
61,20,2.0
62,17,1.7
63,23,2.3
64,17,1.7
65,18,1.8
66,18,1.8
67,17,1.7
68,29,2.9
69,23,2.3
70,35,3.5
71,21,2.1
72,17,1.7
73,8,0.8
74,14,1.4
75,12,1.2
76,20,2.0
77,14,1.4
78,22,2.2
79,15,1.5
80,30,3.0
81,19,1.9
82,14,1.4
83,23,2.3
84,18,1.8
85,13,1.3
86,10,1.0
87,15,1.5
88,26,2.6
89,19,1.9
90,19,1.9
91,21,2.1
92,11,1.1
93,8,0.8
94,18,1.8
95,18,1.8
96,26,2.6
97,18,1.8
98,15,1.5
99,12,1.2
100,22,2.2
101,24,2.4
102,8,0.8
103,16,1.6
104,10,1.0
105,17,1.7
106,23,2.3
107,24,2.4
108,11,1.1
109,26,2.6
110,19,1.9
111,22,2.2
112,47,4.7
113,22,2.2
114,26,2.6
115,23,2.3
116,7,0.7
117,16,1.6
118,11,1.1
119,11,1.1
120,13,1.3
121,21,2.1
122,33,3.3
123,22,2.2
124,17,1.7
125,15,1.5
126,13,1.3
127,18,1.8
128,19,1.9
129,12,1.2
130,15,1.5
131,15,1.5
132,17,1.7
133,15,1.5
134,13,1.3
135,13,1.3
136,20,2.0
137,15,1.5
138,28,2.8
139,8,0.8
140,15,1.5
141,23,2.3
142,22,2.2
143,17,1.7
144,20,2.0
145,14,1.4
146,22,2.2
147,22,2.2
148,12,1.2
149,14,1.4
150,12,1.2
151,15,1.5
152,12,1.2
153,10,1.0
154,6,0.6
155,14,1.4
156,15,1.5
157,13,1.3
158,17,1.7
159,8,0.8
160,14,1.4
161,6,0.6
162,6,0.6
163,7,0.7
164,10,1.0
165,13,1.3
166,15,1.5
167,14,1.4
168,14,1.4
169,8,0.8
170,8,0.8
171,7,0.7
172,15,1.5
173,11,1.1
174,7,0.7
175,17,1.7
176,12,1.2
177,3,0.3
178,21,2.1
179,5,0.5
180,14,1.4
181,19,1.9
182,10,1.0
183,9,0.9
184,11,1.1
185,21,2.1
186,9,0.9
187,9,0.9
188,4,0.4
189,4,0.4
190,11,1.1
191,5,0.5
192,12,1.2
193,7,0.7
194,6,0.6
195,7,0.7
196,12,1.2
197,10,1.0
198,18,1.8
199,22,2.2
200,16,1.6
201,10,1.0
202,3,0.3
203,11,1.1
204,7,0.7
205,14,1.4
206,10,1.0
207,6,0.6
208,3,0.3
209,9,0.9
210,14,1.4
211,19,1.9
212,15,1.5
213,17,1.7
214,25,2.5
215,16,1.6
216,12,1.2
217,18,1.8
218,8,0.8
219,14,1.4
220,9,0.9
221,24,2.4
222,9,0.9
223,22,2.2
224,21,2.1
225,9,0.9
226,11,1.1
227,7,0.7
228,13,1.3
229,14,1.4
230,11,1.1
231,6,0.6
232,28,2.8
233,13,1.3
234,15,1.5
235,7,0.7
236,6,0.6
237,7,0.7
238,16,1.6
239,14,1.4
240,10,1.0
241,13,1.3
242,19,1.9
243,11,1.1
244,16,1.6
245,14,1.4
246,8,0.8
247,13,1.3
