bin_10s,spike_count,firing_rate_hz
0,4,0.4
1,1,0.1
2,1,0.1
3,1,0.1
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,1,0.1
9,0,0.0
10,0,0.0
11,2,0.2
12,0,0.0
13,1,0.1
14,0,0.0
15,0,0.0
16,1,0.1
17,0,0.0
18,0,0.0
19,3,0.3
20,0,0.0
21,1,0.1
22,0,0.0
23,0,0.0
24,0,0.0
25,0,0.0
26,0,0.0
27,1,0.1
28,0,0.0
29,0,0.0
30,1,0.1
31,0,0.0
32,2,0.2
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,1,0.1
38,1,0.1
39,2,0.2
40,0,0.0
41,0,0.0
42,0,0.0
43,1,0.1
44,0,0.0
45,1,0.1
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,1,0.1
51,0,0.0
52,1,0.1
53,0,0.0
54,0,0.0
55,0,0.0
56,0,0.0
57,0,0.0
58,0,0.0
59,2,0.2
60,1,0.1
61,0,0.0
62,0,0.0
63,1,0.1
64,0,0.0
65,0,0.0
66,0,0.0
67,0,0.0
68,0,0.0
69,0,0.0
70,2,0.2
71,1,0.1
72,0,0.0
73,1,0.1
74,0,0.0
75,1,0.1
76,0,0.0
77,0,0.0
78,0,0.0
79,0,0.0
80,2,0.2
81,0,0.0
82,1,0.1
83,0,0.0
84,0,0.0
85,0,0.0
86,1,0.1
87,1,0.1
88,0,0.0
89,0,0.0
90,1,0.1
91,1,0.1
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,1,0.1
97,1,0.1
98,0,0.0
99,0,0.0
100,0,0.0
101,1,0.1
102,0,0.0
103,0,0.0
104,1,0.1
105,0,0.0
106,0,0.0
107,0,0.0
108,2,0.2
109,1,0.1
110,0,0.0
111,0,0.0
112,1,0.1
113,0,0.0
114,0,0.0
115,0,0.0
116,1,0.1
117,1,0.1
118,1,0.1
119,0,0.0
120,0,0.0
121,0,0.0
122,0,0.0
123,0,0.0
124,0,0.0
125,1,0.1
126,0,0.0
127,0,0.0
128,1,0.1
129,0,0.0
130,4,0.4
131,2,0.2
132,0,0.0
133,0,0.0
134,0,0.0
135,0,0.0
136,0,0.0
137,0,0.0
138,1,0.1
139,0,0.0
140,0,0.0
141,7,0.7
142,1,0.1
143,1,0.1
144,0,0.0
145,0,0.0
146,0,0.0
147,1,0.1
148,0,0.0
149,1,0.1
150,0,0.0
151,1,0.1
152,0,0.0
153,0,0.0
154,0,0.0
155,1,0.1
156,0,0.0
157,0,0.0
158,2,0.2
159,0,0.0
160,1,0.1
161,0,0.0
162,1,0.1
163,0,0.0
164,0,0.0
165,0,0.0
166,1,0.1
167,0,0.0
168,0,0.0
169,0,0.0
170,0,0.0
171,1,0.1
172,1,0.1
173,0,0.0
174,1,0.1
175,0,0.0
176,1,0.1
177,0,0.0
178,0,0.0
179,0,0.0
180,0,0.0
181,0,0.0
182,0,0.0
183,0,0.0
184,0,0.0
185,0,0.0
186,0,0.0
187,0,0.0
188,2,0.2
189,0,0.0
190,0,0.0
191,0,0.0
192,1,0.1
193,0,0.0
194,1,0.1
195,0,0.0
196,0,0.0
197,0,0.0
198,0,0.0
199,0,0.0
200,1,0.1
201,0,0.0
202,0,0.0
203,0,0.0
204,0,0.0
205,0,0.0
206,0,0.0
207,0,0.0
208,0,0.0
209,4,0.4
210,1,0.1
211,1,0.1
212,1,0.1
213,0,0.0
214,0,0.0
215,0,0.0
216,0,0.0
217,0,0.0
218,0,0.0
219,0,0.0
220,1,0.1
221,0,0.0
222,0,0.0
223,0,0.0
224,0,0.0
225,1,0.1
226,0,0.0
227,1,0.1
228,0,0.0
229,1,0.1
230,0,0.0
231,0,0.0
232,0,0.0
233,0,0.0
234,1,0.1
235,0,0.0
236,0,0.0
237,1,0.1
238,1,0.1
239,0,0.0
240,0,0.0
241,0,0.0
242,0,0.0
243,0,0.0
244,1,0.1
245,2,0.2
246,0,0.0
247,2,0.2
