units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,4106.8353,0.9143,914.3000
1,4107.8337,1.9127,1912.7000
1,4107.8751,1.9541,1954.1000
1,4107.9094,1.9884,1988.4000
1,4110.9091,4.9881,4988.1000
1,4115.4107,9.4897,9489.7000
1,4116.0642,10.1432,10143.2000
1,4116.2170,10.2960,10296.0000
1,4117.1524,11.2314,11231.4000
1,4117.8167,11.8957,11895.7000
1,4117.9446,12.0236,12023.6000
1,4120.3127,14.3917,14391.7000
1,4120.3300,14.4090,14409.0000
1,4120.3396,14.4186,14418.6000
1,4120.3852,14.4642,14464.2000
1,4120.4153,14.4943,14494.3000
1,4120.7139,14.7929,14792.9000
1,4120.8501,14.9291,14929.1000
1,4121.7653,15.8443,15844.3000
1,4122.2688,16.3478,16347.8000
1,4123.4957,17.5747,17574.7000
1,4125.2645,19.3435,19343.5000
1,4125.9345,20.0135,20013.5000
1,4126.7101,20.7891,20789.1000
1,4126.7609,20.8399,20839.9000
1,4126.7659,20.8449,20844.9000
1,4127.0673,21.1463,21146.3000
1,4127.8601,21.9391,21939.1000
1,4128.5868,22.6658,22665.8000
1,4129.3304,23.4094,23409.4000
1,4129.3763,23.4553,23455.3000
1,4129.6675,23.7465,23746.5000
1,4129.6737,23.7527,23752.7000
1,4130.1599,24.2389,24238.9000
1,4130.3797,24.4587,24458.7000
1,4131.0150,25.0940,25094.0000
1,4131.0594,25.1384,25138.4000
1,4131.2437,25.3227,25322.7000
1,4131.4881,25.5671,25567.1000
1,4132.3243,26.4033,26403.3000
1,4132.6876,26.7666,26766.6000
1,4133.2399,27.3189,27318.9000
1,4134.0372,28.1162,28116.2000
1,4134.9640,29.0430,29043.0000
1,4135.8984,29.9774,29977.4000
1,4137.9317,32.0107,32010.7000
1,4137.9592,32.0382,32038.2000
1,4138.8350,32.9140,32914.0000
1,4139.9135,33.9925,33992.5000
1,4140.2903,34.3693,34369.3000
1,4140.3347,34.4137,34413.7000
1,4140.5978,34.6768,34676.8000
1,4140.6538,34.7328,34732.8000
1,4140.8628,34.9418,34941.8000
1,4141.1328,35.2118,35211.8000
1,4141.1732,35.2522,35252.2000
1,4142.8377,36.9167,36916.7000
1,4143.0021,37.0811,37081.1000
1,4143.1182,37.1972,37197.2000
1,4143.2090,37.2880,37288.0000
1,4143.2339,37.3129,37312.9000
1,4143.2683,37.3473,37347.3000
1,4143.3127,37.3917,37391.7000
1,4144.8811,38.9601,38960.1000
1,4144.9071,38.9861,38986.1000
1,4144.9308,39.0098,39009.8000
1,4144.9902,39.0692,39069.2000
1,4145.0757,39.1547,39154.7000
1,4145.7684,39.8474,39847.4000
1,4145.8723,39.9513,39951.3000
1,4146.6696,40.7486,40748.6000
1,4146.9764,41.0554,41055.4000
1,4147.2765,41.3555,41355.5000
1,4147.3918,41.4708,41470.8000
1,4147.4590,41.5380,41538.0000
1,4147.5005,41.5795,41579.5000
1,4147.6263,41.7053,41705.3000
1,4147.7003,41.7793,41779.3000
1,4147.7492,41.8282,41828.2000
1,4148.3766,42.4556,42455.6000
1,4148.4123,42.4913,42491.3000
1,4148.5131,42.5921,42592.1000
1,4148.5497,42.6287,42628.7000
1,4148.5866,42.6656,42665.6000
1,4148.6104,42.6894,42689.4000
1,4149.2715,43.3505,43350.5000
1,4150.0474,44.1264,44126.4000
1,4150.1206,44.1996,44199.6000
1,4150.1656,44.2446,44244.6000
1,4150.3669,44.4459,44445.9000
1,4150.4264,44.5054,44505.4000
1,4150.4837,44.5627,44562.7000
1,4150.5275,44.6065,44606.5000
1,4150.7196,44.7986,44798.6000
1,4150.8200,44.8990,44899.0000
1,4150.9633,45.0423,45042.3000
