units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,4106.1278,0.2068,206.8000
1,4106.1509,0.2299,229.9000
1,4106.4774,0.5564,556.4000
1,4106.6580,0.7370,737.0000
1,4107.4851,1.5641,1564.1000
1,4107.5134,1.5924,1592.4000
1,4107.8280,1.9070,1907.0000
1,4108.6910,2.7700,2770.0000
1,4108.7694,2.8484,2848.4000
1,4108.8523,2.9313,2931.3000
1,4109.1405,3.2195,3219.5000
1,4109.2975,3.3765,3376.5000
1,4109.3108,3.3898,3389.8000
1,4109.4017,3.4807,3480.7000
1,4109.6324,3.7114,3711.4000
1,4109.7529,3.8319,3831.9000
1,4109.8770,3.9560,3956.0000
1,4109.9245,4.0035,4003.5000
1,4110.6022,4.6812,4681.2000
1,4110.7841,4.8631,4863.1000
1,4111.0619,5.1409,5140.9000
1,4111.2539,5.3329,5332.9000
1,4111.4110,5.4900,5490.0000
1,4111.6538,5.7328,5732.8000
1,4111.9157,5.9947,5994.7000
1,4111.9385,6.0175,6017.5000
1,4111.9947,6.0737,6073.7000
1,4112.7591,6.8381,6838.1000
1,4112.9220,7.0010,7001.0000
1,4113.0744,7.1534,7153.4000
1,4113.5077,7.5867,7586.7000
1,4113.5743,7.6533,7653.3000
1,4113.6633,7.7423,7742.3000
1,4113.6868,7.7658,7765.8000
1,4113.9711,8.0501,8050.1000
1,4113.9927,8.0717,8071.7000
1,4114.4562,8.5352,8535.2000
1,4114.5677,8.6467,8646.7000
1,4115.0775,9.1565,9156.5000
1,4115.3823,9.4613,9461.3000
1,4115.3896,9.4686,9468.6000
1,4115.5153,9.5943,9594.3000
1,4115.5335,9.6125,9612.5000
1,4115.9022,9.9812,9981.2000
1,4116.5561,10.6351,10635.1000
1,4116.8255,10.9045,10904.5000
1,4117.5595,11.6385,11638.5000
1,4118.8957,12.9747,12974.7000
1,4118.9179,12.9969,12996.9000
1,4119.3129,13.3919,13391.9000
1,4119.4428,13.5218,13521.8000
1,4119.4601,13.5391,13539.1000
1,4119.9767,14.0557,14055.7000
1,4120.5002,14.5792,14579.2000
1,4121.3392,15.4182,15418.2000
1,4121.6723,15.7513,15751.3000
1,4121.8602,15.9392,15939.2000
1,4121.9898,16.0688,16068.8000
1,4122.3744,16.4534,16453.4000
1,4122.7996,16.8786,16878.6000
1,4122.8562,16.9352,16935.2000
1,4122.8967,16.9757,16975.7000
1,4122.9714,17.0504,17050.4000
1,4122.9907,17.0697,17069.7000
1,4123.1874,17.2664,17266.4000
1,4123.5287,17.6077,17607.7000
1,4123.6122,17.6912,17691.2000
1,4123.7349,17.8139,17813.9000
1,4123.9165,17.9955,17995.5000
1,4124.2938,18.3728,18372.8000
1,4124.6776,18.7566,18756.6000
1,4124.7983,18.8773,18877.3000
1,4125.1314,19.2104,19210.4000
1,4125.7512,19.8302,19830.2000
1,4125.7604,19.8394,19839.4000
1,4126.3125,20.3915,20391.5000
1,4126.5012,20.5802,20580.2000
1,4127.1313,21.2103,21210.3000
1,4127.3862,21.4652,21465.2000
1,4127.8875,21.9665,21966.5000
1,4129.1429,23.2219,23221.9000
1,4129.2546,23.3336,23333.6000
1,4129.2566,23.3356,23335.6000
1,4129.9313,24.0103,24010.3000
1,4130.0633,24.1423,24142.3000
1,4130.8662,24.9452,24945.2000
1,4130.8723,24.9513,24951.3000
1,4132.8318,26.9108,26910.8000
1,4133.2798,27.3588,27358.8000
1,4133.7595,27.8385,27838.5000
1,4133.8106,27.8896,27889.6000
1,4134.0432,28.1222,28122.2000
1,4134.6515,28.7305,28730.5000
1,4134.8078,28.8868,28886.8000
1,4134.9227,29.0017,29001.7000
1,4135.5762,29.6552,29655.2000
1,4135.7471,29.8261,29826.1000
1,4135.8266,29.9056,29905.6000
1,4136.2727,30.3517,30351.7000
1,4136.4557,30.5347,30534.7000
1,4136.4904,30.5694,30569.4000
1,4136.5261,30.6051,30605.1000
1,4136.9153,30.9943,30994.3000
1,4137.6817,31.7607,31760.7000
1,4137.8442,31.9232,31923.2000
1,4138.0658,32.1448,32144.8000
1,4138.1768,32.2558,32255.8000
1,4138.8584,32.9374,32937.4000
1,4138.8979,32.9769,32976.9000
1,4138.9911,33.0701,33070.1000
1,4139.2860,33.3650,33365.0000
1,4139.4443,33.5233,33523.3000
1,4139.6659,33.7449,33744.9000
1,4139.8217,33.9007,33900.7000
1,4140.0903,34.1693,34169.3000
1,4140.1868,34.2658,34265.8000
1,4140.6385,34.7175,34717.5000
1,4140.9337,35.0127,35012.7000
1,4141.0535,35.1325,35132.5000
1,4141.2575,35.3365,35336.5000
1,4142.5381,36.6171,36617.1000
1,4143.3371,37.4161,37416.1000
1,4143.7453,37.8243,37824.3000
1,4144.5071,38.5861,38586.1000
1,4144.9587,39.0377,39037.7000
1,4146.3876,40.4666,40466.6000
1,4146.5077,40.5867,40586.7000
1,4146.6651,40.7441,40744.1000
1,4146.9056,40.9846,40984.6000
1,4147.2597,41.3387,41338.7000
1,4148.3956,42.4746,42474.6000
1,4148.7213,42.8003,42800.3000
1,4149.3343,43.4133,43413.3000
1,4149.8940,43.9730,43973.0000
1,4151.0357,45.1147,45114.7000
1,4151.8916,45.9706,45970.6000
1,4152.1358,46.2148,46214.8000
1,4152.1873,46.2663,46266.3000
1,4152.7300,46.8090,46809.0000
1,4152.8945,46.9735,46973.5000
1,4153.3318,47.4108,47410.8000
1,4153.4072,47.4862,47486.2000
1,4154.2011,48.2801,48280.1000
1,4154.2040,48.2830,48283.0000
1,4154.7474,48.8264,48826.4000
1,4156.0706,50.1496,50149.6000
1,4156.1701,50.2491,50249.1000
1,4157.0700,51.1490,51149.0000
1,4157.2607,51.3397,51339.7000
1,4157.7472,51.8262,51826.2000
1,4157.9978,52.0768,52076.8000
1,4158.4451,52.5241,52524.1000
1,4158.9268,53.0058,53005.8000
1,4159.7993,53.8783,53878.3000
1,4159.8971,53.9761,53976.1000
1,4159.9477,54.0267,54026.7000
1,4160.5691,54.6481,54648.1000
1,4160.9673,55.0463,55046.3000
1,4161.1442,55.2232,55223.2000
1,4161.1940,55.2730,55273.0000
1,4161.9211,56.0001,56000.1000
1,4161.9379,56.0169,56016.9000
1,4161.9478,56.0268,56026.8000
1,4162.0672,56.1462,56146.2000
1,4162.1200,56.1990,56199.0000
1,4162.2262,56.3052,56305.2000
1,4162.3622,56.4412,56441.2000
1,4162.4212,56.5002,56500.2000
1,4162.5044,56.5834,56583.4000
1,4162.5086,56.5876,56587.6000
1,4162.5831,56.6621,56662.1000
1,4163.3872,57.4662,57466.2000
1,4163.5613,57.6403,57640.3000
1,4163.5757,57.6547,57654.7000
1,4163.9784,58.0574,58057.4000
1,4164.3035,58.3825,58382.5000
1,4164.3986,58.4776,58477.6000
1,4164.4708,58.5498,58549.8000
1,4164.4972,58.5762,58576.2000
1,4164.7622,58.8412,58841.2000
1,4165.3375,59.4165,59416.5000
1,4165.6758,59.7548,59754.8000
1,4165.8155,59.8945,59894.5000
1,4166.4030,60.4820,60482.0000
1,4166.6433,60.7223,60722.3000
1,4166.9921,61.0711,61071.1000
1,4167.0053,61.0843,61084.3000
1,4167.0491,61.1281,61128.1000
1,4167.1430,61.2220,61222.0000
1,4167.1705,61.2495,61249.5000
1,4167.1860,61.2650,61265.0000
1,4167.1962,61.2752,61275.2000
1,4167.2326,61.3116,61311.6000
1,4167.3009,61.3799,61379.9000
1,4167.3201,61.3991,61399.1000
1,4167.3609,61.4399,61439.9000
1,4167.5178,61.5968,61596.8000
1,4167.6168,61.6958,61695.8000
1,4167.6790,61.7580,61758.0000
1,4167.7354,61.8144,61814.4000
1,4167.7789,61.8579,61857.9000
1,4167.8042,61.8832,61883.2000
1,4167.8338,61.9128,61912.8000
1,4167.9050,61.9840,61984.0000
1,4167.9145,61.9935,61993.5000
1,4168.0889,62.1679,62167.9000
1,4168.1505,62.2295,62229.5000
1,4168.2934,62.3724,62372.4000
1,4168.5037,62.5827,62582.7000
1,4168.5388,62.6178,62617.8000
1,4168.5563,62.6353,62635.3000
1,4168.5866,62.6656,62665.6000
1,4168.8093,62.8883,62888.3000
1,4168.9632,63.0422,63042.2000
1,4169.0138,63.0928,63092.8000
1,4169.0387,63.1177,63117.7000
1,4169.1866,63.2656,63265.6000
1,4169.2109,63.2899,63289.9000
1,4169.2157,63.2947,63294.7000
1,4169.4531,63.5321,63532.1000
1,4169.6081,63.6871,63687.1000
1,4169.6740,63.7530,63753.0000
1,4169.7332,63.8122,63812.2000
1,4169.8596,63.9386,63938.6000
1,4170.0409,64.1199,64119.9000
1,4170.0893,64.1683,64168.3000
1,4170.6296,64.7086,64708.6000
1,4170.7057,64.7847,64784.7000
1,4170.7610,64.8400,64840.0000
1,4170.9500,65.0290,65029.0000
1,4171.0904,65.1694,65169.4000
1,4171.1830,65.2620,65262.0000
1,4171.2237,65.3027,65302.7000
1,4171.2387,65.3177,65317.7000
1,4171.3438,65.4228,65422.8000
1,4171.3964,65.4754,65475.4000
1,4171.4362,65.5152,65515.2000
1,4171.5631,65.6421,65642.1000
1,4171.9399,66.0189,66018.9000
1,4172.0321,66.1111,66111.1000
1,4172.1369,66.2159,66215.9000
1,4172.2133,66.2923,66292.3000
1,4172.3720,66.4510,66451.0000
1,4172.3965,66.4755,66475.5000
1,4172.7104,66.7894,66789.4000
1,4173.1095,67.1885,67188.5000
1,4173.1846,67.2636,67263.6000
1,4174.0399,68.1189,68118.9000
1,4174.2179,68.2969,68296.9000
1,4174.2337,68.3127,68312.7000
1,4174.3844,68.4634,68463.4000
1,4174.4599,68.5389,68538.9000
1,4174.5094,68.5884,68588.4000
1,4174.5153,68.5943,68594.3000
1,4174.6109,68.6899,68689.9000
1,4174.7648,68.8438,68843.8000
1,4175.0258,69.1048,69104.8000
1,4175.1568,69.2358,69235.8000
1,4175.2230,69.3020,69302.0000
1,4175.7781,69.8571,69857.1000
1,4175.8221,69.9011,69901.1000
1,4175.9797,70.0587,70058.7000
1,4176.0065,70.0855,70085.5000
1,4176.0571,70.1361,70136.1000
1,4176.2337,70.3127,70312.7000
1,4176.6893,70.7683,70768.3000
1,4176.7360,70.8150,70815.0000
1,4176.8069,70.8859,70885.9000
1,4176.9555,71.0345,71034.5000
1,4176.9902,71.0692,71069.2000
1,4177.0589,71.1379,71137.9000
1,4177.2021,71.2811,71281.1000
1,4177.8890,71.9680,71968.0000
1,4178.3996,72.4786,72478.6000
1,4179.1941,73.2731,73273.1000
1,4179.2333,73.3123,73312.3000
1,4179.3012,73.3802,73380.2000
1,4179.3472,73.4262,73426.2000
1,4179.6807,73.7597,73759.7000
1,4179.8027,73.8817,73881.7000
1,4180.2053,74.2843,74284.3000
1,4180.3397,74.4187,74418.7000
1,4180.3967,74.4757,74475.7000
1,4180.5564,74.6354,74635.4000
1,4180.6335,74.7125,74712.5000
1,4180.6494,74.7284,74728.4000
1,4180.6710,74.7500,74750.0000
1,4180.8052,74.8842,74884.2000
1,4180.8629,74.9419,74941.9000
1,4180.8809,74.9599,74959.9000
1,4180.9854,75.0644,75064.4000
1,4181.0907,75.1697,75169.7000
1,4181.4333,75.5123,75512.3000
1,4181.4389,75.5179,75517.9000
1,4181.9089,75.9879,75987.9000
1,4181.9664,76.0454,76045.4000
1,4182.0663,76.1453,76145.3000
1,4182.1496,76.2286,76228.6000
1,4182.3093,76.3883,76388.3000
1,4182.9612,77.0402,77040.2000
1,4183.3591,77.4381,77438.1000
1,4183.6002,77.6792,77679.2000
1,4183.7494,77.8284,77828.4000
1,4183.9510,78.0300,78030.0000
1,4184.1754,78.2544,78254.4000
1,4184.3333,78.4123,78412.3000
1,4184.5670,78.6460,78646.0000
1,4184.6015,78.6805,78680.5000
1,4184.7394,78.8184,78818.4000
1,4184.8300,78.9090,78909.0000
1,4185.0480,79.1270,79127.0000
1,4185.2982,79.3772,79377.2000
1,4185.5813,79.6603,79660.3000
1,4185.6095,79.6885,79688.5000
1,4185.7731,79.8521,79852.1000
1,4186.0211,80.1001,80100.1000
1,4186.0414,80.1204,80120.4000
1,4186.1711,80.2501,80250.1000
1,4186.7045,80.7835,80783.5000
1,4186.8320,80.9110,80911.0000
1,4186.9864,81.0654,81065.4000
1,4187.1189,81.1979,81197.9000
1,4187.1374,81.2164,81216.4000
1,4187.1931,81.2721,81272.1000
1,4187.4367,81.5157,81515.7000
1,4187.6147,81.6937,81693.7000
1,4187.9438,82.0228,82022.8000
1,4188.1548,82.2338,82233.8000
1,4188.1833,82.2623,82262.3000
1,4188.2098,82.2888,82288.8000
1,4188.6836,82.7626,82762.6000
1,4188.7207,82.7997,82799.7000
1,4188.8094,82.8884,82888.4000
1,4188.8304,82.9094,82909.4000
1,4188.9215,83.0005,83000.5000
1,4190.4262,84.5052,84505.2000
1,4190.4850,84.5640,84564.0000
1,4191.0939,85.1729,85172.9000
1,4191.2631,85.3421,85342.1000
1,4191.3275,85.4065,85406.5000
1,4192.1311,86.2101,86210.1000
1,4192.3273,86.4063,86406.3000
1,4192.3696,86.4486,86448.6000
1,4192.3821,86.4611,86461.1000
1,4192.4258,86.5048,86504.8000
1,4192.5674,86.6464,86646.4000
1,4193.0354,87.1144,87114.4000
1,4193.4112,87.4902,87490.2000
1,4193.5373,87.6163,87616.3000
1,4193.6379,87.7169,87716.9000
1,4193.7627,87.8417,87841.7000
1,4193.7741,87.8531,87853.1000
1,4194.0828,88.1618,88161.8000
1,4194.2677,88.3467,88346.7000
1,4194.5796,88.6586,88658.6000
1,4194.8713,88.9503,88950.3000
1,4194.8858,88.9648,88964.8000
1,4194.9581,89.0371,89037.1000
1,4194.9986,89.0776,89077.6000
1,4195.1222,89.2012,89201.2000
1,4195.2791,89.3581,89358.1000
1,4195.5117,89.5907,89590.7000
1,4195.8767,89.9557,89955.7000
1,4196.0171,90.0961,90096.1000
1,4196.0855,90.1645,90164.5000
1,4196.5063,90.5853,90585.3000
1,4196.6841,90.7631,90763.1000
1,4196.7273,90.8063,90806.3000
1,4197.0405,91.1195,91119.5000
1,4197.2356,91.3146,91314.6000
1,4197.3510,91.4300,91430.0000
