units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,4107.0922,1.1712,1171.2000
1,4110.1279,4.2069,4206.9000
1,4128.6242,22.7032,22703.2000
1,4132.4956,26.5746,26574.6000
1,4142.7202,36.7992,36799.2000
1,4144.2483,38.3273,38327.3000
1,4149.4733,43.5523,43552.3000
1,4149.4825,43.5615,43561.5000
1,4155.5673,49.6463,49646.3000
1,4159.8256,53.9046,53904.6000
1,4161.0241,55.1031,55103.1000
1,4163.2584,57.3374,57337.4000
1,4171.4727,65.5517,65551.7000
1,4173.4752,67.5542,67554.2000
1,4176.0365,70.1155,70115.5000
1,4179.9980,74.0770,74077.0000
1,4180.0431,74.1221,74122.1000
1,4180.0781,74.1571,74157.1000
1,4180.1004,74.1794,74179.4000
1,4180.1244,74.2034,74203.4000
1,4180.1425,74.2215,74221.5000
1,4180.1936,74.2726,74272.6000
1,4180.2300,74.3090,74309.0000
1,4180.7034,74.7824,74782.4000
1,4182.1384,76.2174,76217.4000
1,4183.3181,77.3971,77397.1000
1,4183.4282,77.5072,77507.2000
1,4184.6277,78.7067,78706.7000
1,4184.6581,78.7371,78737.1000
1,4187.0337,81.1127,81112.7000
1,4188.1557,82.2347,82234.7000
1,4188.2300,82.3090,82309.0000
1,4189.8503,83.9293,83929.3000
1,4191.2843,85.3633,85363.3000
1,4191.2889,85.3679,85367.9000
1,4191.7565,85.8355,85835.5000
1,4192.6579,86.7369,86736.9000
1,4194.4487,88.5277,88527.7000
1,4197.0771,91.1561,91156.1000
1,4197.2116,91.2906,91290.6000
1,4199.7001,93.7791,93779.1000
1,4203.1831,97.2621,97262.1000
1,4204.4771,98.5561,98556.1000
1,4204.8149,98.8939,98893.9000
1,4205.7447,99.8237,99823.7000
1,4210.3228,104.4018,104401.8000
1,4210.3798,104.4588,104458.8000
1,4214.6360,108.7150,108715.0000
1,4222.1082,116.1872,116187.2000
1,4222.1105,116.1895,116189.5000
1,4222.2844,116.3634,116363.4000
1,4224.0713,118.1503,118150.3000
1,4226.5415,120.6205,120620.5000
1,4234.0119,128.0909,128090.9000
1,4236.6253,130.7043,130704.3000
1,4237.5265,131.6055,131605.5000
1,4237.5575,131.6365,131636.5000
1,4240.4286,134.5076,134507.6000
1,4241.3146,135.3936,135393.6000
1,4241.3289,135.4079,135407.9000
1,4248.9281,143.0071,143007.1000
1,4250.8299,144.9089,144908.9000
1,4250.9731,145.0521,145052.1000
1,4251.0459,145.1249,145124.9000
1,4259.6790,153.7580,153758.0000
1,4270.4806,164.5596,164559.6000
1,4287.5927,181.6717,181671.7000
1,4288.0592,182.1382,182138.2000
1,4295.8905,189.9695,189969.5000
1,4297.9470,192.0260,192026.0000
1,4298.1110,192.1900,192190.0000
1,4298.7616,192.8406,192840.6000
1,4301.7031,195.7821,195782.1000
1,4317.4667,211.5457,211545.7000
1,4318.4852,212.5642,212564.2000
1,4321.4230,215.5020,215502.0000
1,4322.8972,216.9762,216976.2000
1,4327.5264,221.6054,221605.4000
1,4333.9794,228.0584,228058.4000
1,4333.9931,228.0721,228072.1000
1,4334.1352,228.2142,228214.2000
1,4334.8383,228.9173,228917.3000
1,4335.0613,229.1403,229140.3000
1,4336.7010,230.7800,230780.0000
1,4338.6359,232.7149,232714.9000
1,4340.6373,234.7163,234716.3000
1,4342.3810,236.4600,236460.0000
1,4342.7727,236.8517,236851.7000
1,4346.0092,240.0882,240088.2000
1,4346.7715,240.8505,240850.5000
1,4349.7885,243.8675,243867.5000
1,4361.2484,255.3274,255327.4000
1,4362.9941,257.0731,257073.1000
1,4370.3605,264.4395,264439.5000
1,4382.4421,276.5211,276521.1000
1,4385.1407,279.2197,279219.7000
1,4393.4608,287.5398,287539.8000
1,4395.3297,289.4087,289408.7000
1,4395.6262,289.7052,289705.2000
1,4395.7085,289.7875,289787.5000
1,4398.0244,292.1034,292103.4000
1,4398.1053,292.1843,292184.3000
1,4398.2353,292.3143,292314.3000
1,4401.1275,295.2065,295206.5000
1,4408.6593,302.7383,302738.3000
1,4411.1780,305.2570,305257.0000
1,4414.5564,308.6354,308635.4000
1,4414.8755,308.9545,308954.5000
1,4416.2503,310.3293,310329.3000
1,4427.2055,321.2845,321284.5000
1,4432.3313,326.4103,326410.3000
1,4432.3653,326.4443,326444.3000
1,4432.4857,326.5647,326564.7000
1,4433.1815,327.2605,327260.5000
1,4433.3708,327.4498,327449.8000
1,4437.2776,331.3566,331356.6000
1,4439.5799,333.6589,333658.9000
1,4439.6502,333.7292,333729.2000
1,4442.5437,336.6227,336622.7000
1,4451.9639,346.0429,346042.9000
1,4471.4111,365.4901,365490.1000
1,4478.3572,372.4362,372436.2000
1,4478.3691,372.4481,372448.1000
1,4480.5155,374.5945,374594.5000
1,4494.6275,388.7065,388706.5000
1,4497.2489,391.3279,391327.9000
1,4497.2649,391.3439,391343.9000
1,4497.7196,391.7986,391798.6000
1,4501.8887,395.9677,395967.7000
1,4505.3547,399.4337,399433.7000
1,4505.7176,399.7966,399796.6000
1,4508.1027,402.1817,402181.7000
1,4508.1737,402.2527,402252.7000
1,4508.1992,402.2782,402278.2000
1,4508.3033,402.3823,402382.3000
1,4510.4321,404.5111,404511.1000
1,4513.5919,407.6709,407670.9000
1,4513.9367,408.0157,408015.7000
1,4525.5881,419.6671,419667.1000
1,4526.7993,420.8783,420878.3000
1,4526.8696,420.9486,420948.6000
1,4543.0481,437.1271,437127.1000
1,4550.8670,444.9460,444946.0000
1,4551.0582,445.1372,445137.2000
1,4551.9842,446.0632,446063.2000
1,4553.2006,447.2796,447279.6000
1,4553.4725,447.5515,447551.5000
1,4553.9550,448.0340,448034.0000
1,4554.2708,448.3498,448349.8000
1,4554.4067,448.4857,448485.7000
1,4557.8465,451.9255,451925.5000
1,4559.7739,453.8529,453852.9000
1,4562.0068,456.0858,456085.8000
1,4562.3180,456.3970,456397.0000
1,4571.8647,465.9437,465943.7000
1,4586.0507,480.1297,480129.7000
1,4587.5399,481.6189,481618.9000
1,4590.2723,484.3513,484351.3000
1,4596.7432,490.8222,490822.2000
1,4598.4472,492.5262,492526.2000
1,4608.0852,502.1642,502164.2000
1,4615.4524,509.5314,509531.4000
1,4615.5171,509.5961,509596.1000
1,4615.5627,509.6417,509641.7000
1,4615.5963,509.6753,509675.3000
1,4617.2799,511.3589,511358.9000
1,4617.3296,511.4086,511408.6000
1,4618.1204,512.1994,512199.4000
1,4618.1529,512.2319,512231.9000
1,4621.5626,515.6416,515641.6000
1,4627.6530,521.7320,521732.0000
1,4631.3313,525.4103,525410.3000
1,4648.5183,542.5973,542597.3000
1,4649.8741,543.9531,543953.1000
1,4655.0786,549.1576,549157.6000
1,4664.4736,558.5526,558552.6000
1,4664.4899,558.5689,558568.9000
1,4666.3927,560.4717,560471.7000
1,4666.4007,560.4797,560479.7000
1,4668.2585,562.3375,562337.5000
1,4674.8667,568.9457,568945.7000
1,4677.0184,571.0974,571097.4000
1,4678.9539,573.0329,573032.9000
1,4683.7347,577.8137,577813.7000
1,4683.9191,577.9981,577998.1000
1,4687.9428,582.0218,582021.8000
1,4691.3605,585.4395,585439.5000
1,4692.4966,586.5756,586575.6000
1,4695.4316,589.5106,589510.6000
1,4699.5443,593.6233,593623.3000
1,4701.3457,595.4247,595424.7000
1,4701.3519,595.4309,595430.9000
1,4704.6719,598.7509,598750.9000
1,4704.9790,599.0580,599058.0000
1,4705.9788,600.0578,600057.8000
1,4706.3985,600.4775,600477.5000
1,4706.8400,600.9190,600919.0000
1,4709.1049,603.1839,603183.9000
1,4711.8840,605.9630,605963.0000
1,4711.9068,605.9858,605985.8000
1,4712.3941,606.4731,606473.1000
1,4713.8014,607.8804,607880.4000
1,4713.8411,607.9201,607920.1000
1,4717.1719,611.2509,611250.9000
1,4718.8823,612.9613,612961.3000
1,4723.7597,617.8387,617838.7000
1,4724.6402,618.7192,618719.2000
1,4727.1822,621.2612,621261.2000
1,4727.2383,621.3173,621317.3000
1,4727.3037,621.3827,621382.7000
1,4727.3077,621.3867,621386.7000
1,4736.4028,630.4818,630481.8000
1,4743.3903,637.4693,637469.3000
1,4746.6062,640.6852,640685.2000
1,4755.3931,649.4721,649472.1000
1,4768.2550,662.3340,662334.0000
1,4774.5342,668.6132,668613.2000
1,4779.6571,673.7361,673736.1000
1,4779.9933,674.0723,674072.3000
1,4781.0240,675.1030,675103.0000
