units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,4106.8502,0.9292,929.2000
2,4109.5139,3.5929,3592.9000
2,4110.0693,4.1483,4148.3000
2,4116.6802,10.7592,10759.2000
2,4119.0746,13.1536,13153.6000
2,4119.2295,13.3085,13308.5000
2,4121.3946,15.4736,15473.6000
2,4126.1491,20.2281,20228.1000
2,4128.4484,22.5274,22527.4000
2,4138.9881,33.0671,33067.1000
2,4139.3325,33.4115,33411.5000
2,4143.6759,37.7549,37754.9000
2,4147.7870,41.8660,41866.0000
2,4152.8475,46.9265,46926.5000
2,4155.2465,49.3255,49325.5000
2,4164.3584,58.4374,58437.4000
2,4166.1982,60.2772,60277.2000
2,4176.8219,70.9009,70900.9000
2,4177.6632,71.7422,71742.2000
2,4185.5093,79.5883,79588.3000
2,4185.6769,79.7559,79755.9000
2,4194.8412,88.9202,88920.2000
2,4203.9024,97.9814,97981.4000
2,4219.8276,113.9066,113906.6000
2,4225.9401,120.0191,120019.1000
2,4225.9572,120.0362,120036.2000
2,4225.9645,120.0435,120043.5000
2,4226.1092,120.1882,120188.2000
2,4235.4925,129.5715,129571.5000
2,4235.8849,129.9639,129963.9000
2,4237.7152,131.7942,131794.2000
2,4241.6600,135.7390,135739.0000
2,4245.4929,139.5719,139571.9000
2,4245.5112,139.5902,139590.2000
2,4249.4983,143.5773,143577.3000
2,4249.5401,143.6191,143619.1000
2,4249.7622,143.8412,143841.2000
2,4249.8875,143.9665,143966.5000
2,4250.2345,144.3135,144313.5000
2,4250.2676,144.3466,144346.6000
2,4250.4069,144.4859,144485.9000
2,4257.1790,151.2580,151258.0000
2,4258.5214,152.6004,152600.4000
2,4260.2133,154.2923,154292.3000
2,4267.5870,161.6660,161666.0000
2,4275.3274,169.4064,169406.4000
2,4275.3320,169.4110,169411.0000
2,4290.6134,184.6924,184692.4000
2,4291.1400,185.2190,185219.0000
2,4291.1950,185.2740,185274.0000
2,4296.7608,190.8398,190839.8000
2,4296.7994,190.8784,190878.4000
2,4296.8541,190.9331,190933.1000
2,4297.3560,191.4350,191435.0000
2,4297.8946,191.9736,191973.6000
2,4299.6031,193.6821,193682.1000
2,4299.6401,193.7191,193719.1000
2,4304.6387,198.7177,198717.7000
2,4307.1055,201.1845,201184.5000
2,4310.7279,204.8069,204806.9000
2,4311.7742,205.8532,205853.2000
2,4311.8424,205.9214,205921.4000
2,4312.5394,206.6184,206618.4000
2,4322.9800,217.0590,217059.0000
2,4325.9748,220.0538,220053.8000
2,4326.1231,220.2021,220202.1000
2,4326.2110,220.2900,220290.0000
2,4328.0268,222.1058,222105.8000
2,4328.1019,222.1809,222180.9000
2,4329.7130,223.7920,223792.0000
2,4329.7408,223.8198,223819.8000
2,4344.9096,238.9886,238988.6000
2,4347.0753,241.1543,241154.3000
2,4347.2374,241.3164,241316.4000
2,4351.1142,245.1932,245193.2000
2,4361.4562,255.5352,255535.2000
2,4362.5909,256.6699,256669.9000
2,4362.7267,256.8057,256805.7000
2,4362.7296,256.8086,256808.6000
2,4363.9693,258.0483,258048.3000
2,4371.3243,265.4033,265403.3000
2,4371.4426,265.5216,265521.6000
2,4372.9550,267.0340,267034.0000
2,4372.9727,267.0517,267051.7000
2,4373.2177,267.2967,267296.7000
2,4374.1758,268.2548,268254.8000
2,4395.6835,289.7625,289762.5000
2,4395.7261,289.8051,289805.1000
2,4395.7302,289.8092,289809.2000
2,4395.7687,289.8477,289847.7000
2,4395.7776,289.8566,289856.6000
2,4395.8952,289.9742,289974.2000
2,4395.9246,290.0036,290003.6000
2,4396.4577,290.5367,290536.7000
2,4396.5562,290.6352,290635.2000
2,4428.4584,322.5374,322537.4000
2,4428.7848,322.8638,322863.8000
2,4435.6540,329.7330,329733.0000
2,4435.8812,329.9602,329960.2000
2,4435.9168,329.9958,329995.8000
2,4436.8046,330.8836,330883.6000
2,4460.6670,354.7460,354746.0000
2,4465.6551,359.7341,359734.1000
2,4465.7448,359.8238,359823.8000
2,4465.8151,359.8941,359894.1000
2,4466.2705,360.3495,360349.5000
2,4466.9453,361.0243,361024.3000
2,4467.2824,361.3614,361361.4000
2,4467.3908,361.4698,361469.8000
2,4467.6782,361.7572,361757.2000
2,4469.1043,363.1833,363183.3000
2,4470.5787,364.6577,364657.7000
2,4471.5634,365.6424,365642.4000
2,4472.9174,366.9964,366996.4000
2,4473.0031,367.0821,367082.1000
2,4473.0668,367.1458,367145.8000
2,4475.3193,369.3983,369398.3000
2,4479.3927,373.4717,373471.7000
2,4480.0738,374.1528,374152.8000
2,4481.6587,375.7377,375737.7000
2,4483.1770,377.2560,377256.0000
2,4483.2029,377.2819,377281.9000
2,4488.0084,382.0874,382087.4000
2,4492.3903,386.4693,386469.3000
2,4492.6841,386.7631,386763.1000
2,4492.8009,386.8799,386879.9000
2,4499.5513,393.6303,393630.3000
2,4501.5521,395.6311,395631.1000
2,4502.6059,396.6849,396684.9000
2,4503.4174,397.4964,397496.4000
2,4505.0696,399.1486,399148.6000
2,4509.6806,403.7596,403759.6000
2,4517.6037,411.6827,411682.7000
2,4521.8218,415.9008,415900.8000
2,4522.2721,416.3511,416351.1000
2,4529.0868,423.1658,423165.8000
2,4537.9286,432.0076,432007.6000
2,4541.6351,435.7141,435714.1000
2,4546.8199,440.8989,440898.9000
2,4550.9719,445.0509,445050.9000
2,4551.0183,445.0973,445097.3000
2,4553.6773,447.7563,447756.3000
2,4555.0394,449.1184,449118.4000
2,4555.5617,449.6407,449640.7000
2,4555.5893,449.6683,449668.3000
