units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,4106.2298,0.3088,308.8000
1,4106.3472,0.4262,426.2000
1,4106.5516,0.6306,630.6000
1,4107.0079,1.0869,1086.9000
1,4108.2004,2.2794,2279.4000
1,4108.2349,2.3139,2313.9000
1,4108.5748,2.6538,2653.8000
1,4108.6208,2.6998,2699.8000
1,4111.0489,5.1279,5127.9000
1,4111.0869,5.1659,5165.9000
1,4111.4715,5.5505,5550.5000
1,4111.4953,5.5743,5574.3000
1,4111.5019,5.5809,5580.9000
1,4114.4493,8.5283,8528.3000
1,4115.2083,9.2873,9287.3000
1,4116.3203,10.3993,10399.3000
1,4116.3268,10.4058,10405.8000
1,4116.6604,10.7394,10739.4000
1,4125.7212,19.8002,19800.2000
1,4126.1689,20.2479,20247.9000
1,4131.1416,25.2206,25220.6000
1,4133.1069,27.1859,27185.9000
1,4133.1153,27.1943,27194.3000
1,4150.3812,44.4602,44460.2000
1,4152.0522,46.1312,46131.2000
1,4152.2764,46.3554,46355.4000
1,4153.8577,47.9367,47936.7000
1,4155.5447,49.6237,49623.7000
1,4155.5919,49.6709,49670.9000
1,4155.5993,49.6783,49678.3000
1,4164.0288,58.1078,58107.8000
1,4164.1457,58.2247,58224.7000
1,4165.6428,59.7218,59721.8000
1,4165.6583,59.7373,59737.3000
1,4166.2908,60.3698,60369.8000
1,4166.3104,60.3894,60389.4000
1,4166.9176,60.9966,60996.6000
1,4166.9269,61.0059,61005.9000
1,4167.4411,61.5201,61520.1000
1,4168.2341,62.3131,62313.1000
1,4169.0474,63.1264,63126.4000
1,4169.4020,63.4810,63481.0000
1,4175.9057,69.9847,69984.7000
1,4176.8806,70.9596,70959.6000
1,4177.2155,71.2945,71294.5000
1,4178.2530,72.3320,72332.0000
1,4179.8479,73.9269,73926.9000
1,4180.7922,74.8712,74871.2000
1,4184.8571,78.9361,78936.1000
1,4187.7860,81.8650,81865.0000
1,4189.5627,83.6417,83641.7000
1,4192.1108,86.1898,86189.8000
1,4194.7860,88.8650,88865.0000
1,4196.4194,90.4984,90498.4000
1,4196.4850,90.5640,90564.0000
1,4198.1212,92.2002,92200.2000
1,4198.4369,92.5159,92515.9000
1,4198.5915,92.6705,92670.5000
1,4199.0758,93.1548,93154.8000
1,4200.0151,94.0941,94094.1000
1,4212.2205,106.2995,106299.5000
