units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,4109.5574,3.6364,3636.4000
1,4113.2878,7.3668,7366.8000
1,4113.3024,7.3814,7381.4000
1,4113.7602,7.8392,7839.2000
1,4114.4027,8.4817,8481.7000
1,4114.4094,8.4884,8488.4000
1,4114.4118,8.4908,8490.8000
1,4114.4140,8.4930,8493.0000
1,4114.4215,8.5005,8500.5000
1,4114.4277,8.5067,8506.7000
1,4114.4573,8.5363,8536.3000
1,4114.4635,8.5425,8542.5000
1,4114.4660,8.5450,8545.0000
1,4114.4748,8.5538,8553.8000
1,4114.4835,8.5625,8562.5000
1,4114.9758,9.0548,9054.8000
1,4114.9784,9.0574,9057.4000
1,4116.6291,10.7081,10708.1000
1,4118.9841,13.0631,13063.1000
1,4119.1134,13.1924,13192.4000
1,4122.2445,16.3235,16323.5000
1,4128.5892,22.6682,22668.2000
1,4130.6398,24.7188,24718.8000
1,4130.8747,24.9537,24953.7000
1,4130.8791,24.9581,24958.1000
1,4130.8838,24.9628,24962.8000
1,4133.6960,27.7750,27775.0000
1,4164.9429,59.0219,59021.9000
1,4165.1702,59.2492,59249.2000
1,4200.8737,94.9527,94952.7000
1,4215.8597,109.9387,109938.7000
1,4260.3822,154.4612,154461.2000
1,4262.4754,156.5544,156554.4000
1,4270.6174,164.6964,164696.4000
1,4275.6780,169.7570,169757.0000
1,4280.9476,175.0266,175026.6000
1,4302.2966,196.3756,196375.6000
1,4302.9482,197.0272,197027.2000
1,4305.5505,199.6295,199629.5000
1,4307.0648,201.1438,201143.8000
1,4321.0470,215.1260,215126.0000
1,4337.4393,231.5183,231518.3000
1,4347.6782,241.7572,241757.2000
1,4350.4440,244.5230,244523.0000
1,4366.9291,261.0081,261008.1000
1,4378.1131,272.1921,272192.1000
1,4378.5942,272.6732,272673.2000
1,4402.4910,296.5700,296570.0000
1,4434.4548,328.5338,328533.8000
1,4436.8824,330.9614,330961.4000
1,4436.8856,330.9646,330964.6000
1,4444.1460,338.2250,338225.0000
1,4477.3757,371.4547,371454.7000
1,4485.5178,379.5968,379596.8000
1,4489.1349,383.2139,383213.9000
1,4499.1030,393.1820,393182.0000
1,4514.6265,408.7055,408705.5000
1,4527.2761,421.3551,421355.1000
1,4533.0428,427.1218,427121.8000
1,4566.5984,460.6774,460677.4000
1,4577.3268,471.4058,471405.8000
1,4621.1914,515.2704,515270.4000
1,4640.3540,534.4330,534433.0000
1,4667.2218,561.3008,561300.8000
1,4669.2084,563.2874,563287.4000
1,4673.9568,568.0358,568035.8000
1,4689.7923,583.8713,583871.3000
1,4691.9601,586.0391,586039.1000
1,4699.2941,593.3731,593373.1000
1,4702.9963,597.0753,597075.3000
1,4718.2524,612.3314,612331.4000
1,4721.8890,615.9680,615968.0000
1,4721.9722,616.0512,616051.2000
1,4723.0678,617.1468,617146.8000
1,4723.0701,617.1491,617149.1000
1,4723.3960,617.4750,617475.0000
1,4723.4274,617.5064,617506.4000
1,4726.2989,620.3779,620377.9000
1,4741.1964,635.2754,635275.4000
1,4742.3076,636.3866,636386.6000
1,4746.6579,640.7369,640736.9000
1,4774.8757,668.9547,668954.7000
1,4821.1220,715.2010,715201.0000
1,4841.8489,735.9279,735927.9000
1,4874.5174,768.5964,768596.4000
1,4875.7270,769.8060,769806.0000
1,4881.9416,776.0206,776020.6000
1,4897.6459,791.7249,791724.9000
1,4906.7421,800.8211,800821.1000
1,4910.6465,804.7255,804725.5000
1,4919.0699,813.1489,813148.9000
1,4946.2902,840.3692,840369.2000
1,4957.2857,851.3647,851364.7000
1,4984.5297,878.6087,878608.7000
1,5009.6444,903.7234,903723.4000
1,5061.6038,955.6828,955682.8000
1,5077.2471,971.3261,971326.1000
1,5110.2486,1004.3276,1004327.6000
1,5111.6618,1005.7408,1005740.8000
1,5114.4729,1008.5519,1008551.9000
1,5127.3574,1021.4364,1021436.4000
