units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,4694.7430,588.8220,588822.0000,6,1.0-586593-589483,290.0000,1.0000,1,6,True,586593.0000,589483.0000,2229.0000,2.2290
2,4724.4979,618.5769,618576.9000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,2188.9000,2.1889
2,4727.0146,621.0936,621093.6000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,4705.6000,4.7056
2,5978.4538,1872.5328,1872532.8000,19,1.0-1871219-1873369,783.0000,1.0000,1,17,True,1871219.0000,1873369.0000,1313.8000,1.3138
2,5186.7324,1080.8114,1080811.4000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,146.4000,0.1464
2,4629.6193,523.6983,523698.3000,22,1.0-522899-527889,267.0000,1.0000,1,19,True,522899.0000,527889.0000,799.3000,0.7993
2,4803.0746,697.1536,697153.6000,38,1.0-695797-697457,326.0000,1.0000,1,33,True,695797.0000,697457.0000,1356.6000,1.3566
2,5423.5650,1317.6440,1317644.0000,39,1.0-1317090-1322080,535.0000,1.0000,1,34,True,1317090.0000,1322080.0000,554.0000,0.5540
2,5425.2333,1319.3123,1319312.3000,39,1.0-1317090-1322080,535.0000,1.0000,1,34,True,1317090.0000,1322080.0000,2222.3000,2.2223
2,5426.0469,1320.1259,1320125.9000,39,1.0-1317090-1322080,535.0000,1.0000,1,34,True,1317090.0000,1322080.0000,3035.9000,3.0359
2,4624.8796,518.9586,518958.6000,54,1.0-518795-520195,264.0000,1.0000,0,70,True,518795.0000,520195.0000,163.6000,0.1636
2,4415.3782,309.4572,309457.2000,61,1.0-307894-310294,173.0000,1.0000,1,54,True,307894.0000,310294.0000,1563.2000,1.5632
2,4948.6811,842.7601,842760.1000,65,1.0-841770-843730,368.0000,1.0000,1,57,True,841770.0000,843730.0000,990.1000,0.9901
2,4194.9363,89.0153,89015.3000,66,1.0-88785-90445,51.0000,1.0000,1,58,True,88785.0000,90445.0000,230.3000,0.2303
2,5016.3265,910.4055,910405.5000,70,1.0-909168-910678,394.0000,1.0000,1,61,True,909168.0000,910678.0000,1237.5000,1.2375
