units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,5521.1593,1415.2383,1415238.3000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1355.3000,1.3553
1,5521.3243,1415.4033,1415403.3000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1520.3000,1.5203
1,5521.6428,1415.7218,1415721.8000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1838.8000,1.8388
1,5097.7136,991.7926,991792.6000,4,1.0-990779-993679,427.0000,1.0000,1,4,True,990779.0000,993679.0000,1013.6000,1.0136
1,4401.4956,295.5746,295574.6000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,626.6000,0.6266
1,4401.6904,295.7694,295769.4000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,821.4000,0.8214
1,4403.6188,297.6978,297697.8000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,2749.8000,2.7498
1,5606.3440,1500.4230,1500423.0000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,24.0000,0.0240
1,5608.3274,1502.4064,1502406.4000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,2007.4000,2.0074
1,4147.3609,41.4399,41439.9000,8,1.0-40539-43049,22.0000,1.0000,1,8,True,40539.0000,43049.0000,900.9000,0.9009
1,4148.3304,42.4094,42409.4000,8,1.0-40539-43049,22.0000,1.0000,1,8,True,40539.0000,43049.0000,1870.4000,1.8704
1,5264.1151,1158.1941,1158194.1000,9,1.0-1156871-1158961,477.0000,1.0000,1,9,True,1156871.0000,1158961.0000,1323.1000,1.3231
1,5264.5320,1158.6110,1158611.0000,9,1.0-1156871-1158961,477.0000,1.0000,1,9,True,1156871.0000,1158961.0000,1740.0000,1.7400
1,5264.5903,1158.6693,1158669.3000,9,1.0-1156871-1158961,477.0000,1.0000,1,9,True,1156871.0000,1158961.0000,1798.3000,1.7983
1,4557.5415,451.6205,451620.5000,13,1.0-451431-453291,246.0000,1.0000,0,66,True,451431.0000,453291.0000,189.5000,0.1895
1,4558.9305,453.0095,453009.5000,13,1.0-451431-453291,246.0000,1.0000,0,66,True,451431.0000,453291.0000,1578.5000,1.5785
1,4144.4994,38.5784,38578.4000,15,1.0-37569-38669,19.0000,1.0000,1,13,True,37569.0000,38669.0000,1009.4000,1.0094
1,6001.9453,1896.0243,1896024.3000,16,1.0-1895843-1898083,799.0000,1.0000,1,14,True,1895843.0000,1898083.0000,181.3000,0.1813
1,4722.4882,616.5672,616567.2000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,179.2000,0.1792
1,4723.7787,617.8577,617857.7000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,1469.7000,1.4697
1,4724.0109,618.0899,618089.9000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,1701.9000,1.7019
1,4724.7322,618.8112,618811.2000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,2423.2000,2.4232
1,4725.4689,619.5479,619547.9000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,3159.9000,3.1599
1,6187.1800,2081.2590,2081259.0000,18,1.0-2080619-2082839,867.0000,1.0000,1,16,True,2080619.0000,2082839.0000,640.0000,0.6400
1,5977.6492,1871.7282,1871728.2000,19,1.0-1871219-1873369,783.0000,1.0000,1,17,True,1871219.0000,1873369.0000,509.2000,0.5092
1,5186.6387,1080.7177,1080717.7000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,52.7000,0.0527
1,5187.0541,1081.1331,1081133.1000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,468.1000,0.4681
1,5188.2652,1082.3442,1082344.2000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,1679.2000,1.6792
1,5188.4109,1082.4899,1082489.9000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,1824.9000,1.8249
1,5188.4506,1082.5296,1082529.6000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,1864.6000,1.8646
1,5190.6892,1084.7682,1084768.2000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,4103.2000,4.1032
1,5190.8006,1084.8796,1084879.6000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,4214.6000,4.2146
1,5191.4463,1085.5253,1085525.3000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,4860.3000,4.8603
1,4629.1407,523.2197,523219.7000,22,1.0-522899-527889,267.0000,1.0000,1,19,True,522899.0000,527889.0000,320.7000,0.3207
1,4629.1859,523.2649,523264.9000,22,1.0-522899-527889,267.0000,1.0000,1,19,True,522899.0000,527889.0000,365.9000,0.3659
1,4630.6427,524.7217,524721.7000,22,1.0-522899-527889,267.0000,1.0000,1,19,True,522899.0000,527889.0000,1822.7000,1.8227
1,4631.3705,525.4495,525449.5000,22,1.0-522899-527889,267.0000,1.0000,1,19,True,522899.0000,527889.0000,2550.5000,2.5505
1,4633.4339,527.5129,527512.9000,22,1.0-522899-527889,267.0000,1.0000,1,19,True,522899.0000,527889.0000,4613.9000,4.6139
1,4814.9269,709.0059,709005.9000,23,1.0-708910-710950,330.0000,1.0000,1,20,True,708910.0000,710950.0000,95.9000,0.0959
1,6497.6604,2391.7394,2391739.4000,24,1.0-2390081-2395101,981.0000,1.0000,1,21,True,2390081.0000,2395101.0000,1658.4000,1.6584
1,6500.0217,2394.1007,2394100.7000,24,1.0-2390081-2395101,981.0000,1.0000,1,21,True,2390081.0000,2395101.0000,4019.7000,4.0197
1,4917.6911,811.7701,811770.1000,27,1.0-809206-812095,358.0000,1.0000,1,24,True,809206.0000,812095.0000,2564.1000,2.5641
1,5709.4884,1603.5674,1603567.4000,28,1.0-1602763-1605553,650.0000,1.0000,1,25,True,1602763.0000,1605553.0000,804.4000,0.8044
1,5711.1334,1605.2124,1605212.4000,28,1.0-1602763-1605553,650.0000,1.0000,1,25,True,1602763.0000,1605553.0000,2449.4000,2.4494
1,5711.2871,1605.3661,1605366.1000,28,1.0-1602763-1605553,650.0000,1.0000,1,25,True,1602763.0000,1605553.0000,2603.1000,2.6031
1,5554.1419,1448.2209,1448220.9000,33,1.0-1446781-1448721,574.0000,1.0000,0,69,True,1446781.0000,1448721.0000,1439.9000,1.4399
1,5554.2661,1448.3451,1448345.1000,33,1.0-1446781-1448721,574.0000,1.0000,0,69,True,1446781.0000,1448721.0000,1564.1000,1.5641
1,6165.3776,2059.4566,2059456.6000,34,1.0-2057597-2059667,857.0000,1.0000,1,29,True,2057597.0000,2059667.0000,1859.6000,1.8596
1,6145.2902,2039.3692,2039369.2000,36,1.0-2036710-2039460,848.0000,1.0000,1,31,True,2036710.0000,2039460.0000,2659.2000,2.6592
1,4802.3115,696.3905,696390.5000,38,1.0-695797-697457,326.0000,1.0000,1,33,True,695797.0000,697457.0000,593.5000,0.5935
1,5426.8671,1320.9461,1320946.1000,39,1.0-1317090-1322080,535.0000,1.0000,1,34,True,1317090.0000,1322080.0000,3856.1000,3.8561
1,6272.0805,2166.1595,2166159.5000,41,1.0-2165533-2170533,898.0000,1.0000,1,36,True,2165533.0000,2170533.0000,626.5000,0.6265
1,6273.4729,2167.5519,2167551.9000,41,1.0-2165533-2170533,898.0000,1.0000,1,36,True,2165533.0000,2170533.0000,2018.9000,2.0189
1,4476.3694,370.4484,370448.4000,42,1.0-368919-370509,205.0000,1.0000,1,37,True,368919.0000,370509.0000,1529.4000,1.5294
1,4283.7790,177.8580,177858.0000,43,1.0-176135-178415,105.0000,1.0000,1,38,True,176135.0000,178415.0000,1723.0000,1.7230
1,5857.4504,1751.5294,1751529.4000,44,1.0-1750737-1752087,720.0000,1.0000,1,39,True,1750737.0000,1752087.0000,792.4000,0.7924
1,4438.1854,332.2644,332264.4000,45,1.0-331083-334072,187.0000,1.0000,1,40,True,331083.0000,334072.0000,1181.4000,1.1814
1,4438.5008,332.5798,332579.8000,45,1.0-331083-334072,187.0000,1.0000,1,40,True,331083.0000,334072.0000,1496.8000,1.4968
1,4438.5156,332.5946,332594.6000,45,1.0-331083-334072,187.0000,1.0000,1,40,True,331083.0000,334072.0000,1511.6000,1.5116
1,4438.9696,333.0486,333048.6000,45,1.0-331083-334072,187.0000,1.0000,1,40,True,331083.0000,334072.0000,1965.6000,1.9656
1,4529.0822,423.1612,423161.2000,47,1.0-421669-426669,230.0000,1.0000,1,42,True,421669.0000,426669.0000,1492.2000,1.4922
1,4530.1893,424.2683,424268.3000,47,1.0-421669-426669,230.0000,1.0000,1,42,True,421669.0000,426669.0000,2599.3000,2.5993
1,4530.6841,424.7631,424763.1000,47,1.0-421669-426669,230.0000,1.0000,1,42,True,421669.0000,426669.0000,3094.1000,3.0941
1,4531.5559,425.6349,425634.9000,47,1.0-421669-426669,230.0000,1.0000,1,42,True,421669.0000,426669.0000,3965.9000,3.9659
1,4531.8214,425.9004,425900.4000,47,1.0-421669-426669,230.0000,1.0000,1,42,True,421669.0000,426669.0000,4231.4000,4.2314
1,4309.5488,203.6278,203627.8000,48,1.0-203027-203777,119.0000,1.0000,1,43,True,203027.0000,203777.0000,600.8000,0.6008
1,5000.4608,894.5398,894539.8000,50,1.0-893820-895660,387.0000,1.0000,1,45,True,893820.0000,895660.0000,719.8000,0.7198
1,4198.6995,92.7785,92778.5000,51,1.0-92755-93455,54.0000,1.0000,1,46,True,92755.0000,93455.0000,23.5000,0.0235
1,4290.2222,184.3012,184301.2000,52,1.0-184242-187162,109.0000,1.0000,1,47,True,184242.0000,187162.0000,59.2000,0.0592
1,4291.9241,186.0031,186003.1000,52,1.0-184242-187162,109.0000,1.0000,1,47,True,184242.0000,187162.0000,1761.1000,1.7611
1,4292.6341,186.7131,186713.1000,52,1.0-184242-187162,109.0000,1.0000,1,47,True,184242.0000,187162.0000,2471.1000,2.4711
1,5631.1027,1525.1817,1525181.7000,53,1.0-1520751-1525761,612.0000,1.0000,1,48,True,1520751.0000,1525761.0000,4430.7000,4.4307
1,5631.1713,1525.2503,1525250.3000,53,1.0-1520751-1525761,612.0000,1.0000,1,48,True,1520751.0000,1525761.0000,4499.3000,4.4993
1,5936.0607,1830.1397,1830139.7000,55,1.0-1829946-1830966,755.0000,1.0000,1,49,True,1829946.0000,1830966.0000,193.7000,0.1937
1,5936.4877,1830.5667,1830566.7000,55,1.0-1829946-1830966,755.0000,1.0000,1,49,True,1829946.0000,1830966.0000,620.7000,0.6207
1,4151.5975,45.6765,45676.5000,57,1.0-44609-47579,24.0000,1.0000,1,51,True,44609.0000,47579.0000,1067.5000,1.0675
1,4152.4651,46.5441,46544.1000,57,1.0-44609-47579,24.0000,1.0000,1,51,True,44609.0000,47579.0000,1935.1000,1.9351
1,4152.6073,46.6863,46686.3000,57,1.0-44609-47579,24.0000,1.0000,1,51,True,44609.0000,47579.0000,2077.3000,2.0773
1,4152.8831,46.9621,46962.1000,57,1.0-44609-47579,24.0000,1.0000,1,51,True,44609.0000,47579.0000,2353.1000,2.3531
1,4241.1493,135.2283,135228.3000,58,1.0-134962-137812,79.0000,1.0000,1,52,True,134962.0000,137812.0000,266.3000,0.2663
1,4243.3083,137.3873,137387.3000,58,1.0-134962-137812,79.0000,1.0000,1,52,True,134962.0000,137812.0000,2425.3000,2.4253
1,4243.3401,137.4191,137419.1000,58,1.0-134962-137812,79.0000,1.0000,1,52,True,134962.0000,137812.0000,2457.1000,2.4571
1,4243.4535,137.5325,137532.5000,58,1.0-134962-137812,79.0000,1.0000,1,52,True,134962.0000,137812.0000,2570.5000,2.5705
1,4243.5472,137.6262,137626.2000,58,1.0-134962-137812,79.0000,1.0000,1,52,True,134962.0000,137812.0000,2664.2000,2.6642
1,5143.8448,1037.9238,1037923.8000,59,1.0-1037824-1040704,444.0000,1.0000,1,53,True,1037824.0000,1040704.0000,99.8000,0.0998
1,5143.9006,1037.9796,1037979.6000,59,1.0-1037824-1040704,444.0000,1.0000,1,53,True,1037824.0000,1040704.0000,155.6000,0.1556
1,5941.2026,1835.2816,1835281.6000,64,1.0-1833883-1838903,758.0000,1.0000,1,56,True,1833883.0000,1838903.0000,1398.6000,1.3986
1,5941.4781,1835.5571,1835557.1000,64,1.0-1833883-1838903,758.0000,1.0000,1,56,True,1833883.0000,1838903.0000,1674.1000,1.6741
1,5943.1194,1837.1984,1837198.4000,64,1.0-1833883-1838903,758.0000,1.0000,1,56,True,1833883.0000,1838903.0000,3315.4000,3.3154
1,4947.7489,841.8279,841827.9000,65,1.0-841770-843730,368.0000,1.0000,1,57,True,841770.0000,843730.0000,57.9000,0.0579
1,4948.2003,842.2793,842279.3000,65,1.0-841770-843730,368.0000,1.0000,1,57,True,841770.0000,843730.0000,509.3000,0.5093
1,4948.2813,842.3603,842360.3000,65,1.0-841770-843730,368.0000,1.0000,1,57,True,841770.0000,843730.0000,590.3000,0.5903
1,4948.4691,842.5481,842548.1000,65,1.0-841770-843730,368.0000,1.0000,1,57,True,841770.0000,843730.0000,778.1000,0.7781
1,4949.4185,843.4975,843497.5000,65,1.0-841770-843730,368.0000,1.0000,1,57,True,841770.0000,843730.0000,1727.5000,1.7275
1,4195.8663,89.9453,89945.3000,66,1.0-88785-90445,51.0000,1.0000,1,58,True,88785.0000,90445.0000,1160.3000,1.1603
1,5166.3758,1060.4548,1060454.8000,69,1.0-1060412-1061052,451.0000,1.0000,1,60,True,1060412.0000,1061052.0000,42.8000,0.0428
1,4286.2167,180.2957,180295.7000,71,1.0-180272-182102,107.0000,1.0000,0,74,True,180272.0000,182102.0000,23.7000,0.0237
1,4287.8430,181.9220,181922.0000,71,1.0-180272-182102,107.0000,1.0000,0,74,True,180272.0000,182102.0000,1650.0000,1.6500
1,4159.6546,53.7336,53733.6000,72,1.0-53584-55584,28.0000,1.0000,1,62,True,53584.0000,55584.0000,149.6000,0.1496
1,4159.6714,53.7504,53750.4000,72,1.0-53584-55584,28.0000,1.0000,1,62,True,53584.0000,55584.0000,166.4000,0.1664
1,4159.9863,54.0653,54065.3000,72,1.0-53584-55584,28.0000,1.0000,1,62,True,53584.0000,55584.0000,481.3000,0.4813
1,4160.3872,54.4662,54466.2000,72,1.0-53584-55584,28.0000,1.0000,1,62,True,53584.0000,55584.0000,882.2000,0.8822
1,4161.3521,55.4311,55431.1000,72,1.0-53584-55584,28.0000,1.0000,1,62,True,53584.0000,55584.0000,1847.1000,1.8471
1,5047.9656,942.0446,942044.6000,73,1.0-941966-942536,408.0000,1.0000,1,63,True,941966.0000,942536.0000,78.6000,0.0786
1,5300.0973,1194.1763,1194176.3000,74,1.0-1194073-1196793,492.0000,1.0000,0,75,True,1194073.0000,1196793.0000,103.3000,0.1033
1,5300.3962,1194.4752,1194475.2000,74,1.0-1194073-1196793,492.0000,1.0000,0,75,True,1194073.0000,1196793.0000,402.2000,0.4022
1,5301.9687,1196.0477,1196047.7000,74,1.0-1194073-1196793,492.0000,1.0000,0,75,True,1194073.0000,1196793.0000,1974.7000,1.9747
