units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,5519.9737,1414.0527,1414052.7000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,169.7000,0.1697
2,5519.9888,1414.0678,1414067.8000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,184.8000,0.1848
2,5520.1217,1414.2007,1414200.7000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,317.7000,0.3177
2,5520.1463,1414.2253,1414225.3000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,342.3000,0.3423
2,5520.2373,1414.3163,1414316.3000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,433.3000,0.4333
2,5520.2544,1414.3334,1414333.4000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,450.4000,0.4504
2,5520.2723,1414.3513,1414351.3000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,468.3000,0.4683
2,5520.3787,1414.4577,1414457.7000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,574.7000,0.5747
2,5520.4319,1414.5109,1414510.9000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,627.9000,0.6279
2,5520.5123,1414.5913,1414591.3000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,708.3000,0.7083
2,5520.5276,1414.6066,1414606.6000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,723.6000,0.7236
2,5520.5946,1414.6736,1414673.6000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,790.6000,0.7906
2,5520.6333,1414.7123,1414712.3000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,829.3000,0.8293
2,5520.6771,1414.7561,1414756.1000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,873.1000,0.8731
2,5520.6854,1414.7644,1414764.4000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,881.4000,0.8814
2,5520.7223,1414.8013,1414801.3000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,918.3000,0.9183
2,5521.1577,1415.2367,1415236.7000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1353.7000,1.3537
2,5521.1993,1415.2783,1415278.3000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1395.3000,1.3953
2,5521.2567,1415.3357,1415335.7000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1452.7000,1.4527
2,4484.4376,378.5166,378516.6000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,422.6000,0.4226
2,4485.0970,379.1760,379176.0000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1082.0000,1.0820
2,4485.2265,379.3055,379305.5000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1211.5000,1.2115
2,4485.3332,379.4122,379412.2000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1318.2000,1.3182
2,4486.0998,380.1788,380178.8000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,2084.8000,2.0848
2,4486.1038,380.1828,380182.8000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,2088.8000,2.0888
2,4245.7369,139.8159,139815.9000,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,349.9000,0.3499
2,4246.0313,140.1103,140110.3000,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,644.3000,0.6443
2,4246.2296,140.3086,140308.6000,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,842.6000,0.8426
2,4246.4382,140.5172,140517.2000,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,1051.2000,1.0512
2,4246.5009,140.5799,140579.9000,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,1113.9000,1.1139
2,5096.7046,990.7836,990783.6000,4,1.0-990779-993679,427.0000,1.0000,1,4,True,990779.0000,993679.0000,4.6000,0.0046
2,5096.7124,990.7914,990791.4000,4,1.0-990779-993679,427.0000,1.0000,1,4,True,990779.0000,993679.0000,12.4000,0.0124
2,5098.8981,992.9771,992977.1000,4,1.0-990779-993679,427.0000,1.0000,1,4,True,990779.0000,993679.0000,2198.1000,2.1981
2,5098.9725,993.0515,993051.5000,4,1.0-990779-993679,427.0000,1.0000,1,4,True,990779.0000,993679.0000,2272.5000,2.2725
2,5099.0165,993.0955,993095.5000,4,1.0-990779-993679,427.0000,1.0000,1,4,True,990779.0000,993679.0000,2316.5000,2.3165
2,4400.9198,294.9988,294998.8000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,50.8000,0.0508
2,4402.0303,296.1093,296109.3000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,1161.3000,1.1613
2,4403.0464,297.1254,297125.4000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,2177.4000,2.1774
2,4692.6496,586.7286,586728.6000,6,1.0-586593-589483,290.0000,1.0000,1,6,True,586593.0000,589483.0000,135.6000,0.1356
2,4693.2214,587.3004,587300.4000,6,1.0-586593-589483,290.0000,1.0000,1,6,True,586593.0000,589483.0000,707.4000,0.7074
2,4693.6551,587.7341,587734.1000,6,1.0-586593-589483,290.0000,1.0000,1,6,True,586593.0000,589483.0000,1141.1000,1.1411
2,4695.1652,589.2442,589244.2000,6,1.0-586593-589483,290.0000,1.0000,1,6,True,586593.0000,589483.0000,2651.2000,2.6512
2,5606.4223,1500.5013,1500501.3000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,102.3000,0.1023
2,5607.2362,1501.3152,1501315.2000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,916.2000,0.9162
2,5607.3641,1501.4431,1501443.1000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,1044.1000,1.0441
2,5607.3788,1501.4578,1501457.8000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,1058.8000,1.0588
2,5607.4117,1501.4907,1501490.7000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,1091.7000,1.0917
2,5607.4277,1501.5067,1501506.7000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,1107.7000,1.1077
2,5607.4575,1501.5365,1501536.5000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,1137.5000,1.1375
2,5607.6925,1501.7715,1501771.5000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,1372.5000,1.3725
2,5607.9107,1501.9897,1501989.7000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,1590.7000,1.5907
2,5608.0397,1502.1187,1502118.7000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,1719.7000,1.7197
2,4146.4872,40.5662,40566.2000,8,1.0-40539-43049,22.0000,1.0000,1,8,True,40539.0000,43049.0000,27.2000,0.0272
2,4146.5271,40.6061,40606.1000,8,1.0-40539-43049,22.0000,1.0000,1,8,True,40539.0000,43049.0000,67.1000,0.0671
2,4316.9674,211.0464,211046.4000,10,1.0-209934-212144,126.0000,1.0000,1,10,True,209934.0000,212144.0000,1112.4000,1.1124
2,4597.8907,491.9697,491969.7000,11,1.0-491436-493176,257.0000,1.0000,1,11,True,491436.0000,493176.0000,533.7000,0.5337
2,4598.6582,492.7372,492737.2000,11,1.0-491436-493176,257.0000,1.0000,1,11,True,491436.0000,493176.0000,1301.2000,1.3012
2,6157.2166,2051.2956,2051295.6000,12,1.0-2051191-2052131,852.0000,1.0000,0,65,True,2051191.0000,2052131.0000,104.6000,0.1046
2,4558.1241,452.2031,452203.1000,13,1.0-451431-453291,246.0000,1.0000,0,66,True,451431.0000,453291.0000,772.1000,0.7721
2,4558.3336,452.4126,452412.6000,13,1.0-451431-453291,246.0000,1.0000,0,66,True,451431.0000,453291.0000,981.6000,0.9816
2,4558.4924,452.5714,452571.4000,13,1.0-451431-453291,246.0000,1.0000,0,66,True,451431.0000,453291.0000,1140.4000,1.1404
2,4143.7879,37.8669,37866.9000,15,1.0-37569-38669,19.0000,1.0000,1,13,True,37569.0000,38669.0000,297.9000,0.2979
2,4144.0443,38.1233,38123.3000,15,1.0-37569-38669,19.0000,1.0000,1,13,True,37569.0000,38669.0000,554.3000,0.5543
2,4144.2311,38.3101,38310.1000,15,1.0-37569-38669,19.0000,1.0000,1,13,True,37569.0000,38669.0000,741.1000,0.7411
2,6003.9260,1898.0050,1898005.0000,16,1.0-1895843-1898083,799.0000,1.0000,1,14,True,1895843.0000,1898083.0000,2162.0000,2.1620
2,4722.7743,616.8533,616853.3000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,465.3000,0.4653
2,4723.2310,617.3100,617310.0000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,922.0000,0.9220
2,4723.2434,617.3224,617322.4000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,934.4000,0.9344
2,4723.3557,617.4347,617434.7000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,1046.7000,1.0467
2,4723.4251,617.5041,617504.1000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,1116.1000,1.1161
2,4726.3936,620.4726,620472.6000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,4084.6000,4.0846
2,4726.8866,620.9656,620965.6000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,4577.6000,4.5776
2,4727.0171,621.0961,621096.1000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,4708.1000,4.7081
2,4727.0596,621.1386,621138.6000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,4750.6000,4.7506
2,5977.3079,1871.3869,1871386.9000,19,1.0-1871219-1873369,783.0000,1.0000,1,17,True,1871219.0000,1873369.0000,167.9000,0.1679
2,5977.6188,1871.6978,1871697.8000,19,1.0-1871219-1873369,783.0000,1.0000,1,17,True,1871219.0000,1873369.0000,478.8000,0.4788
2,5664.1929,1558.2719,1558271.9000,20,1.0-1556786-1561795,634.0000,1.0000,1,18,True,1556786.0000,1561795.0000,1485.9000,1.4859
2,5664.9246,1559.0036,1559003.6000,20,1.0-1556786-1561795,634.0000,1.0000,1,18,True,1556786.0000,1561795.0000,2217.6000,2.2176
2,5188.1781,1082.2571,1082257.1000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,1592.1000,1.5921
2,5189.5293,1083.6083,1083608.3000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,2943.3000,2.9433
2,5189.6085,1083.6875,1083687.5000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,3022.5000,3.0225
2,5189.8713,1083.9503,1083950.3000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,3285.3000,3.2853
2,5190.3552,1084.4342,1084434.2000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,3769.2000,3.7692
2,5191.0560,1085.1350,1085135.0000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,4470.0000,4.4700
2,4629.2110,523.2900,523290.0000,22,1.0-522899-527889,267.0000,1.0000,1,19,True,522899.0000,527889.0000,391.0000,0.3910
2,4629.3403,523.4193,523419.3000,22,1.0-522899-527889,267.0000,1.0000,1,19,True,522899.0000,527889.0000,520.3000,0.5203
2,4630.1714,524.2504,524250.4000,22,1.0-522899-527889,267.0000,1.0000,1,19,True,522899.0000,527889.0000,1351.4000,1.3514
2,4815.3173,709.3963,709396.3000,23,1.0-708910-710950,330.0000,1.0000,1,20,True,708910.0000,710950.0000,486.3000,0.4863
2,4815.8331,709.9121,709912.1000,23,1.0-708910-710950,330.0000,1.0000,1,20,True,708910.0000,710950.0000,1002.1000,1.0021
2,4816.7595,710.8385,710838.5000,23,1.0-708910-710950,330.0000,1.0000,1,20,True,708910.0000,710950.0000,1928.5000,1.9285
2,6496.1183,2390.1973,2390197.3000,24,1.0-2390081-2395101,981.0000,1.0000,1,21,True,2390081.0000,2395101.0000,116.3000,0.1163
2,6497.7197,2391.7987,2391798.7000,24,1.0-2390081-2395101,981.0000,1.0000,1,21,True,2390081.0000,2395101.0000,1717.7000,1.7177
2,6498.5190,2392.5980,2392598.0000,24,1.0-2390081-2395101,981.0000,1.0000,1,21,True,2390081.0000,2395101.0000,2517.0000,2.5170
2,6499.2744,2393.3534,2393353.4000,24,1.0-2390081-2395101,981.0000,1.0000,1,21,True,2390081.0000,2395101.0000,3272.4000,3.2724
2,6500.0391,2394.1181,2394118.1000,24,1.0-2390081-2395101,981.0000,1.0000,1,21,True,2390081.0000,2395101.0000,4037.1000,4.0371
2,6500.8056,2394.8846,2394884.6000,24,1.0-2390081-2395101,981.0000,1.0000,1,21,True,2390081.0000,2395101.0000,4803.6000,4.8036
2,6500.9289,2395.0079,2395007.9000,24,1.0-2390081-2395101,981.0000,1.0000,1,21,True,2390081.0000,2395101.0000,4926.9000,4.9269
2,6338.4288,2232.5078,2232507.8000,25,1.0-2232063-2233453,922.0000,1.0000,1,22,True,2232063.0000,2233453.0000,444.8000,0.4448
2,6338.6799,2232.7589,2232758.9000,25,1.0-2232063-2233453,922.0000,1.0000,1,22,True,2232063.0000,2233453.0000,695.9000,0.6959
