units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,5521.3415,1415.4205,1415420.5000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1537.5000,1.5375
2,5521.5618,1415.6408,1415640.8000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1757.8000,1.7578
2,5521.6506,1415.7296,1415729.6000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1846.6000,1.8466
2,4484.7614,378.8404,378840.4000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,746.4000,0.7464
2,4485.3638,379.4428,379442.8000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1348.8000,1.3488
2,4693.3020,587.3810,587381.0000,6,1.0-586593-589483,290.0000,1.0000,1,6,True,586593.0000,589483.0000,788.0000,0.7880
2,4694.0821,588.1611,588161.1000,6,1.0-586593-589483,290.0000,1.0000,1,6,True,586593.0000,589483.0000,1568.1000,1.5681
2,4694.7426,588.8216,588821.6000,6,1.0-586593-589483,290.0000,1.0000,1,6,True,586593.0000,589483.0000,2228.6000,2.2286
2,5263.3666,1157.4456,1157445.6000,9,1.0-1156871-1158961,477.0000,1.0000,1,9,True,1156871.0000,1158961.0000,574.6000,0.5746
2,5264.5634,1158.6424,1158642.4000,9,1.0-1156871-1158961,477.0000,1.0000,1,9,True,1156871.0000,1158961.0000,1771.4000,1.7714
2,6003.7306,1897.8096,1897809.6000,16,1.0-1895843-1898083,799.0000,1.0000,1,14,True,1895843.0000,1898083.0000,1966.6000,1.9666
2,6003.7664,1897.8454,1897845.4000,16,1.0-1895843-1898083,799.0000,1.0000,1,14,True,1895843.0000,1898083.0000,2002.4000,2.0024
