units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,5520.2848,1414.3638,1414363.8000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,480.8000,0.4808
1,5520.9832,1415.0622,1415062.2000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1179.2000,1.1792
1,5520.9918,1415.0708,1415070.8000,1,1.0-1413883-1415762,560.0000,1.0000,1,1,True,1413883.0000,1415762.0000,1187.8000,1.1878
1,4484.0797,378.1587,378158.7000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,64.7000,0.0647
1,4484.5817,378.6607,378660.7000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,566.7000,0.5667
1,4484.7040,378.7830,378783.0000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,689.0000,0.6890
1,4484.9741,379.0531,379053.1000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,959.1000,0.9591
1,5097.8252,991.9042,991904.2000,4,1.0-990779-993679,427.0000,1.0000,1,4,True,990779.0000,993679.0000,1125.2000,1.1252
1,5097.8479,991.9269,991926.9000,4,1.0-990779-993679,427.0000,1.0000,1,4,True,990779.0000,993679.0000,1147.9000,1.1479
1,4401.0694,295.1484,295148.4000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,200.4000,0.2004
1,4402.0767,296.1557,296155.7000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,1207.7000,1.2077
1,4402.1084,296.1874,296187.4000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,1239.4000,1.2394
1,4402.6266,296.7056,296705.6000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,1757.6000,1.7576
1,5606.8871,1500.9661,1500966.1000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,567.1000,0.5671
1,5607.0528,1501.1318,1501131.8000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,732.8000,0.7328
1,5607.0645,1501.1435,1501143.5000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,744.5000,0.7445
1,5607.6085,1501.6875,1501687.5000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,1288.5000,1.2885
1,5607.6458,1501.7248,1501724.8000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,1325.8000,1.3258
1,5608.1002,1502.1792,1502179.2000,7,1.0-1500399-1502858,600.0000,1.0000,1,7,True,1500399.0000,1502858.0000,1780.2000,1.7802
1,5264.3298,1158.4088,1158408.8000,9,1.0-1156871-1158961,477.0000,1.0000,1,9,True,1156871.0000,1158961.0000,1537.8000,1.5378
1,4316.1771,210.2561,210256.1000,10,1.0-209934-212144,126.0000,1.0000,1,10,True,209934.0000,212144.0000,322.1000,0.3221
1,4316.5503,210.6293,210629.3000,10,1.0-209934-212144,126.0000,1.0000,1,10,True,209934.0000,212144.0000,695.3000,0.6953
1,4316.9777,211.0567,211056.7000,10,1.0-209934-212144,126.0000,1.0000,1,10,True,209934.0000,212144.0000,1122.7000,1.1227
1,4597.4600,491.5390,491539.0000,11,1.0-491436-493176,257.0000,1.0000,1,11,True,491436.0000,493176.0000,103.0000,0.1030
1,4557.5927,451.6717,451671.7000,13,1.0-451431-453291,246.0000,1.0000,0,66,True,451431.0000,453291.0000,240.7000,0.2407
1,4557.6000,451.6790,451679.0000,13,1.0-451431-453291,246.0000,1.0000,0,66,True,451431.0000,453291.0000,248.0000,0.2480
1,4558.0414,452.1204,452120.4000,13,1.0-451431-453291,246.0000,1.0000,0,66,True,451431.0000,453291.0000,689.4000,0.6894
1,4559.0534,453.1324,453132.4000,13,1.0-451431-453291,246.0000,1.0000,0,66,True,451431.0000,453291.0000,1701.4000,1.7014
1,5104.8485,998.9275,998927.5000,14,1.0-998686-999516,429.0000,1.0000,1,12,True,998686.0000,999516.0000,241.5000,0.2415
1,4723.1854,617.2644,617264.4000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,876.4000,0.8764
1,4723.5149,617.5939,617593.9000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,1205.9000,1.2059
1,4723.5215,617.6005,617600.5000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,1212.5000,1.2125
1,4724.6965,618.7755,618775.5000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,2387.5000,2.3875
1,4726.1714,620.2504,620250.4000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,3862.4000,3.8624
1,4726.3458,620.4248,620424.8000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,4036.8000,4.0368
1,4726.3587,620.4377,620437.7000,17,1.0-616388-621418,300.0000,1.0000,1,15,True,616388.0000,621418.0000,4049.7000,4.0497
1,6187.5676,2081.6466,2081646.6000,18,1.0-2080619-2082839,867.0000,1.0000,1,16,True,2080619.0000,2082839.0000,1027.6000,1.0276
1,5977.8647,1871.9437,1871943.7000,19,1.0-1871219-1873369,783.0000,1.0000,1,17,True,1871219.0000,1873369.0000,724.7000,0.7247
1,5662.9254,1557.0044,1557004.4000,20,1.0-1556786-1561795,634.0000,1.0000,1,18,True,1556786.0000,1561795.0000,218.4000,0.2184
1,5186.6272,1080.7062,1080706.2000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,41.2000,0.0412
1,5186.6834,1080.7624,1080762.4000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,97.4000,0.0974
1,5186.6907,1080.7697,1080769.7000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,104.7000,0.1047
1,5186.7007,1080.7797,1080779.7000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,114.7000,0.1147
1,5188.8159,1082.8949,1082894.9000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,2229.9000,2.2299
1,5188.8929,1082.9719,1082971.9000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,2306.9000,2.3069
1,5188.8981,1082.9771,1082977.1000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,2312.1000,2.3121
1,4631.8664,525.9454,525945.4000,22,1.0-522899-527889,267.0000,1.0000,1,19,True,522899.0000,527889.0000,3046.4000,3.0464
1,4632.5024,526.5814,526581.4000,22,1.0-522899-527889,267.0000,1.0000,1,19,True,522899.0000,527889.0000,3682.4000,3.6824
1,4632.5742,526.6532,526653.2000,22,1.0-522899-527889,267.0000,1.0000,1,19,True,522899.0000,527889.0000,3754.2000,3.7542
1,4815.9005,709.9795,709979.5000,23,1.0-708910-710950,330.0000,1.0000,1,20,True,708910.0000,710950.0000,1069.5000,1.0695
1,6117.9925,2012.0715,2012071.5000,26,1.0-2010652-2012832,835.0000,1.0000,1,23,True,2010652.0000,2012832.0000,1419.5000,1.4195
1,4915.7621,809.8411,809841.1000,27,1.0-809206-812095,358.0000,1.0000,1,24,True,809206.0000,812095.0000,635.1000,0.6351
1,4916.4816,810.5606,810560.6000,27,1.0-809206-812095,358.0000,1.0000,1,24,True,809206.0000,812095.0000,1354.6000,1.3546
1,4916.6301,810.7091,810709.1000,27,1.0-809206-812095,358.0000,1.0000,1,24,True,809206.0000,812095.0000,1503.1000,1.5031
1,4916.6452,810.7242,810724.2000,27,1.0-809206-812095,358.0000,1.0000,1,24,True,809206.0000,812095.0000,1518.2000,1.5182
1,4917.9794,812.0584,812058.4000,27,1.0-809206-812095,358.0000,1.0000,1,24,True,809206.0000,812095.0000,2852.4000,2.8524
1,5709.1860,1603.2650,1603265.0000,28,1.0-1602763-1605553,650.0000,1.0000,1,25,True,1602763.0000,1605553.0000,502.0000,0.5020
1,5709.4207,1603.4997,1603499.7000,28,1.0-1602763-1605553,650.0000,1.0000,1,25,True,1602763.0000,1605553.0000,736.7000,0.7367
1,5709.4589,1603.5379,1603537.9000,28,1.0-1602763-1605553,650.0000,1.0000,1,25,True,1602763.0000,1605553.0000,774.9000,0.7749
1,5710.1689,1604.2479,1604247.9000,28,1.0-1602763-1605553,650.0000,1.0000,1,25,True,1602763.0000,1605553.0000,1484.9000,1.4849
1,5710.9952,1605.0742,1605074.2000,28,1.0-1602763-1605553,650.0000,1.0000,1,25,True,1602763.0000,1605553.0000,2311.2000,2.3112
1,6452.4971,2346.5761,2346576.1000,30,1.0-2345705-2346985,962.0000,1.0000,1,26,True,2345705.0000,2346985.0000,871.1000,0.8711
1,5989.7186,1883.7976,1883797.6000,31,1.0-1882897-1884407,791.0000,1.0000,1,27,True,1882897.0000,1884407.0000,900.6000,0.9006
1,5554.2283,1448.3073,1448307.3000,33,1.0-1446781-1448721,574.0000,1.0000,0,69,True,1446781.0000,1448721.0000,1526.3000,1.5263
1,5554.5884,1448.6674,1448667.4000,33,1.0-1446781-1448721,574.0000,1.0000,0,69,True,1446781.0000,1448721.0000,1886.4000,1.8864
1,6516.6554,2410.7344,2410734.4000,35,1.0-2410234-2411393,990.0000,1.0000,1,30,True,2410234.0000,2411393.0000,500.4000,0.5004
1,5626.9477,1521.0267,1521026.7000,37,1.0-1520751-1522381,612.0000,1.0000,1,32,True,1520751.0000,1522381.0000,275.7000,0.2757
1,5627.7445,1521.8235,1521823.5000,37,1.0-1520751-1522381,612.0000,1.0000,1,32,True,1520751.0000,1522381.0000,1072.5000,1.0725
1,5627.7496,1521.8286,1521828.6000,37,1.0-1520751-1522381,612.0000,1.0000,1,32,True,1520751.0000,1522381.0000,1077.6000,1.0776
1,4801.7362,695.8152,695815.2000,38,1.0-695797-697457,326.0000,1.0000,1,33,True,695797.0000,697457.0000,18.2000,0.0182
1,4801.7928,695.8718,695871.8000,38,1.0-695797-697457,326.0000,1.0000,1,33,True,695797.0000,697457.0000,74.8000,0.0748
1,4801.9246,696.0036,696003.6000,38,1.0-695797-697457,326.0000,1.0000,1,33,True,695797.0000,697457.0000,206.6000,0.2066
1,5427.6930,1321.7720,1321772.0000,39,1.0-1317090-1322080,535.0000,1.0000,1,34,True,1317090.0000,1322080.0000,4682.0000,4.6820
1,6274.4706,2168.5496,2168549.6000,41,1.0-2165533-2170533,898.0000,1.0000,1,36,True,2165533.0000,2170533.0000,3016.6000,3.0166
1,6276.3670,2170.4460,2170446.0000,41,1.0-2165533-2170533,898.0000,1.0000,1,36,True,2165533.0000,2170533.0000,4913.0000,4.9130
1,4282.0956,176.1746,176174.6000,43,1.0-176135-178415,105.0000,1.0000,1,38,True,176135.0000,178415.0000,39.6000,0.0396
1,4283.0054,177.0844,177084.4000,43,1.0-176135-178415,105.0000,1.0000,1,38,True,176135.0000,178415.0000,949.4000,0.9494
1,5857.9357,1752.0147,1752014.7000,44,1.0-1750737-1752087,720.0000,1.0000,1,39,True,1750737.0000,1752087.0000,1277.7000,1.2777
1,4438.4585,332.5375,332537.5000,45,1.0-331083-334072,187.0000,1.0000,1,40,True,331083.0000,334072.0000,1454.5000,1.4545
1,6456.1192,2350.1982,2350198.2000,46,1.0-2349242-2350382,964.0000,1.0000,1,41,True,2349242.0000,2350382.0000,956.2000,0.9562
1,4528.9311,423.0101,423010.1000,47,1.0-421669-426669,230.0000,1.0000,1,42,True,421669.0000,426669.0000,1341.1000,1.3411
1,4529.2081,423.2871,423287.1000,47,1.0-421669-426669,230.0000,1.0000,1,42,True,421669.0000,426669.0000,1618.1000,1.6181
1,4529.6758,423.7548,423754.8000,47,1.0-421669-426669,230.0000,1.0000,1,42,True,421669.0000,426669.0000,2085.8000,2.0858
1,4530.5607,424.6397,424639.7000,47,1.0-421669-426669,230.0000,1.0000,1,42,True,421669.0000,426669.0000,2970.7000,2.9707
1,4198.1212,92.2002,92200.2000,49,1.0-90887-92677,53.0000,1.0000,1,44,True,90887.0000,92677.0000,1313.2000,1.3132
1,4198.4369,92.5159,92515.9000,49,1.0-90887-92677,53.0000,1.0000,1,44,True,90887.0000,92677.0000,1628.9000,1.6289
1,4198.5915,92.6705,92670.5000,49,1.0-90887-92677,53.0000,1.0000,1,44,True,90887.0000,92677.0000,1783.5000,1.7835
1,5000.3171,894.3961,894396.1000,50,1.0-893820-895660,387.0000,1.0000,1,45,True,893820.0000,895660.0000,576.1000,0.5761
1,5000.7197,894.7987,894798.7000,50,1.0-893820-895660,387.0000,1.0000,1,45,True,893820.0000,895660.0000,978.7000,0.9787
1,4199.0758,93.1548,93154.8000,51,1.0-92755-93455,54.0000,1.0000,1,46,True,92755.0000,93455.0000,399.8000,0.3998
1,4290.2202,184.2992,184299.2000,52,1.0-184242-187162,109.0000,1.0000,1,47,True,184242.0000,187162.0000,57.2000,0.0572
1,4292.2486,186.3276,186327.6000,52,1.0-184242-187162,109.0000,1.0000,1,47,True,184242.0000,187162.0000,2085.6000,2.0856
1,4292.3834,186.4624,186462.4000,52,1.0-184242-187162,109.0000,1.0000,1,47,True,184242.0000,187162.0000,2220.4000,2.2204
1,4292.3900,186.4690,186469.0000,52,1.0-184242-187162,109.0000,1.0000,1,47,True,184242.0000,187162.0000,2227.0000,2.2270
1,5626.9477,1521.0267,1521026.7000,53,1.0-1520751-1525761,612.0000,1.0000,1,48,True,1520751.0000,1525761.0000,275.7000,0.2757
1,5627.7445,1521.8235,1521823.5000,53,1.0-1520751-1525761,612.0000,1.0000,1,48,True,1520751.0000,1525761.0000,1072.5000,1.0725
1,5627.7496,1521.8286,1521828.6000,53,1.0-1520751-1525761,612.0000,1.0000,1,48,True,1520751.0000,1525761.0000,1077.6000,1.0776
1,5629.6420,1523.7210,1523721.0000,53,1.0-1520751-1525761,612.0000,1.0000,1,48,True,1520751.0000,1525761.0000,2970.0000,2.9700
1,5630.2342,1524.3132,1524313.2000,53,1.0-1520751-1525761,612.0000,1.0000,1,48,True,1520751.0000,1525761.0000,3562.2000,3.5622
