units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,4485.9412,380.0202,380020.2000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1926.2000,1.9262
2,4486.1113,380.1903,380190.3000,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,2096.3000,2.0963
2,4402.3967,296.4757,296475.7000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,1527.7000,1.5277
2,4403.0053,297.0843,297084.3000,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,2136.3000,2.1363
2,4147.3982,41.4772,41477.2000,8,1.0-40539-43049,22.0000,1.0000,1,8,True,40539.0000,43049.0000,938.2000,0.9382
2,4147.5648,41.6438,41643.8000,8,1.0-40539-43049,22.0000,1.0000,1,8,True,40539.0000,43049.0000,1104.8000,1.1048
2,5263.2762,1157.3552,1157355.2000,9,1.0-1156871-1158961,477.0000,1.0000,1,9,True,1156871.0000,1158961.0000,484.2000,0.4842
2,4316.2350,210.3140,210314.0000,10,1.0-209934-212144,126.0000,1.0000,1,10,True,209934.0000,212144.0000,380.0000,0.3800
2,4316.6154,210.6944,210694.4000,10,1.0-209934-212144,126.0000,1.0000,1,10,True,209934.0000,212144.0000,760.4000,0.7604
2,4316.9075,210.9865,210986.5000,10,1.0-209934-212144,126.0000,1.0000,1,10,True,209934.0000,212144.0000,1052.5000,1.0525
2,4317.2339,211.3129,211312.9000,10,1.0-209934-212144,126.0000,1.0000,1,10,True,209934.0000,212144.0000,1378.9000,1.3789
2,4317.6365,211.7155,211715.5000,10,1.0-209934-212144,126.0000,1.0000,1,10,True,209934.0000,212144.0000,1781.5000,1.7815
2,4143.5966,37.6756,37675.6000,15,1.0-37569-38669,19.0000,1.0000,1,13,True,37569.0000,38669.0000,106.6000,0.1066
2,4143.7373,37.8163,37816.3000,15,1.0-37569-38669,19.0000,1.0000,1,13,True,37569.0000,38669.0000,247.3000,0.2473
2,4143.9145,37.9935,37993.5000,15,1.0-37569-38669,19.0000,1.0000,1,13,True,37569.0000,38669.0000,424.5000,0.4245
2,4144.4161,38.4951,38495.1000,15,1.0-37569-38669,19.0000,1.0000,1,13,True,37569.0000,38669.0000,926.1000,0.9261
2,6187.3699,2081.4489,2081448.9000,18,1.0-2080619-2082839,867.0000,1.0000,1,16,True,2080619.0000,2082839.0000,829.9000,0.8299
2,6188.4619,2082.5409,2082540.9000,18,1.0-2080619-2082839,867.0000,1.0000,1,16,True,2080619.0000,2082839.0000,1921.9000,1.9219
2,6188.6139,2082.6929,2082692.9000,18,1.0-2080619-2082839,867.0000,1.0000,1,16,True,2080619.0000,2082839.0000,2073.9000,2.0739
2,6188.6809,2082.7599,2082759.9000,18,1.0-2080619-2082839,867.0000,1.0000,1,16,True,2080619.0000,2082839.0000,2140.9000,2.1409
2,5978.4848,1872.5638,1872563.8000,19,1.0-1871219-1873369,783.0000,1.0000,1,17,True,1871219.0000,1873369.0000,1344.8000,1.3448
2,5666.1163,1560.1953,1560195.3000,20,1.0-1556786-1561795,634.0000,1.0000,1,18,True,1556786.0000,1561795.0000,3409.3000,3.4093
2,5189.3481,1083.4271,1083427.1000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,2762.1000,2.7621
2,5189.4411,1083.5201,1083520.1000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,2855.1000,2.8551
2,5189.5877,1083.6667,1083666.7000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,3001.7000,3.0017
2,5189.7839,1083.8629,1083862.9000,21,1.0-1080665-1085664,458.0000,1.0000,0,67,True,1080665.0000,1085664.0000,3197.9000,3.1979
