bin_10s,spike_count,firing_rate_hz
0,2,0.2
1,0,0.0
2,1,0.1
3,1,0.1
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,1,0.1
11,0,0.0
12,1,0.1
13,0,0.0
14,0,0.0
15,8,0.8
16,1,0.1
17,1,0.1
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.0
22,1,0.1
23,1,0.1
24,0,0.0
25,0,0.0
26,2,0.2
27,2,0.2
28,0,0.0
29,0,0.0
30,8,0.8
31,5,0.5
32,2,0.2
33,0,0.0
34,0,0.0
35,0,0.0
36,3,0.3
37,0,0.0
38,1,0.1
39,0,0.0
40,0,0.0
41,1,0.1
42,2,0.2
43,10,1.0
44,0,0.0
45,8,0.8
46,0,0.0
47,3,0.3
48,1,0.1
49,1,0.1
50,1,0.1
51,0,0.0
52,0,0.0
53,0,0.0
54,0,0.0
55,0,0.0
56,0,0.0
57,0,0.0
58,0,0.0
59,1,0.1
60,0,0.0
61,1,0.1
62,1,0.1
63,1,0.1
64,0,0.0
65,0,0.0
66,2,0.2
67,1,0.1
68,12,1.2
69,2,0.2
70,2,0.2
71,0,0.0
72,1,0.1
73,2,0.2
74,1,0.1
75,1,0.1
76,0,0.0
77,1,0.1
78,4,0.4
79,0,0.0
80,2,0.2
81,1,0.1
82,0,0.0
83,1,0.1
84,7,0.7
85,7,0.7
86,7,0.7
87,3,0.3
88,1,0.1
89,2,0.2
90,3,0.3
91,4,0.4
92,7,0.7
93,2,0.2
94,5,0.5
95,10,1.0
96,14,1.4
97,5,0.5
98,8,0.8
99,2,0.2
100,6,0.6
101,2,0.2
102,7,0.7
103,2,0.2
104,2,0.2
105,2,0.2
106,1,0.1
107,4,0.4
108,1,0.1
109,3,0.3
110,6,0.6
111,1,0.1
112,0,0.0
113,6,0.6
114,0,0.0
115,0,0.0
116,0,0.0
117,0,0.0
118,1,0.1
119,0,0.0
120,0,0.0
121,0,0.0
122,0,0.0
123,0,0.0
124,0,0.0
125,0,0.0
126,2,0.2
127,2,0.2
128,10,1.0
129,7,0.7
130,3,0.3
131,1,0.1
132,0,0.0
133,0,0.0
134,0,0.0
135,0,0.0
136,3,0.3
137,1,0.1
138,1,0.1
139,3,0.3
140,0,0.0
141,3,0.3
142,0,0.0
143,1,0.1
144,3,0.3
145,0,0.0
146,0,0.0
147,0,0.0
148,0,0.0
149,0,0.0
150,0,0.0
151,0,0.0
152,0,0.0
153,0,0.0
154,0,0.0
155,0,0.0
156,0,0.0
157,0,0.0
158,0,0.0
159,3,0.3
160,2,0.2
161,2,0.2
162,5,0.5
163,1,0.1
164,1,0.1
165,1,0.1
166,0,0.0
167,0,0.0
168,0,0.0
169,0,0.0
170,0,0.0
171,2,0.2
172,0,0.0
173,2,0.2
174,0,0.0
175,2,0.2
176,0,0.0
177,0,0.0
178,0,0.0
179,0,0.0
180,2,0.2
181,2,0.2
182,3,0.3
183,2,0.2
184,1,0.1
185,3,0.3
186,2,0.2
187,0,0.0
188,1,0.1
189,0,0.0
190,0,0.0
191,2,0.2
192,0,0.0
193,0,0.0
194,0,0.0
195,0,0.0
196,2,0.2
197,0,0.0
198,5,0.5
199,2,0.2
200,7,0.7
201,0,0.0
202,1,0.1
203,1,0.1
204,0,0.0
205,6,0.6
206,1,0.1
207,2,0.2
208,4,0.4
209,1,0.1
210,3,0.3
211,0,0.0
212,0,0.0
213,0,0.0
214,0,0.0
215,0,0.0
216,0,0.0
217,0,0.0
218,1,0.1
219,0,0.0
220,1,0.1
221,0,0.0
222,2,0.2
223,2,0.2
224,7,0.7
225,1,0.1
226,4,0.4
227,6,0.6
228,0,0.0
229,0,0.0
230,4,0.4
231,4,0.4
232,1,0.1
233,0,0.0
234,2,0.2
235,5,0.5
236,1,0.1
237,4,0.4
238,2,0.2
239,0,0.0
240,6,0.6
241,1,0.1
242,0,0.0
243,0,0.0
244,0,0.0
245,0,0.0
246,5,0.5
247,1,0.1
