bin_10s,spike_count,firing_rate_hz
0,2,0.2
1,5,0.5
2,14,1.4
3,13,1.3
4,2,0.2
5,3,0.3
6,12,1.2
7,7,0.7
8,4,0.4
9,7,0.7
10,12,1.2
11,9,0.9
12,5,0.5
13,5,0.5
14,7,0.7
15,8,0.8
16,8,0.8
17,5,0.5
18,2,0.2
19,6,0.6
20,6,0.6
21,5,0.5
22,4,0.4
23,4,0.4
24,3,0.3
25,10,1.0
26,2,0.2
27,7,0.7
28,4,0.4
29,6,0.6
30,4,0.4
31,7,0.7
32,6,0.6
33,15,1.5
34,15,1.5
35,3,0.3
36,7,0.7
37,7,0.7
38,10,1.0
39,8,0.8
40,4,0.4
41,0,0.0
42,3,0.3
43,10,1.0
44,8,0.8
45,13,1.3
46,16,1.6
47,4,0.4
48,12,1.2
49,12,1.2
50,12,1.2
51,10,1.0
52,19,1.9
53,14,1.4
54,23,2.3
55,21,2.1
56,16,1.6
57,18,1.8
58,18,1.8
59,13,1.3
60,24,2.4
61,16,1.6
62,23,2.3
63,20,2.0
64,23,2.3
65,14,1.4
66,26,2.6
67,20,2.0
68,14,1.4
69,17,1.7
70,27,2.7
71,29,2.9
72,29,2.9
73,22,2.2
74,32,3.2
75,12,1.2
76,29,2.9
77,18,1.8
78,13,1.3
79,10,1.0
80,24,2.4
81,15,1.5
82,33,3.3
83,44,4.4
84,9,0.9
85,7,0.7
86,15,1.5
87,22,2.2
88,31,3.1
89,21,2.1
90,25,2.5
91,9,0.9
92,11,1.1
93,17,1.7
94,5,0.5
95,9,0.9
96,13,1.3
97,13,1.3
98,8,0.8
99,11,1.1
100,7,0.7
101,7,0.7
102,7,0.7
103,12,1.2
104,3,0.3
105,18,1.8
106,23,2.3
107,12,1.2
108,10,1.0
109,27,2.7
110,17,1.7
111,26,2.6
112,31,3.1
113,26,2.6
114,24,2.4
115,44,4.4
116,17,1.7
117,28,2.8
118,24,2.4
119,23,2.3
120,19,1.9
121,35,3.5
122,18,1.8
123,14,1.4
124,27,2.7
125,25,2.5
126,25,2.5
127,26,2.6
128,8,0.8
129,22,2.2
130,19,1.9
131,33,3.3
132,25,2.5
133,36,3.6
134,37,3.7
135,33,3.3
136,30,3.0
137,34,3.4
138,23,2.3
139,16,1.6
140,25,2.5
141,41,4.1
142,24,2.4
143,13,1.3
144,14,1.4
145,6,0.6
146,17,1.7
147,12,1.2
148,6,0.6
149,4,0.4
150,9,0.9
151,16,1.6
152,20,2.0
153,18,1.8
154,13,1.3
155,19,1.9
156,10,1.0
157,16,1.6
158,27,2.7
159,38,3.8
160,18,1.8
161,14,1.4
162,4,0.4
163,8,0.8
164,5,0.5
165,8,0.8
166,5,0.5
167,10,1.0
168,14,1.4
169,10,1.0
170,21,2.1
171,35,3.5
172,33,3.3
173,36,3.6
174,20,2.0
175,14,1.4
176,18,1.8
177,12,1.2
178,2,0.2
179,5,0.5
180,15,1.5
181,11,1.1
182,3,0.3
183,18,1.8
184,16,1.6
185,25,2.5
186,18,1.8
187,15,1.5
188,29,2.9
189,33,3.3
190,34,3.4
191,29,2.9
192,24,2.4
193,16,1.6
194,13,1.3
195,24,2.4
196,10,1.0
197,10,1.0
198,17,1.7
199,28,2.8
200,32,3.2
201,30,3.0
202,11,1.1
203,24,2.4
204,18,1.8
205,29,2.9
206,25,2.5
207,49,4.9
208,30,3.0
209,24,2.4
210,34,3.4
211,48,4.8
212,37,3.7
213,16,1.6
214,31,3.1
215,25,2.5
216,30,3.0
217,39,3.9
218,33,3.3
219,34,3.4
220,19,1.9
221,30,3.0
222,46,4.6
223,21,2.1
224,11,1.1
225,19,1.9
226,20,2.0
227,12,1.2
228,12,1.2
229,50,5.0
230,30,3.0
231,18,1.8
232,9,0.9
233,3,0.3
234,4,0.4
235,10,1.0
236,21,2.1
237,17,1.7
238,9,0.9
239,10,1.0
240,5,0.5
241,9,0.9
242,20,2.0
243,22,2.2
244,19,1.9
245,26,2.6
246,31,3.1
247,12,1.2
