bin_10s,spike_count,firing_rate_hz
0,5,0.5
1,1,0.1
2,1,0.1
3,3,0.3
4,12,1.2
5,13,1.3
6,1,0.1
7,1,0.1
8,0,0.0
9,3,0.3
10,16,1.6
11,5,0.5
12,2,0.2
13,3,0.3
14,7,0.7
15,1,0.1
16,1,0.1
17,1,0.1
18,1,0.1
19,2,0.2
20,0,0.0
21,4,0.4
22,2,0.2
23,4,0.4
24,1,0.1
25,15,1.5
26,1,0.1
27,3,0.3
28,0,0.0
29,4,0.4
30,0,0.0
31,0,0.0
32,1,0.1
33,0,0.0
34,0,0.0
35,1,0.1
36,0,0.0
37,2,0.2
38,1,0.1
39,4,0.4
40,0,0.0
41,3,0.3
42,1,0.1
43,0,0.0
44,2,0.2
45,1,0.1
46,5,0.5
47,0,0.0
48,8,0.8
49,2,0.2
50,1,0.1
51,1,0.1
52,1,0.1
53,2,0.2
54,0,0.0
55,2,0.2
56,1,0.1
57,2,0.2
58,0,0.0
59,7,0.7
60,3,0.3
61,6,0.6
62,1,0.1
63,1,0.1
64,3,0.3
65,0,0.0
66,1,0.1
67,2,0.2
68,7,0.7
69,0,0.0
70,0,0.0
71,2,0.2
72,1,0.1
73,1,0.1
74,0,0.0
75,4,0.4
76,0,0.0
77,8,0.8
78,0,0.0
79,0,0.0
80,10,1.0
81,0,0.0
82,1,0.1
83,24,2.4
84,2,0.2
85,2,0.2
86,3,0.3
87,4,0.4
88,5,0.5
89,2,0.2
90,0,0.0
91,1,0.1
92,4,0.4
93,1,0.1
94,0,0.0
95,0,0.0
96,2,0.2
97,0,0.0
98,3,0.3
99,4,0.4
100,1,0.1
101,1,0.1
102,2,0.2
103,1,0.1
104,1,0.1
105,0,0.0
106,1,0.1
107,1,0.1
108,7,0.7
109,5,0.5
110,3,0.3
111,0,0.0
112,0,0.0
113,4,0.4
114,2,0.2
115,0,0.0
116,10,1.0
117,3,0.3
118,0,0.0
119,1,0.1
120,1,0.1
121,14,1.4
122,5,0.5
123,5,0.5
124,1,0.1
125,6,0.6
126,4,0.4
127,2,0.2
128,1,0.1
129,0,0.0
130,1,0.1
131,0,0.0
132,2,0.2
133,2,0.2
134,2,0.2
135,0,0.0
136,1,0.1
137,0,0.0
138,4,0.4
139,0,0.0
140,2,0.2
141,7,0.7
142,8,0.8
143,2,0.2
144,7,0.7
145,4,0.4
146,2,0.2
147,5,0.5
148,5,0.5
149,0,0.0
150,1,0.1
151,0,0.0
152,1,0.1
153,1,0.1
154,0,0.0
155,0,0.0
156,3,0.3
157,6,0.6
158,0,0.0
159,1,0.1
160,0,0.0
161,2,0.2
162,7,0.7
163,3,0.3
164,5,0.5
165,2,0.2
166,5,0.5
167,2,0.2
168,3,0.3
169,0,0.0
170,0,0.0
171,1,0.1
172,2,0.2
173,4,0.4
174,2,0.2
175,3,0.3
176,2,0.2
177,2,0.2
178,3,0.3
179,0,0.0
180,5,0.5
181,0,0.0
182,3,0.3
183,1,0.1
184,3,0.3
185,8,0.8
186,3,0.3
187,1,0.1
188,0,0.0
189,0,0.0
190,1,0.1
191,0,0.0
192,3,0.3
193,2,0.2
194,2,0.2
195,4,0.4
196,6,0.6
197,1,0.1
198,2,0.2
199,0,0.0
200,1,0.1
201,0,0.0
202,3,0.3
203,2,0.2
204,2,0.2
205,5,0.5
206,1,0.1
207,1,0.1
208,1,0.1
209,3,0.3
210,3,0.3
211,2,0.2
212,6,0.6
213,7,0.7
214,0,0.0
215,0,0.0
216,4,0.4
217,0,0.0
218,2,0.2
219,1,0.1
220,1,0.1
221,1,0.1
222,1,0.1
223,1,0.1
224,1,0.1
225,2,0.2
226,3,0.3
227,2,0.2
228,2,0.2
229,2,0.2
230,5,0.5
231,4,0.4
232,0,0.0
233,1,0.1
234,0,0.0
235,0,0.0
236,1,0.1
237,0,0.0
238,1,0.1
239,4,0.4
240,0,0.0
241,2,0.2
242,6,0.6
243,2,0.2
244,3,0.3
245,8,0.8
246,4,0.4
247,1,0.1
