bin_10s,spike_count,firing_rate_hz
0,28,2.8
1,17,1.7
2,10,1.0
3,12,1.2
4,29,2.9
5,57,5.7
6,36,3.6
7,17,1.7
8,10,1.0
9,38,3.8
10,27,2.7
11,22,2.2
12,28,2.8
13,10,1.0
14,71,7.1
15,39,3.9
16,9,0.9
17,12,1.2
18,4,0.4
19,14,1.4
20,20,2.0
21,11,1.1
22,14,1.4
23,21,2.1
24,16,1.6
25,10,1.0
26,26,2.6
27,23,2.3
28,27,2.7
29,53,5.3
30,7,0.7
31,15,1.5
32,12,1.2
33,25,2.5
34,22,2.2
35,25,2.5
36,15,1.5
37,10,1.0
38,13,1.3
39,6,0.6
40,31,3.1
41,10,1.0
42,17,1.7
43,51,5.1
44,23,2.3
45,9,0.9
46,4,0.4
47,8,0.8
48,26,2.6
49,17,1.7
50,10,1.0
51,11,1.1
52,18,1.8
53,26,2.6
54,7,0.7
55,13,1.3
56,7,0.7
57,14,1.4
58,13,1.3
59,52,5.2
60,54,5.4
61,26,2.6
62,24,2.4
63,11,1.1
64,9,0.9
65,11,1.1
66,10,1.0
67,23,2.3
68,4,0.4
69,5,0.5
70,20,2.0
71,7,0.7
72,17,1.7
73,38,3.8
74,21,2.1
75,17,1.7
76,8,0.8
77,26,2.6
78,12,1.2
79,21,2.1
80,6,0.6
81,13,1.3
82,12,1.2
83,36,3.6
84,7,0.7
85,12,1.2
86,20,2.0
87,30,3.0
88,47,4.7
89,31,3.1
90,11,1.1
91,4,0.4
92,9,0.9
93,11,1.1
94,8,0.8
95,21,2.1
96,22,2.2
97,8,0.8
98,4,0.4
99,43,4.3
100,17,1.7
101,18,1.8
102,19,1.9
103,12,1.2
104,12,1.2
105,8,0.8
106,29,2.9
107,31,3.1
108,157,15.7
109,39,3.9
110,39,3.9
111,4,0.4
112,11,1.1
113,8,0.8
114,21,2.1
115,16,1.6
116,46,4.6
117,51,5.1
118,15,1.5
119,31,3.1
120,43,4.3
121,4,0.4
122,6,0.6
123,28,2.8
124,11,1.1
125,9,0.9
126,41,4.1
127,26,2.6
128,8,0.8
129,4,0.4
130,5,0.5
131,7,0.7
132,9,0.9
133,18,1.8
134,40,4.0
135,24,2.4
136,10,1.0
137,12,1.2
138,10,1.0
139,11,1.1
140,24,2.4
141,38,3.8
142,32,3.2
143,30,3.0
144,15,1.5
145,16,1.6
146,34,3.4
147,58,5.8
148,52,5.2
149,46,4.6
150,29,2.9
151,12,1.2
152,7,0.7
153,24,2.4
154,26,2.6
155,13,1.3
156,12,1.2
157,16,1.6
158,23,2.3
159,5,0.5
160,9,0.9
161,11,1.1
162,5,0.5
163,31,3.1
164,42,4.2
165,8,0.8
166,7,0.7
167,29,2.9
168,15,1.5
169,19,1.9
170,13,1.3
171,9,0.9
172,16,1.6
173,20,2.0
174,11,1.1
175,10,1.0
176,16,1.6
177,9,0.9
178,27,2.7
179,8,0.8
180,5,0.5
181,14,1.4
182,31,3.1
183,21,2.1
184,3,0.3
185,11,1.1
186,14,1.4
187,6,0.6
188,12,1.2
189,16,1.6
190,9,0.9
191,8,0.8
192,19,1.9
193,62,6.2
194,14,1.4
195,25,2.5
196,28,2.8
197,9,0.9
198,13,1.3
199,17,1.7
200,27,2.7
201,14,1.4
202,9,0.9
203,8,0.8
204,8,0.8
205,11,1.1
206,4,0.4
207,4,0.4
208,12,1.2
209,4,0.4
210,7,0.7
211,10,1.0
212,19,1.9
213,28,2.8
214,42,4.2
215,24,2.4
216,9,0.9
217,17,1.7
218,10,1.0
219,15,1.5
220,18,1.8
221,38,3.8
222,14,1.4
223,22,2.2
224,9,0.9
225,5,0.5
226,62,6.2
227,3,0.3
228,7,0.7
229,39,3.9
230,32,3.2
231,20,2.0
232,12,1.2
233,6,0.6
234,20,2.0
235,12,1.2
236,8,0.8
237,21,2.1
238,38,3.8
239,27,2.7
240,16,1.6
241,8,0.8
242,21,2.1
243,15,1.5
244,53,5.3
245,51,5.1
246,61,6.1
247,33,3.3
