bin_10s,spike_count,firing_rate_hz
0,38,3.8
1,29,2.9
2,24,2.4
3,22,2.2
4,39,3.9
5,70,7.0
6,42,4.2
7,71,7.1
8,42,4.2
9,49,4.9
10,29,2.9
11,36,3.6
12,45,4.5
13,27,2.7
14,36,3.6
15,31,3.1
16,35,3.5
17,48,4.8
18,65,6.5
19,27,2.7
20,37,3.7
21,27,2.7
22,50,5.0
23,36,3.6
24,48,4.8
25,58,5.8
26,62,6.2
27,68,6.8
28,30,3.0
29,87,8.7
30,54,5.4
31,33,3.3
32,27,2.7
33,25,2.5
34,32,3.2
35,47,4.7
36,48,4.8
37,46,4.6
38,71,7.1
39,47,4.7
40,33,3.3
41,50,5.0
42,60,6.0
43,66,6.6
44,52,5.2
45,41,4.1
46,60,6.0
47,37,3.7
48,66,6.6
49,45,4.5
50,83,8.3
51,47,4.7
52,42,4.2
53,67,6.7
54,54,5.4
55,56,5.6
56,50,5.0
57,55,5.5
58,63,6.3
59,48,4.8
60,39,3.9
61,28,2.8
62,30,3.0
63,49,4.9
64,66,6.6
65,59,5.9
66,75,7.5
67,42,4.2
68,66,6.6
69,57,5.7
70,51,5.1
71,48,4.8
72,52,5.2
73,32,3.2
74,46,4.6
75,76,7.6
76,65,6.5
77,36,3.6
78,49,4.9
79,60,6.0
80,44,4.4
81,60,6.0
82,54,5.4
83,73,7.3
84,69,6.9
85,41,4.1
86,53,5.3
87,44,4.4
88,40,4.0
89,61,6.1
90,44,4.4
91,57,5.7
92,54,5.4
93,51,5.1
94,55,5.5
95,52,5.2
96,42,4.2
97,53,5.3
98,82,8.2
99,67,6.7
100,75,7.5
101,62,6.2
102,67,6.7
103,63,6.3
104,64,6.4
105,64,6.4
106,36,3.6
107,64,6.4
108,52,5.2
109,45,4.5
110,64,6.4
111,72,7.2
112,57,5.7
113,51,5.1
114,50,5.0
115,66,6.6
116,69,6.9
117,39,3.9
118,49,4.9
119,76,7.6
120,75,7.5
121,39,3.9
122,63,6.3
123,24,2.4
124,61,6.1
125,56,5.6
126,55,5.5
127,48,4.8
128,64,6.4
129,79,7.9
130,69,6.9
131,96,9.6
132,47,4.7
133,53,5.3
134,65,6.5
135,60,6.0
136,43,4.3
137,48,4.8
138,62,6.2
139,61,6.1
140,54,5.4
141,39,3.9
142,40,4.0
143,23,2.3
144,36,3.6
145,75,7.5
146,47,4.7
147,40,4.0
148,52,5.2
149,65,6.5
150,62,6.2
151,63,6.3
152,70,7.0
153,49,4.9
154,78,7.8
155,46,4.6
156,38,3.8
157,55,5.5
158,78,7.8
159,50,5.0
160,34,3.4
161,63,6.3
162,67,6.7
163,56,5.6
164,72,7.2
165,81,8.1
166,41,4.1
167,38,3.8
168,55,5.5
169,69,6.9
170,68,6.8
171,73,7.3
172,106,10.6
173,61,6.1
174,55,5.5
175,58,5.8
176,57,5.7
177,98,9.8
178,65,6.5
179,58,5.8
180,68,6.8
181,78,7.8
182,39,3.9
183,79,7.9
184,57,5.7
185,31,3.1
186,53,5.3
187,79,7.9
188,43,4.3
189,80,8.0
190,75,7.5
191,83,8.3
192,86,8.6
193,37,3.7
194,35,3.5
195,59,5.9
196,64,6.4
197,39,3.9
198,36,3.6
199,64,6.4
200,73,7.3
201,70,7.0
202,62,6.2
203,42,4.2
204,55,5.5
205,57,5.7
206,61,6.1
207,72,7.2
208,111,11.1
209,54,5.4
210,50,5.0
211,48,4.8
212,20,2.0
213,45,4.5
214,37,3.7
215,47,4.7
216,43,4.3
217,43,4.3
218,69,6.9
219,83,8.3
220,20,2.0
221,31,3.1
222,43,4.3
223,46,4.6
224,72,7.2
225,154,15.4
226,74,7.4
227,48,4.8
228,56,5.6
229,64,6.4
230,62,6.2
231,90,9.0
232,53,5.3
233,67,6.7
234,83,8.3
235,74,7.4
236,86,8.6
237,51,5.1
238,38,3.8
239,74,7.4
240,92,9.2
241,79,7.9
242,58,5.8
243,87,8.7
244,49,4.9
245,55,5.5
246,50,5.0
247,24,2.4
