bin_10s,spike_count,firing_rate_hz
0,4,0.4
1,4,0.4
2,0,0.0
3,0,0.0
4,0,0.0
5,2,0.2
6,0,0.0
7,0,0.0
8,1,0.1
9,0,0.0
10,3,0.3
11,2,0.2
12,1,0.1
13,0,0.0
14,2,0.2
15,2,0.2
16,1,0.1
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.0
23,0,0.0
24,0,0.0
25,0,0.0
26,0,0.0
27,1,0.1
28,1,0.1
29,0,0.0
30,0,0.0
31,1,0.1
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,1,0.1
41,0,0.0
42,0,0.0
43,1,0.1
44,1,0.1
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,1,0.1
52,1,0.1
53,0,0.0
54,1,0.1
55,1,0.1
56,1,0.1
57,0,0.0
58,0,0.0
59,2,0.2
60,0,0.0
61,0,0.0
62,1,0.1
63,2,0.2
64,0,0.0
65,1,0.1
66,0,0.0
67,0,0.0
68,1,0.1
69,0,0.0
70,1,0.1
71,1,0.1
72,0,0.0
73,0,0.0
74,0,0.0
75,0,0.0
76,1,0.1
77,0,0.0
78,0,0.0
79,0,0.0
80,1,0.1
81,0,0.0
82,0,0.0
83,1,0.1
84,0,0.0
85,0,0.0
86,0,0.0
87,1,0.1
88,1,0.1
89,0,0.0
90,0,0.0
91,0,0.0
92,0,0.0
93,1,0.1
94,1,0.1
95,0,0.0
96,2,0.2
97,0,0.0
98,0,0.0
99,1,0.1
100,0,0.0
101,0,0.0
102,0,0.0
103,0,0.0
104,0,0.0
105,0,0.0
106,2,0.2
107,0,0.0
108,0,0.0
109,0,0.0
110,0,0.0
111,0,0.0
112,0,0.0
113,1,0.1
114,1,0.1
115,0,0.0
116,0,0.0
117,2,0.2
118,1,0.1
119,1,0.1
120,1,0.1
121,0,0.0
122,0,0.0
123,0,0.0
124,0,0.0
125,0,0.0
126,1,0.1
127,0,0.0
128,0,0.0
129,0,0.0
130,0,0.0
131,0,0.0
132,1,0.1
133,0,0.0
134,4,0.4
135,0,0.0
136,2,0.2
137,0,0.0
138,0,0.0
139,0,0.0
140,0,0.0
141,3,0.3
142,1,0.1
143,3,0.3
144,0,0.0
145,0,0.0
146,0,0.0
147,0,0.0
148,0,0.0
149,1,0.1
150,0,0.0
151,0,0.0
152,1,0.1
153,0,0.0
154,0,0.0
155,0,0.0
156,0,0.0
157,0,0.0
158,1,0.1
159,0,0.0
160,0,0.0
161,0,0.0
162,0,0.0
163,0,0.0
164,1,0.1
165,0,0.0
166,0,0.0
167,0,0.0
168,0,0.0
169,0,0.0
170,0,0.0
171,0,0.0
172,0,0.0
173,0,0.0
174,0,0.0
175,0,0.0
176,0,0.0
177,0,0.0
178,1,0.1
179,0,0.0
180,0,0.0
181,0,0.0
182,0,0.0
183,0,0.0
184,1,0.1
185,1,0.1
186,0,0.0
187,0,0.0
188,1,0.1
189,2,0.2
190,0,0.0
191,0,0.0
192,0,0.0
193,0,0.0
194,0,0.0
195,2,0.2
196,0,0.0
197,0,0.0
198,0,0.0
199,0,0.0
200,0,0.0
201,1,0.1
202,0,0.0
203,0,0.0
204,0,0.0
205,0,0.0
206,0,0.0
207,0,0.0
208,0,0.0
209,0,0.0
210,0,0.0
211,0,0.0
212,0,0.0
213,0,0.0
214,0,0.0
215,1,0.1
216,0,0.0
217,1,0.1
218,1,0.1
219,0,0.0
220,0,0.0
221,1,0.1
222,0,0.0
223,0,0.0
224,0,0.0
225,0,0.0
226,1,0.1
227,0,0.0
228,0,0.0
229,0,0.0
230,0,0.0
231,0,0.0
232,1,0.1
233,0,0.0
234,0,0.0
235,0,0.0
236,0,0.0
237,0,0.0
238,1,0.1
239,0,0.0
240,0,0.0
241,0,0.0
242,0,0.0
243,1,0.1
244,2,0.2
245,4,0.4
246,1,0.1
