units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,629.6272,0.5232,523.1999
2,629.9755,0.8715,871.4999
2,630.3763,1.2723,1272.2999
2,630.3880,1.2840,1283.9999
2,630.6718,1.5678,1567.7999
2,630.8497,1.7457,1745.6999
2,631.2857,2.1817,2181.6999
2,631.3364,2.2324,2232.3999
2,631.8527,2.7487,2748.6999
2,631.8862,2.7822,2782.1999
2,632.6234,3.5194,3519.3999
2,632.7350,3.6310,3630.9999
2,632.8981,3.7941,3794.0999
2,633.1422,4.0382,4038.1999
2,633.3745,4.2705,4270.4999
2,633.4306,4.3266,4326.5999
2,633.4610,4.3570,4356.9999
2,635.0570,5.9530,5952.9999
2,635.4723,6.3683,6368.2999
2,635.9852,6.8812,6881.1999
2,636.2558,7.1518,7151.7999
2,637.0497,7.9457,7945.6999
2,637.0907,7.9867,7986.6999
2,637.4429,8.3389,8338.8999
2,637.7772,8.6732,8673.1999
2,638.0318,8.9278,8927.7999
2,638.5073,9.4033,9403.2999
2,639.0034,9.8994,9899.3999
2,639.0730,9.9690,9968.9999
2,639.2056,10.1016,10101.5999
2,639.7126,10.6086,10608.5999
2,639.8400,10.7360,10735.9999
2,639.8986,10.7946,10794.5999
2,640.3192,11.2152,11215.1999
2,640.3430,11.2390,11238.9999
2,640.4006,11.2966,11296.5999
2,640.7848,11.6808,11680.7999
2,641.4030,12.2990,12298.9999
2,641.4431,12.3391,12339.0999
2,641.4564,12.3524,12352.3999
2,641.5076,12.4036,12403.5999
2,641.5353,12.4313,12431.2999
2,641.9082,12.8042,12804.1999
2,642.0141,12.9101,12910.0999
2,642.1156,13.0116,13011.5999
2,642.1734,13.0694,13069.3999
2,642.2009,13.0969,13096.8999
2,642.4104,13.3064,13306.3999
2,642.4251,13.3211,13321.0999
2,642.4729,13.3689,13368.8999
2,642.5119,13.4079,13407.8999
2,642.8036,13.6996,13699.5999
2,642.9866,13.8826,13882.5999
2,643.2205,14.1165,14116.4999
2,643.6617,14.5577,14557.6999
2,643.6697,14.5657,14565.6999
2,643.7408,14.6368,14636.7999
2,643.9007,14.7967,14796.6999
2,644.0034,14.8994,14899.3999
2,644.0256,14.9216,14921.5999
2,644.2700,15.1660,15165.9999
2,644.3005,15.1965,15196.4999
2,644.6796,15.5756,15575.5999
2,644.7112,15.6072,15607.1999
2,644.8264,15.7224,15722.3999
2,644.8636,15.7596,15759.5999
2,644.8729,15.7689,15768.8999
2,644.9432,15.8392,15839.1999
2,644.9704,15.8664,15866.3999
2,645.0032,15.8992,15899.1999
2,645.1948,16.0908,16090.7999
2,645.2466,16.1426,16142.5999
2,645.2746,16.1706,16170.5999
2,645.2905,16.1865,16186.4999
2,645.7566,16.6526,16652.5999
2,645.7807,16.6767,16676.6999
2,646.1394,17.0354,17035.3999
2,646.4130,17.3090,17308.9999
2,646.9243,17.8203,17820.2999
2,647.0330,17.9290,17928.9999
2,647.2736,18.1696,18169.5999
2,647.4081,18.3041,18304.0999
2,647.4342,18.3302,18330.1999
2,647.6037,18.4997,18499.6999
2,647.7059,18.6019,18601.8999
2,647.7821,18.6781,18678.0999
2,648.0346,18.9306,18930.5999
2,648.0722,18.9682,18968.1999
2,648.6995,19.5955,19595.4999
2,649.0809,19.9769,19976.8999
2,649.1278,20.0238,20023.7999
2,649.3041,20.2001,20200.0999
2,649.4519,20.3479,20347.8999
2,649.4966,20.3926,20392.5999
2,650.8722,21.7682,21768.1999
2,651.1304,22.0264,22026.3999
2,651.1598,22.0558,22055.7999
2,651.6767,22.5727,22572.6999
2,651.8438,22.7398,22739.7999
2,652.4425,23.3385,23338.4999
