units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,771.6890,142.5850,142584.9999
2,802.1122,173.0082,173008.1999
2,847.1703,218.0663,218066.2999
2,863.7234,234.6194,234619.3999
2,872.7715,243.6675,243667.4999
2,881.2271,252.1231,252123.0999
2,881.2873,252.1833,252183.2999
2,881.6240,252.5200,252519.9999
2,885.8291,256.7251,256725.0999
2,886.8583,257.7543,257754.2999
2,916.2566,287.1526,287152.5999
2,917.2693,288.1653,288165.2999
2,940.9636,311.8596,311859.5999
2,954.0891,324.9851,324985.0999
2,992.3254,363.2214,363221.3999
2,1010.3254,381.2214,381221.3999
2,1014.3029,385.1989,385198.8999
2,1014.3768,385.2728,385272.7999
2,1083.4618,454.3578,454357.7999
2,1083.4727,454.3687,454368.6999
2,1083.5070,454.4030,454402.9999
2,1083.5097,454.4057,454405.6999
2,1084.5318,455.4278,455427.7999
2,1084.5429,455.4389,455438.8999
2,1091.2398,462.1358,462135.7999
2,1102.9790,473.8750,473874.9999
2,1106.9892,477.8852,477885.1999
2,1136.1104,507.0064,507006.3999
2,1162.4894,533.3854,533385.3999
2,1189.0682,559.9642,559964.1999
2,1339.8761,710.7721,710772.0999
2,1348.1641,719.0601,719060.0999
2,1348.7149,719.6109,719610.8999
2,1414.8587,785.7547,785754.6999
2,1464.0586,834.9546,834954.5999
2,1480.1655,851.0615,851061.4999
2,1503.6449,874.5409,874540.8999
2,1507.8315,878.7275,878727.4999
2,1511.7259,882.6219,882621.8999
2,1529.0617,899.9577,899957.6999
2,1532.1831,903.0791,903079.0999
2,1570.0379,940.9339,940933.8999
2,1589.2963,960.1923,960192.2999
2,1611.1482,982.0442,982044.1999
2,1638.5172,1009.4132,1009413.1999
2,1773.4209,1144.3169,1144316.8999
2,1773.4633,1144.3593,1144359.2999
2,1821.9594,1192.8554,1192855.3999
2,1872.8685,1243.7645,1243764.4999
2,1903.0676,1273.9636,1273963.5999
2,2035.4897,1406.3857,1406385.6999
2,2045.7434,1416.6394,1416639.3999
2,2058.6035,1429.4995,1429499.4999
2,2059.0598,1429.9558,1429955.7999
2,2059.2231,1430.1191,1430119.0999
2,2059.4375,1430.3335,1430333.4999
2,2060.1965,1431.0925,1431092.4999
2,2060.2775,1431.1735,1431173.4999
2,2141.9200,1512.8160,1512815.9999
2,2141.9226,1512.8186,1512818.5999
2,2143.6872,1514.5832,1514583.1999
2,2144.3383,1515.2343,1515234.2999
2,2144.3575,1515.2535,1515253.4999
2,2166.8537,1537.7497,1537749.6999
2,2170.9663,1541.8623,1541862.2999
2,2215.0083,1585.9043,1585904.2999
2,2215.0230,1585.9190,1585918.9999
2,2215.0362,1585.9322,1585932.1999
2,2228.2153,1599.1113,1599111.2999
2,2231.7700,1602.6660,1602665.9999
2,2233.7951,1604.6911,1604691.0999
2,2299.9405,1670.8365,1670836.4999
2,2305.0360,1675.9320,1675931.9999
2,2307.0071,1677.9031,1677903.0999
2,2367.3103,1738.2063,1738206.2999
2,2367.3200,1738.2160,1738215.9999
2,2480.8203,1851.7163,1851716.2999
2,2521.0800,1891.9760,1891975.9999
2,2567.4164,1938.3124,1938312.3999
2,2580.5281,1951.4241,1951424.0999
2,2618.0075,1988.9035,1988903.4999
2,2631.3149,2002.2109,2002210.8999
