units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,1210.6902,581.5862,581586.1999,1,1.0-581122-582156,287.0000,1.0000,1,1,True,581122.0000,582156.0000,464.1999,0.4642
2,1210.7064,581.6024,581602.3999,1,1.0-581122-582156,287.0000,1.0000,1,1,True,581122.0000,582156.0000,480.3999,0.4804
2,2129.7557,1500.6517,1500651.6999,2,1.0-1500400-1502869,600.0000,1.0000,1,2,True,1500400.0000,1502869.0000,251.6999,0.2517
2,2129.9380,1500.8340,1500833.9999,2,1.0-1500400-1502869,600.0000,1.0000,1,2,True,1500400.0000,1502869.0000,433.9999,0.4340
2,2130.2660,1501.1620,1501161.9999,2,1.0-1500400-1502869,600.0000,1.0000,1,2,True,1500400.0000,1502869.0000,761.9999,0.7620
2,2130.3269,1501.2229,1501222.8999,2,1.0-1500400-1502869,600.0000,1.0000,1,2,True,1500400.0000,1502869.0000,822.8999,0.8229
2,2130.3628,1501.2588,1501258.7999,2,1.0-1500400-1502869,600.0000,1.0000,1,2,True,1500400.0000,1502869.0000,858.7999,0.8588
2,2130.3859,1501.2819,1501281.8999,2,1.0-1500400-1502869,600.0000,1.0000,1,2,True,1500400.0000,1502869.0000,881.8999,0.8819
2,2130.4979,1501.3939,1501393.8999,2,1.0-1500400-1502869,600.0000,1.0000,1,2,True,1500400.0000,1502869.0000,993.8999,0.9939
2,2131.2665,1502.1625,1502162.4999,2,1.0-1500400-1502869,600.0000,1.0000,1,2,True,1500400.0000,1502869.0000,1762.4999,1.7625
2,2131.2986,1502.1946,1502194.5999,2,1.0-1500400-1502869,600.0000,1.0000,1,2,True,1500400.0000,1502869.0000,1794.5999,1.7946
2,2131.4707,1502.3667,1502366.6999,2,1.0-1500400-1502869,600.0000,1.0000,1,2,True,1500400.0000,1502869.0000,1966.6999,1.9667
2,2131.5395,1502.4355,1502435.4999,2,1.0-1500400-1502869,600.0000,1.0000,1,2,True,1500400.0000,1502869.0000,2035.4999,2.0355
2,2131.6161,1502.5121,1502512.0999,2,1.0-1500400-1502869,600.0000,1.0000,1,2,True,1500400.0000,1502869.0000,2112.0999,2.1121
2,2526.9695,1897.8655,1897865.4999,3,1.0-1895845-1898080,799.0000,1.0000,1,3,True,1895845.0000,1898080.0000,2020.4999,2.0205
2,1439.1441,810.0401,810040.0999,5,1.0-809206-812076,358.0000,1.0000,0,42,True,809206.0000,812076.0000,834.0999,0.8341
2,1439.1701,810.0661,810066.0999,5,1.0-809206-812076,358.0000,1.0000,0,42,True,809206.0000,812076.0000,860.0999,0.8601
2,1439.7528,810.6488,810648.7999,5,1.0-809206-812076,358.0000,1.0000,0,42,True,809206.0000,812076.0000,1442.7999,1.4428
2,1946.5803,1317.4763,1317476.2999,6,1.0-1317092-1322096,535.0000,1.0000,1,5,True,1317092.0000,1322096.0000,384.2999,0.3843
2,1946.6114,1317.5074,1317507.3999,6,1.0-1317092-1322096,535.0000,1.0000,1,5,True,1317092.0000,1322096.0000,415.3999,0.4154
2,1948.9079,1319.8039,1319803.8999,6,1.0-1317092-1322096,535.0000,1.0000,1,5,True,1317092.0000,1322096.0000,2711.8999,2.7119
2,1949.2073,1320.1033,1320103.2999,6,1.0-1317092-1322096,535.0000,1.0000,1,5,True,1317092.0000,1322096.0000,3011.2999,3.0113
2,2640.5068,2011.4028,2011402.7999,7,1.0-2010654-2012823,835.0000,1.0000,1,6,True,2010654.0000,2012823.0000,748.7999,0.7488
2,2641.8227,2012.7187,2012718.6999,7,1.0-2010654-2012823,835.0000,1.0000,1,6,True,2010654.0000,2012823.0000,2064.6999,2.0647
2,2641.8388,2012.7348,2012734.7999,7,1.0-2010654-2012823,835.0000,1.0000,1,6,True,2010654.0000,2012823.0000,2080.7999,2.0808
2,937.7346,308.6306,308630.5999,8,1.0-307894-310296,173.0000,1.0000,1,7,True,307894.0000,310296.0000,736.5999,0.7366
2,938.4462,309.3422,309342.1999,8,1.0-307894-310296,173.0000,1.0000,1,7,True,307894.0000,310296.0000,1448.1999,1.4482
2,938.8460,309.7420,309741.9999,8,1.0-307894-310296,173.0000,1.0000,1,7,True,307894.0000,310296.0000,1847.9999,1.8480
2,939.0115,309.9075,309907.4999,8,1.0-307894-310296,173.0000,1.0000,1,7,True,307894.0000,310296.0000,2013.4999,2.0135
2,1713.2646,1084.1606,1084160.5999,9,1.0-1080666-1085671,458.0000,1.0000,1,8,True,1080666.0000,1085671.0000,3494.5999,3.4946
2,1713.2910,1084.1870,1084186.9999,9,1.0-1080666-1085671,458.0000,1.0000,1,8,True,1080666.0000,1085671.0000,3520.9999,3.5210
2,1713.3382,1084.2342,1084234.1999,9,1.0-1080666-1085671,458.0000,1.0000,1,8,True,1080666.0000,1085671.0000,3568.1999,3.5682
2,1338.3879,709.2839,709283.8999,11,1.0-708911-710946,330.0000,1.0000,0,44,True,708911.0000,710946.0000,372.8999,0.3729
2,1338.5610,709.4570,709456.9999,11,1.0-708911-710946,330.0000,1.0000,0,44,True,708911.0000,710946.0000,545.9999,0.5460
2,1338.6235,709.5195,709519.4999,11,1.0-708911-710946,330.0000,1.0000,0,44,True,708911.0000,710946.0000,608.4999,0.6085
2,1339.6967,710.5927,710592.6999,11,1.0-708911-710946,330.0000,1.0000,0,44,True,708911.0000,710946.0000,1681.6999,1.6817
2,1339.7966,710.6926,710692.5999,11,1.0-708911-710946,330.0000,1.0000,0,44,True,708911.0000,710946.0000,1781.5999,1.7816
2,1339.8433,710.7393,710739.2999,11,1.0-708911-710946,330.0000,1.0000,0,44,True,708911.0000,710946.0000,1828.2999,1.8283
2,2666.1285,2037.0245,2037024.4999,15,1.0-2036712-2039448,848.0000,1.0000,1,10,True,2036712.0000,2039448.0000,312.4999,0.3125
2,2666.4764,2037.3724,2037372.3999,15,1.0-2036712-2039448,848.0000,1.0000,1,10,True,2036712.0000,2039448.0000,660.3999,0.6604
2,2667.6008,2038.4968,2038496.7999,15,1.0-2036712-2039448,848.0000,1.0000,1,10,True,2036712.0000,2039448.0000,1784.7999,1.7848
2,1571.1680,942.0640,942063.9999,16,1.0-941967-942534,408.0000,1.0000,0,47,True,941967.0000,942534.0000,96.9999,0.0970
2,1571.2107,942.1067,942106.6999,16,1.0-941967-942534,408.0000,1.0000,0,47,True,941967.0000,942534.0000,139.6999,0.1397
2,2187.3575,1558.2535,1558253.4999,20,1.0-1556787-1561792,634.0000,1.0000,1,12,True,1556787.0000,1561792.0000,1466.4999,1.4665
2,2187.3816,1558.2776,1558277.5999,20,1.0-1556787-1561792,634.0000,1.0000,1,12,True,1556787.0000,1561792.0000,1490.5999,1.4906
2,2187.4040,1558.3000,1558299.9999,20,1.0-1556787-1561792,634.0000,1.0000,1,12,True,1556787.0000,1561792.0000,1512.9999,1.5130
2,2187.9065,1558.8025,1558802.4999,20,1.0-1556787-1561792,634.0000,1.0000,1,12,True,1556787.0000,1561792.0000,2015.4999,2.0155
2,2188.8441,1559.7401,1559740.0999,20,1.0-1556787-1561792,634.0000,1.0000,1,12,True,1556787.0000,1561792.0000,2953.0999,2.9531
2,1539.4691,910.3651,910365.0999,21,1.0-909169-910670,394.0000,1.0000,0,50,True,909169.0000,910670.0000,1196.0999,1.1961
2,670.4540,41.3500,41349.9999,22,1.0-40539-43041,22.0000,1.0000,1,13,True,40539.0000,43041.0000,810.9999,0.8110
