bin_10s,spike_count,firing_rate_hz
0,11,1.1
1,18,1.8
2,16,1.6
3,23,2.3
4,21,2.1
5,14,1.4
6,18,1.8
7,23,2.3
8,25,2.5
9,19,1.9
10,28,2.8
11,14,1.4
12,32,3.2
13,15,1.5
14,20,2.0
15,10,1.0
16,24,2.4
17,11,1.1
18,13,1.3
19,21,2.1
20,13,1.3
21,25,2.5
22,16,1.6
23,6,0.6
24,13,1.3
25,14,1.4
26,21,2.1
27,7,0.7
28,18,1.8
29,20,2.0
30,8,0.8
31,22,2.2
32,13,1.3
33,10,1.0
34,8,0.8
35,15,1.5
36,14,1.4
37,27,2.7
38,15,1.5
39,16,1.6
40,14,1.4
41,16,1.6
42,21,2.1
43,17,1.7
44,12,1.2
45,22,2.2
46,19,1.9
47,22,2.2
48,26,2.6
49,6,0.6
50,6,0.6
51,13,1.3
52,10,1.0
53,16,1.6
54,5,0.5
55,21,2.1
56,10,1.0
57,13,1.3
58,12,1.2
59,10,1.0
60,12,1.2
61,7,0.7
62,23,2.3
63,12,1.2
64,8,0.8
65,14,1.4
66,18,1.8
67,10,1.0
68,21,2.1
69,18,1.8
70,21,2.1
71,18,1.8
72,14,1.4
73,13,1.3
74,10,1.0
75,12,1.2
76,25,2.5
77,13,1.3
78,17,1.7
79,12,1.2
80,14,1.4
81,20,2.0
82,18,1.8
83,8,0.8
84,19,1.9
85,25,2.5
86,30,3.0
87,14,1.4
88,16,1.6
89,15,1.5
90,10,1.0
91,36,3.6
92,22,2.2
93,9,0.9
94,42,4.2
95,29,2.9
96,38,3.8
97,22,2.2
98,15,1.5
99,25,2.5
100,23,2.3
101,24,2.4
102,15,1.5
103,23,2.3
104,19,1.9
105,9,0.9
106,11,1.1
107,14,1.4
108,14,1.4
109,12,1.2
110,27,2.7
111,30,3.0
112,18,1.8
113,19,1.9
114,20,2.0
115,26,2.6
116,33,3.3
117,16,1.6
118,15,1.5
119,18,1.8
120,19,1.9
121,7,0.7
122,17,1.7
123,18,1.8
124,26,2.6
125,22,2.2
126,23,2.3
127,14,1.4
128,15,1.5
129,14,1.4
130,15,1.5
131,9,0.9
132,16,1.6
133,21,2.1
134,10,1.0
135,21,2.1
136,33,3.3
137,16,1.6
138,12,1.2
139,11,1.1
140,9,0.9
141,12,1.2
142,17,1.7
143,9,0.9
144,13,1.3
145,6,0.6
146,13,1.3
147,17,1.7
148,16,1.6
149,10,1.0
150,19,1.9
151,11,1.1
152,17,1.7
153,13,1.3
154,12,1.2
155,17,1.7
156,16,1.6
157,13,1.3
158,18,1.8
159,15,1.5
160,12,1.2
161,15,1.5
162,13,1.3
163,13,1.3
164,18,1.8
165,14,1.4
166,24,2.4
167,14,1.4
168,29,2.9
169,13,1.3
170,27,2.7
171,23,2.3
172,17,1.7
173,25,2.5
174,26,2.6
175,29,2.9
176,9,0.9
177,8,0.8
178,9,0.9
179,18,1.8
180,17,1.7
181,29,2.9
182,14,1.4
183,9,0.9
184,10,1.0
185,15,1.5
186,39,3.9
187,32,3.2
188,18,1.8
189,18,1.8
190,14,1.4
191,20,2.0
192,16,1.6
193,4,0.4
194,23,2.3
195,18,1.8
196,10,1.0
197,16,1.6
198,13,1.3
199,20,2.0
200,9,0.9
201,12,1.2
202,9,0.9
203,24,2.4
204,15,1.5
205,21,2.1
206,19,1.9
207,31,3.1
208,25,2.5
209,8,0.8
