bin_10s,spike_count,firing_rate_hz
0,0,0.0
1,0,0.0
2,2,0.2
3,1,0.1
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,1,0.1
10,0,0.0
11,1,0.1
12,0,0.0
13,1,0.1
14,2,0.2
15,1,0.1
16,0,0.0
17,0,0.0
18,2,0.2
19,2,0.2
20,0,0.0
21,0,0.0
22,0,0.0
23,0,0.0
24,1,0.1
25,1,0.1
26,0,0.0
27,0,0.0
28,2,0.2
29,0,0.0
30,1,0.1
31,0,0.0
32,1,0.1
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,3,0.3
39,0,0.0
40,1,0.1
41,3,0.3
42,1,0.1
43,0,0.0
44,0,0.0
45,4,0.4
46,1,0.1
47,1,0.1
48,1,0.1
49,1,0.1
50,1,0.1
51,0,0.0
52,0,0.0
53,2,0.2
54,0,0.0
55,2,0.2
56,0,0.0
57,0,0.0
58,1,0.1
59,0,0.0
60,0,0.0
61,1,0.1
62,0,0.0
63,1,0.1
64,1,0.1
65,1,0.1
66,0,0.0
67,0,0.0
68,0,0.0
69,0,0.0
70,0,0.0
71,3,0.3
72,2,0.2
73,0,0.0
74,0,0.0
75,0,0.0
76,0,0.0
77,0,0.0
78,2,0.2
79,0,0.0
80,0,0.0
81,1,0.1
82,0,0.0
83,0,0.0
84,1,0.1
85,2,0.2
86,0,0.0
87,0,0.0
88,0,0.0
89,0,0.0
90,0,0.0
91,0,0.0
92,0,0.0
93,0,0.0
94,1,0.1
95,0,0.0
96,0,0.0
97,0,0.0
98,0,0.0
99,0,0.0
100,1,0.1
101,0,0.0
102,2,0.2
103,0,0.0
104,0,0.0
105,0,0.0
106,0,0.0
107,2,0.2
108,2,0.2
109,0,0.0
110,0,0.0
111,0,0.0
112,0,0.0
113,0,0.0
114,4,0.4
115,1,0.1
116,1,0.1
117,0,0.0
118,1,0.1
119,2,0.2
120,0,0.0
121,0,0.0
122,0,0.0
123,1,0.1
124,2,0.2
125,2,0.2
126,1,0.1
127,0,0.0
128,1,0.1
129,1,0.1
130,0,0.0
131,1,0.1
132,0,0.0
133,0,0.0
134,0,0.0
135,0,0.0
136,0,0.0
137,0,0.0
138,1,0.1
139,1,0.1
140,1,0.1
141,1,0.1
142,2,0.2
143,3,0.3
144,0,0.0
145,1,0.1
146,0,0.0
147,0,0.0
148,0,0.0
149,0,0.0
150,0,0.0
151,2,0.2
152,1,0.1
153,1,0.1
154,1,0.1
155,0,0.0
156,0,0.0
157,1,0.1
158,1,0.1
159,2,0.2
160,0,0.0
161,2,0.2
162,0,0.0
163,0,0.0
164,2,0.2
165,1,0.1
166,0,0.0
167,0,0.0
168,0,0.0
169,3,0.3
170,0,0.0
171,0,0.0
172,2,0.2
173,1,0.1
174,0,0.0
175,0,0.0
176,0,0.0
177,0,0.0
178,1,0.1
179,0,0.0
180,0,0.0
181,2,0.2
182,1,0.1
183,0,0.0
184,0,0.0
185,1,0.1
186,0,0.0
187,0,0.0
188,0,0.0
189,1,0.1
190,0,0.0
191,2,0.2
192,0,0.0
193,0,0.0
194,1,0.1
195,0,0.0
196,0,0.0
197,0,0.0
198,0,0.0
199,0,0.0
200,5,0.5
201,0,0.0
202,0,0.0
203,0,0.0
204,0,0.0
205,0,0.0
206,1,0.1
207,2,0.2
208,1,0.1
209,1,0.1
