neuron_name,electrode_code,full_location,region_abbr
times_manual_GA1-RA1_unit_1,RA,Right-Amygdala,AMY
times_manual_GA1-RA1_unit_2,RA,Right-Amygdala,AMY
times_manual_GA1-RA2_unit_1,RA,Right-Amygdala,AMY
times_manual_GA1-RA3_unit_1,RA,Right-Amygdala,AMY
times_manual_GA1-RA3_unit_2,RA,Right-Amygdala,AMY
times_manual_GA1-RA4_unit_1,RA,Right-Amygdala,AMY
times_manual_GA1-RA5_unit_1,RA,Right-Amygdala,AMY
times_manual_GA1-RA6_unit_1,RA,Right-Amygdala,AMY
times_manual_GA1-RA7_unit_1,RA,Right-Amygdala,AMY
times_manual_GA1-RA8_unit_1,RA,Right-Amygdala,AMY
times_manual_GA3-RAH8_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GA4-RFOpAI3_unit_1,RFOPAI,Right-Cerebral-White-Matter,PARS
times_manual_GA4-RFOpAI3_unit_2,RFOPAI,Right-Cerebral-White-Matter,PARS
times_manual_GA4-RFOpAI4_unit_1,RFOPAI,Right-Cerebral-White-Matter,PARS
times_manual_GA4-RFOpAI6_unit_1,RFOPAI,Right-Cerebral-White-Matter,PARS
times_manual_GA4-RFOpAI8_unit_1,RFOPAI,Right-Cerebral-White-Matter,PARS
times_manual_GB2-LPTP1_unit_1,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP1_unit_2,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP1_unit_3,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP2_unit_1,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP2_unit_2,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP3_unit_1,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP3_unit_2,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP4_unit_1,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP4_unit_2,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP5_unit_1,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP5_unit_2,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP5_unit_3,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP5_unit_4,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP6_unit_1,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP6_unit_2,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP7_unit_1,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP7_unit_2,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP8_unit_1,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP8_unit_2,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP8_unit_3,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB2-LPTP8_unit_4,LPTP,ctx-lh-entorhinal,ERC
times_manual_GB3-LAC1_unit_1,LAC,ctx-lh-caudalanteriorcingulate,CC
times_manual_GB3-LAC2_unit_1,LAC,ctx-lh-caudalanteriorcingulate,CC
times_manual_GB3-LAC2_unit_2,LAC,ctx-lh-caudalanteriorcingulate,CC
times_manual_GB3-LAC5_unit_1,LAC,ctx-lh-caudalanteriorcingulate,CC
times_manual_GB3-LAC5_unit_2,LAC,ctx-lh-caudalanteriorcingulate,CC
times_manual_GB3-LAC7_unit_1,LAC,ctx-lh-caudalanteriorcingulate,CC
times_manual_GC1-LA1_unit_1,LA,Left-Amygdala,AMY
times_manual_GC1-LA1_unit_2,LA,Left-Amygdala,AMY
times_manual_GC1-LA2_unit_1,LA,Left-Amygdala,AMY
times_manual_GC1-LA2_unit_2,LA,Left-Amygdala,AMY
times_manual_GC1-LA4_unit_1,LA,Left-Amygdala,AMY
times_manual_GC1-LA4_unit_2,LA,Left-Amygdala,AMY
times_manual_GC1-LA6_unit_1,LA,Left-Amygdala,AMY
times_manual_GC1-LA6_unit_2,LA,Left-Amygdala,AMY
times_manual_GC1-LA7_unit_1,LA,Left-Amygdala,AMY
times_manual_GC1-LA7_unit_2,LA,Left-Amygdala,AMY
times_manual_GC1-LA8_unit_1,LA,Left-Amygdala,AMY
times_manual_GC1-LA8_unit_2,LA,Left-Amygdala,AMY
times_manual_GC2-LOF1_unit_1,LOF,ctx-lh-rostralanteriorcingulate,CC
times_manual_GC2-LOF1_unit_2,LOF,ctx-lh-rostralanteriorcingulate,CC
times_manual_GC2-LOF2_unit_1,LOF,ctx-lh-rostralanteriorcingulate,CC
times_manual_GC2-LOF2_unit_2,LOF,ctx-lh-rostralanteriorcingulate,CC
times_manual_GC2-LOF2_unit_3,LOF,ctx-lh-rostralanteriorcingulate,CC
times_manual_GC2-LOF3_unit_1,LOF,ctx-lh-rostralanteriorcingulate,CC
times_manual_GC2-LOF4_unit_1,LOF,ctx-lh-rostralanteriorcingulate,CC
times_manual_GC2-LOF4_unit_2,LOF,ctx-lh-rostralanteriorcingulate,CC
times_manual_GC2-LOF4_unit_3,LOF,ctx-lh-rostralanteriorcingulate,CC
times_manual_GC2-LOF5_unit_1,LOF,ctx-lh-rostralanteriorcingulate,CC
times_manual_GC2-LOF5_unit_2,LOF,ctx-lh-rostralanteriorcingulate,CC
times_manual_GC2-LOF5_unit_3,LOF,ctx-lh-rostralanteriorcingulate,CC
times_manual_GC2-LOF6_unit_1,LOF,ctx-lh-rostralanteriorcingulate,CC
times_manual_GC2-LOF7_unit_1,LOF,ctx-lh-rostralanteriorcingulate,CC
times_manual_GC2-LOF8_unit_1,LOF,ctx-lh-rostralanteriorcingulate,CC
