units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,629.2671,0.1631,163.0999
1,630.6337,1.5297,1529.6999
1,630.6900,1.5860,1585.9999
1,630.7317,1.6277,1627.6999
1,630.7509,1.6469,1646.8999
1,630.8220,1.7180,1717.9999
1,631.2179,2.1139,2113.8999
1,631.4944,2.3904,2390.3999
1,631.8462,2.7422,2742.1999
1,631.9300,2.8260,2825.9999
1,634.1149,5.0109,5010.8999
1,634.5102,5.4062,5406.1999
1,634.6232,5.5192,5519.1999
1,636.4667,7.3627,7362.6999
1,639.9134,10.8094,10809.3999
1,642.3762,13.2722,13272.1999
1,642.6303,13.5263,13526.2999
1,643.0205,13.9165,13916.4999
1,643.5849,14.4809,14480.8999
1,643.6322,14.5282,14528.1999
1,643.6427,14.5387,14538.6999
1,643.9210,14.8170,14816.9999
1,644.0053,14.9013,14901.2999
1,644.0656,14.9616,14961.5999
1,644.7210,15.6170,15616.9999
1,645.2866,16.1826,16182.5999
1,645.3168,16.2128,16212.7999
1,645.7941,16.6901,16690.0999
1,646.1845,17.0805,17080.4999
1,646.2031,17.0991,17099.0999
1,646.5154,17.4114,17411.3999
1,646.5971,17.4931,17493.0999
1,646.6787,17.5747,17574.6999
1,647.0995,17.9955,17995.4999
1,647.8005,18.6965,18696.4999
1,647.8323,18.7283,18728.2999
1,647.8718,18.7678,18767.7999
1,647.8880,18.7840,18783.9999
1,648.0829,18.9789,18978.8999
1,648.6029,19.4989,19498.8999
1,648.6268,19.5228,19522.7999
1,648.6462,19.5422,19542.1999
1,649.7652,20.6612,20661.1999
1,649.8754,20.7714,20771.3999
1,650.2978,21.1938,21193.7999
1,650.4031,21.2991,21299.0999
1,650.4481,21.3441,21344.0999
1,650.5159,21.4119,21411.8999
1,650.6583,21.5543,21554.2999
1,650.6827,21.5787,21578.6999
1,650.8980,21.7940,21793.9999
1,650.9166,21.8126,21812.5999
1,650.9290,21.8250,21824.9999
1,651.2015,22.0975,22097.4999
1,651.2304,22.1264,22126.3999
1,651.4678,22.3638,22363.7999
1,652.0503,22.9463,22946.2999
1,652.1186,23.0146,23014.5999
1,652.2782,23.1742,23174.1999
1,652.7055,23.6015,23601.4999
1,653.5135,24.4095,24409.4999
1,653.6454,24.5414,24541.3999
1,653.6863,24.5823,24582.2999
1,654.5692,25.4652,25465.1999
1,654.6717,25.5677,25567.6999
1,654.7792,25.6752,25675.1999
1,654.8430,25.7390,25738.9999
1,654.8698,25.7658,25765.7999
1,655.2374,26.1334,26133.3999
1,655.3024,26.1984,26198.3999
1,655.3668,26.2628,26262.7999
1,655.5597,26.4557,26455.6999
1,655.5930,26.4890,26488.9999
1,656.1609,27.0569,27056.8999
1,656.2666,27.1626,27162.5999
1,657.0615,27.9575,27957.4999
1,657.1063,28.0023,28002.2999
1,657.2790,28.1750,28174.9999
1,657.3979,28.2939,28293.8999
1,657.6110,28.5070,28506.9999
1,657.6565,28.5525,28552.4999
1,657.7710,28.6670,28666.9999
1,658.3229,29.2189,29218.8999
1,658.5080,29.4040,29403.9999
1,658.5364,29.4324,29432.3999
1,658.6259,29.5219,29521.8999
1,658.9238,29.8198,29819.7999
1,658.9553,29.8513,29851.2999
1,659.2013,30.0973,30097.2999
1,659.2663,30.1623,30162.2999
1,659.3310,30.2270,30226.9999
1,659.7294,30.6254,30625.3999
1,659.7702,30.6662,30666.1999
1,659.8026,30.6986,30698.5999
1,659.8290,30.7250,30724.9999
1,660.3760,31.2720,31271.9999
1,660.3926,31.2886,31288.5999
1,660.5060,31.4020,31401.9999
1,660.5473,31.4433,31443.2999
1,660.6059,31.5019,31501.8999
1,661.1863,32.0823,32082.2999
1,661.6859,32.5819,32581.8999
1,661.7615,32.6575,32657.4999
1,661.8142,32.7102,32710.1999
1,662.5525,33.4485,33448.4999
1,663.7097,34.6057,34605.6999
1,664.0268,34.9228,34922.7999
1,664.0629,34.9589,34958.8999
1,664.0740,34.9700,34969.9999
1,664.1822,35.0782,35078.1999
1,665.8706,36.7666,36766.5999
1,666.8226,37.7186,37718.5999
1,667.2783,38.1743,38174.2999
1,667.6143,38.5103,38510.2999
1,667.7876,38.6836,38683.5999
1,667.8103,38.7063,38706.2999
1,667.8299,38.7259,38725.8999
1,668.0894,38.9854,38985.3999
1,668.1106,39.0066,39006.5999
1,675.9386,46.8346,46834.5999
1,679.5611,50.4571,50457.0999
1,682.2640,53.1600,53159.9999
1,682.6470,53.5430,53542.9999
1,682.7856,53.6816,53681.5999
1,682.8128,53.7088,53708.7999
1,682.9606,53.8566,53856.5999
1,683.0050,53.9010,53900.9999
1,683.1791,54.0751,54075.0999
1,683.8902,54.7862,54786.1999
1,683.9252,54.8212,54821.1999
1,683.9491,54.8451,54845.0999
1,684.2945,55.1905,55190.4999
1,684.5503,55.4463,55446.2999
1,685.0873,55.9833,55983.2999
1,685.1125,56.0085,56008.4999
1,685.2671,56.1631,56163.0999
1,686.3246,57.2206,57220.5999
1,687.4988,58.3948,58394.7999
1,687.5512,58.4472,58447.1999
1,687.7480,58.6440,58643.9999
1,688.4754,59.3714,59371.3999
1,688.4986,59.3946,59394.5999
1,688.5906,59.4866,59486.5999
1,688.6326,59.5286,59528.5999
1,689.0349,59.9309,59930.8999
1,689.5089,60.4049,60404.8999
1,690.3951,61.2911,61291.0999
1,690.9256,61.8216,61821.5999
1,691.2734,62.1694,62169.3999
1,692.0110,62.9070,62906.9999
1,692.0685,62.9645,62964.4999
1,692.6785,63.5745,63574.4999
1,692.8973,63.7933,63793.2999
1,693.4993,64.3953,64395.2999
1,693.5453,64.4413,64441.2999
1,694.0804,64.9764,64976.3999
1,694.2963,65.1923,65192.2999
1,694.4385,65.3345,65334.4999
1,694.9366,65.8326,65832.5999
1,695.1788,66.0748,66074.7999
1,695.2168,66.1128,66112.7999
1,695.9957,66.8917,66891.6999
1,696.0501,66.9461,66946.0999
1,696.0837,66.9797,66979.6999
1,697.8692,68.7652,68765.1999
1,697.9169,68.8129,68812.8999
1,698.2094,69.1054,69105.3999
1,698.4087,69.3047,69304.6999
1,698.5284,69.4244,69424.3999
1,698.5459,69.4419,69441.8999
1,699.4015,70.2975,70297.4999
1,699.4604,70.3564,70356.3999
1,699.5361,70.4321,70432.0999
1,699.7929,70.6889,70688.8999
1,700.5994,71.4954,71495.3999
1,703.0417,73.9377,73937.6999
1,703.2026,74.0986,74098.5999
1,703.6004,74.4964,74496.3999
1,703.6739,74.5699,74569.8999
1,703.7070,74.6030,74602.9999
1,704.7273,75.6233,75623.2999
1,704.7574,75.6534,75653.3999
1,704.7972,75.6932,75693.1999
1,704.8052,75.7012,75701.1999
1,704.9478,75.8438,75843.7999
1,704.9841,75.8801,75880.0999
1,705.9142,76.8102,76810.1999
1,706.1844,77.0804,77080.3999
1,706.3319,77.2279,77227.8999
1,706.3506,77.2466,77246.5999
1,708.0515,78.9475,78947.4999
1,708.2667,79.1627,79162.6999
1,708.3574,79.2534,79253.3999
1,708.4256,79.3216,79321.5999
1,708.4397,79.3357,79335.6999
1,709.2185,80.1145,80114.4999
1,709.4686,80.3646,80364.5999
1,709.9101,80.8061,80806.0999
1,710.3554,81.2514,81251.3999
1,711.4632,82.3592,82359.1999
1,712.9715,83.8675,83867.4999
1,713.0234,83.9194,83919.3999
1,713.8569,84.7529,84752.8999
1,716.5299,87.4259,87425.8999
1,725.4163,96.3123,96312.2999
1,728.9103,99.8063,99806.2999
1,729.1936,100.0896,100089.5999
1,729.8063,100.7023,100702.2999
1,729.8401,100.7361,100736.0999
1,731.0684,101.9644,101964.3999
1,732.3826,103.2786,103278.5999
1,732.8183,103.7143,103714.2999
1,734.2853,105.1813,105181.2999
1,734.4275,105.3235,105323.4999
1,734.6137,105.5097,105509.6999
1,737.0342,107.9302,107930.1999
1,737.1522,108.0482,108048.1999
1,737.2427,108.1387,108138.6999
1,737.5442,108.4402,108440.1999
1,737.5717,108.4677,108467.6999
1,738.3089,109.2049,109204.8999
1,741.7006,112.5966,112596.5999
1,742.0431,112.9391,112939.0999
1,742.0708,112.9668,112966.7999
1,742.2055,113.1015,113101.4999
1,742.2608,113.1568,113156.7999
1,742.2791,113.1751,113175.0999
1,742.4152,113.3112,113311.1999
1,742.7336,113.6296,113629.5999
1,742.7841,113.6801,113680.0999
1,742.8056,113.7016,113701.5999
1,742.8274,113.7234,113723.3999
1,742.9365,113.8325,113832.4999
1,742.9751,113.8711,113871.0999
1,743.1148,114.0108,114010.7999
1,743.2249,114.1209,114120.8999
1,757.8915,128.7875,128787.4999
1,758.5361,129.4321,129432.0999
1,758.5793,129.4753,129475.2999
1,758.6750,129.5710,129570.9999
1,758.7351,129.6311,129631.0999
1,758.7937,129.6897,129689.6999
1,758.8155,129.7115,129711.4999
1,758.8698,129.7658,129765.7999
1,759.4460,130.3420,130341.9999
1,759.4829,130.3789,130378.8999
1,759.6294,130.5254,130525.3999
1,759.8657,130.7617,130761.6999
1,762.0086,132.9046,132904.5999
1,762.1771,133.0731,133073.0999
1,762.3327,133.2287,133228.6999
1,762.4363,133.3323,133332.2999
1,762.4594,133.3554,133355.3999
1,762.5206,133.4166,133416.5999
1,766.4206,137.3166,137316.5999
1,766.4542,137.3502,137350.1999
1,766.5639,137.4599,137459.8999
1,766.6938,137.5898,137589.7999
1,766.7520,137.6480,137647.9999
1,766.7643,137.6603,137660.2999
1,766.8100,137.7060,137705.9999
1,766.8759,137.7719,137771.8999
1,766.9590,137.8550,137854.9999
1,766.9848,137.8808,137880.7999
1,767.0542,137.9502,137950.1999
1,767.0720,137.9680,137967.9999
1,767.1377,138.0337,138033.6999
1,767.2057,138.1017,138101.6999
1,767.2309,138.1269,138126.8999
1,767.5014,138.3974,138397.3999
1,767.5457,138.4417,138441.6999
1,767.7460,138.6420,138641.9999
1,769.8693,140.7653,140765.2999
1,773.1375,144.0335,144033.4999
1,773.1839,144.0799,144079.8999
1,773.2063,144.1023,144102.2999
1,773.2957,144.1917,144191.6999
1,773.4112,144.3072,144307.1999
1,773.4494,144.3454,144345.3999
1,773.4621,144.3581,144358.0999
1,773.4956,144.3916,144391.5999
1,773.6273,144.5233,144523.2999
1,773.6566,144.5526,144552.5999
1,773.6785,144.5745,144574.4999
1,773.7392,144.6352,144635.1999
1,773.7697,144.6657,144665.6999
1,773.8602,144.7562,144756.1999
1,773.9091,144.8051,144805.0999
1,773.9920,144.8880,144887.9999
1,774.0174,144.9134,144913.3999
1,774.2202,145.1162,145116.1999
1,774.3518,145.2478,145247.7999
1,774.4090,145.3050,145304.9999
1,774.4850,145.3810,145380.9999
1,774.5126,145.4086,145408.5999
1,774.6005,145.4965,145496.4999
1,774.6388,145.5348,145534.7999
1,774.6524,145.5484,145548.3999
1,774.7884,145.6844,145684.3999
1,774.8839,145.7799,145779.8999
1,774.9220,145.8180,145817.9999
1,774.9756,145.8716,145871.5999
1,775.8738,146.7698,146769.7999
1,776.3390,147.2350,147234.9999
1,776.3745,147.2705,147270.4999
1,776.6361,147.5321,147532.0999
1,776.6437,147.5397,147539.6999
1,776.7640,147.6600,147659.9999
1,776.8235,147.7195,147719.4999
1,776.8502,147.7462,147746.1999
1,776.9477,147.8437,147843.6999
1,776.9666,147.8626,147862.5999
1,777.0126,147.9086,147908.5999
1,777.1818,148.0778,148077.7999
1,777.1990,148.0950,148094.9999
1,777.2514,148.1474,148147.3999
1,777.3446,148.2406,148240.5999
1,777.5213,148.4173,148417.2999
1,777.5496,148.4456,148445.5999
1,777.6537,148.5497,148549.6999
1,777.7391,148.6351,148635.0999
1,777.8657,148.7617,148761.6999
1,778.0817,148.9777,148977.6999
1,778.2244,149.1204,149120.3999
1,778.3781,149.2741,149274.0999
1,778.4935,149.3895,149389.4999
1,778.5950,149.4910,149490.9999
1,778.7117,149.6077,149607.6999
1,778.8957,149.7917,149791.6999
1,778.9260,149.8220,149821.9999
1,778.9923,149.8883,149888.2999
1,779.0683,149.9643,149964.2999
1,779.4734,150.3694,150369.3999
1,779.6199,150.5159,150515.8999
1,779.7793,150.6753,150675.2999
1,779.8636,150.7596,150759.5999
1,780.3416,151.2376,151237.5999
1,780.5013,151.3973,151397.2999
1,780.8869,151.7829,151782.8999
1,781.0892,151.9852,151985.1999
1,781.1439,152.0399,152039.8999
1,781.3294,152.2254,152225.3999
1,781.7248,152.6208,152620.7999
1,781.8109,152.7069,152706.8999
1,782.1746,153.0706,153070.5999
1,782.2466,153.1426,153142.5999
1,782.7977,153.6937,153693.6999
1,783.4306,154.3266,154326.5999
1,783.7980,154.6940,154693.9999
1,784.5547,155.4507,155450.6999
1,784.6430,155.5390,155538.9999
1,785.9172,156.8132,156813.1999
1,786.9546,157.8506,157850.5999
1,787.1586,158.0546,158054.5999
1,788.4973,159.3933,159393.2999
1,788.6681,159.5641,159564.0999
1,788.6908,159.5868,159586.7999
1,789.6435,160.5395,160539.4999
1,790.3877,161.2837,161283.6999
1,790.4285,161.3245,161324.4999
1,791.3726,162.2686,162268.5999
1,791.5008,162.3968,162396.7999
1,791.8021,162.6981,162698.0999
1,792.9553,163.8513,163851.2999
1,793.8719,164.7679,164767.8999
1,794.2885,165.1845,165184.4999
1,794.3256,165.2216,165221.5999
1,794.7165,165.6125,165612.4999
1,794.7299,165.6259,165625.8999
1,794.9317,165.8277,165827.6999
1,795.0324,165.9284,165928.3999
1,795.2030,166.0990,166098.9999
1,795.5231,166.4191,166419.0999
1,795.6206,166.5166,166516.5999
1,795.6325,166.5285,166528.4999
1,795.9174,166.8134,166813.3999
1,796.1060,167.0020,167001.9999
1,796.2567,167.1527,167152.6999
1,796.4303,167.3263,167326.2999
1,796.5696,167.4656,167465.5999
1,796.5961,167.4921,167492.0999
1,796.8206,167.7166,167716.5999
1,796.9375,167.8335,167833.4999
1,797.2780,168.1740,168173.9999
1,797.7291,168.6251,168625.0999
1,797.7507,168.6467,168646.6999
1,797.9478,168.8438,168843.7999
1,798.0525,168.9485,168948.4999
1,798.0716,168.9676,168967.5999
1,798.3466,169.2426,169242.5999
1,798.9217,169.8177,169817.6999
1,799.1276,170.0236,170023.5999
1,799.1798,170.0758,170075.7999
1,799.1912,170.0872,170087.1999
1,799.3531,170.2491,170249.0999
1,799.4150,170.3110,170310.9999
1,799.7941,170.6901,170690.0999
1,799.9397,170.8357,170835.6999
1,800.2087,171.1047,171104.6999
1,800.2546,171.1506,171150.5999
1,800.3807,171.2767,171276.6999
1,800.4213,171.3173,171317.2999
