units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,630.2143,1.1103,1110.2999
2,634.5616,5.4576,5457.5999
2,634.8636,5.7596,5759.5999
2,635.1826,6.0786,6078.5999
2,635.2914,6.1874,6187.3999
2,635.3500,6.2460,6245.9999
2,635.4047,6.3007,6300.6999
2,635.4421,6.3381,6338.0999
2,635.4788,6.3748,6374.7999
2,636.6889,7.5849,7584.8999
2,638.7990,9.6950,9694.9999
2,638.9573,9.8533,9853.2999
2,639.0353,9.9313,9931.2999
2,639.1251,10.0211,10021.0999
2,639.5161,10.4121,10412.0999
2,639.8193,10.7153,10715.2999
2,639.8324,10.7284,10728.3999
2,640.6345,11.5305,11530.4999
2,640.7108,11.6068,11606.7999
2,640.8673,11.7633,11763.2999
2,640.9003,11.7963,11796.2999
2,641.0738,11.9698,11969.7999
2,643.7865,14.6825,14682.4999
2,643.9786,14.8746,14874.5999
2,643.9898,14.8858,14885.7999
2,644.0611,14.9571,14957.0999
2,644.1261,15.0221,15022.0999
2,644.2700,15.1660,15165.9999
2,644.3866,15.2826,15282.5999
2,644.4601,15.3561,15356.0999
2,644.5560,15.4520,15451.9999
2,644.6381,15.5341,15534.0999
2,644.8353,15.7313,15731.2999
2,647.3687,18.2647,18264.6999
2,647.3977,18.2937,18293.6999
2,647.4473,18.3433,18343.2999
2,648.0671,18.9631,18963.0999
2,648.3118,19.2078,19207.7999
2,649.4354,20.3314,20331.3999
2,649.9547,20.8507,20850.6999
2,650.7831,21.6791,21679.0999
2,652.5585,23.4545,23454.4999
2,653.2475,24.1435,24143.4999
2,655.5056,26.4016,26401.5999
2,655.8268,26.7228,26722.7999
2,658.8378,29.7338,29733.7999
2,658.9107,29.8067,29806.6999
2,661.3448,32.2408,32240.7999
2,661.4150,32.3110,32310.9999
2,661.5671,32.4631,32463.0999
2,661.6132,32.5092,32509.1999
2,661.8138,32.7098,32709.7999
2,661.8490,32.7450,32744.9999
2,662.1711,33.0671,33067.0999
2,662.9480,33.8440,33843.9999
2,663.0460,33.9420,33941.9999
2,663.4774,34.3734,34373.3999
2,663.6537,34.5497,34549.6999
2,663.7259,34.6219,34621.8999
2,663.7495,34.6455,34645.4999
2,663.8793,34.7753,34775.2999
2,664.0320,34.9280,34927.9999
2,664.0670,34.9630,34962.9999
2,664.0957,34.9917,34991.6999
2,664.1386,35.0346,35034.5999
2,664.1495,35.0455,35045.4999
2,664.1743,35.0703,35070.2999
2,664.2119,35.1079,35107.8999
2,664.3020,35.1980,35197.9999
2,664.4151,35.3111,35311.0999
2,664.5200,35.4160,35415.9999
2,664.5349,35.4309,35430.8999
2,664.7394,35.6354,35635.3999
2,669.2605,40.1565,40156.4999
2,672.5589,43.4549,43454.8999
2,673.9969,44.8929,44892.8999
2,674.0321,44.9281,44928.0999
2,674.1365,45.0325,45032.4999
2,674.2218,45.1178,45117.7999
2,675.2548,46.1508,46150.7999
2,675.3108,46.2068,46206.7999
2,675.3773,46.2733,46273.2999
2,675.3830,46.2790,46278.9999
2,675.4459,46.3419,46341.8999
2,675.4764,46.3724,46372.3999
2,675.5664,46.4624,46462.3999
2,675.5765,46.4725,46472.4999
2,675.6009,46.4969,46496.8999
2,675.6720,46.5680,46567.9999
2,675.6829,46.5789,46578.8999
2,675.7864,46.6824,46682.3999
2,675.8714,46.7674,46767.3999
2,675.9114,46.8074,46807.3999
2,676.0013,46.8973,46897.2999
2,676.0886,46.9846,46984.5999
2,677.0032,47.8992,47899.1999
2,677.9254,48.8214,48821.3999
2,678.0758,48.9718,48971.7999
2,680.0168,50.9128,50912.7999
2,680.0762,50.9722,50972.1999
2,680.8471,51.7431,51743.0999
2,681.3275,52.2235,52223.4999
2,685.3276,56.2236,56223.5999
2,685.6660,56.5620,56561.9999
2,691.6771,62.5731,62573.0999
2,693.3501,64.2461,64246.0999
2,693.4543,64.3503,64350.2999
2,693.5084,64.4044,64404.3999
2,693.8318,64.7278,64727.7999
2,693.8452,64.7412,64741.1999
2,694.5871,65.4831,65483.0999
2,695.8159,66.7119,66711.8999
2,695.8259,66.7219,66721.8999
2,696.3636,67.2596,67259.5999
2,701.5638,72.4598,72459.7999
2,702.3898,73.2858,73285.7999
2,702.7530,73.6490,73648.9999
2,702.9405,73.8365,73836.4999
2,704.1226,75.0186,75018.5999
2,704.1979,75.0939,75093.8999
2,704.2247,75.1207,75120.6999
2,704.5527,75.4487,75448.6999
2,705.4911,76.3871,76387.0999
2,705.4941,76.3901,76390.0999
2,706.0314,76.9274,76927.3999
2,706.0884,76.9844,76984.3999
2,706.2973,77.1933,77193.2999
2,706.8819,77.7779,77777.8999
2,707.0555,77.9515,77951.4999
2,707.4980,78.3940,78393.9999
2,707.5732,78.4692,78469.1999
2,707.6042,78.5002,78500.1999
2,707.6232,78.5192,78519.1999
2,707.6566,78.5526,78552.5999
2,707.7349,78.6309,78630.8999
2,707.7494,78.6454,78645.3999
2,707.8510,78.7470,78746.9999
2,707.8913,78.7873,78787.2999
2,707.9203,78.8163,78816.2999
2,708.2122,79.1082,79108.1999
2,708.2357,79.1317,79131.6999
2,710.6004,81.4964,81496.3999
2,710.6667,81.5627,81562.6999
2,710.7192,81.6152,81615.1999
2,711.1258,82.0218,82021.7999
2,711.2498,82.1458,82145.7999
2,711.4050,82.3010,82300.9999
2,711.7666,82.6626,82662.5999
2,712.0285,82.9245,82924.4999
2,712.9200,83.8160,83815.9999
2,714.8650,85.7610,85760.9999
2,716.3203,87.2163,87216.2999
2,716.6133,87.5093,87509.2999
2,717.2716,88.1676,88167.5999
2,717.4623,88.3583,88358.2999
2,717.5329,88.4289,88428.8999
2,717.6339,88.5299,88529.8999
2,719.1010,89.9970,89996.9999
2,719.1779,90.0739,90073.8999
2,719.3342,90.2302,90230.1999
2,719.3575,90.2535,90253.4999
2,720.1994,91.0954,91095.3999
2,720.2368,91.1328,91132.7999
2,720.2609,91.1569,91156.8999
2,720.3123,91.2083,91208.2999
2,720.3646,91.2606,91260.5999
2,720.3901,91.2861,91286.0999
2,720.4017,91.2977,91297.6999
2,720.5114,91.4074,91407.3999
2,720.5493,91.4453,91445.2999
