units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,629.6654,0.5614,561.3999
1,629.9379,0.8339,833.8999
1,630.1029,0.9989,998.8999
1,630.2427,1.1387,1138.6999
1,630.7746,1.6706,1670.5999
1,631.1890,2.0850,2084.9999
1,631.2661,2.1621,2162.0999
1,631.6110,2.5070,2506.9999
1,631.8717,2.7677,2767.6999
1,631.9404,2.8364,2836.3999
1,632.0749,2.9709,2970.8999
1,632.1793,3.0753,3075.2999
1,632.2708,3.1668,3166.7999
1,632.4299,3.3259,3325.8999
1,632.6100,3.5060,3505.9999
1,632.8568,3.7528,3752.7999
1,633.0002,3.8962,3896.1999
1,633.0911,3.9871,3987.0999
1,633.1803,4.0763,4076.2999
1,633.1834,4.0794,4079.3999
1,633.5536,4.4496,4449.5999
1,633.7752,4.6712,4671.1999
1,634.0077,4.9037,4903.6999
1,634.0492,4.9452,4945.1999
1,634.3084,5.2044,5204.3999
1,634.3127,5.2087,5208.6999
1,634.9503,5.8463,5846.2999
1,634.9814,5.8774,5877.3999
1,635.1803,6.0763,6076.2999
1,635.2258,6.1218,6121.7999
1,635.3760,6.2720,6271.9999
1,635.3980,6.2940,6293.9999
1,635.4621,6.3581,6358.0999
1,635.4979,6.3939,6393.8999
1,635.5931,6.4891,6489.0999
1,635.6338,6.5298,6529.7999
1,635.8774,6.7734,6773.3999
1,635.9191,6.8151,6815.0999
1,635.9859,6.8819,6881.8999
1,636.0847,6.9807,6980.6999
1,636.3380,7.2340,7233.9999
1,636.5313,7.4273,7427.2999
1,636.7947,7.6907,7690.6999
1,636.9834,7.8794,7879.3999
1,637.0016,7.8976,7897.5999
1,637.0608,7.9568,7956.7999
1,637.2579,8.1539,8153.8999
1,637.9610,8.8570,8856.9999
1,638.3236,9.2196,9219.5999
1,638.3450,9.2410,9240.9999
1,638.5118,9.4078,9407.7999
1,638.7073,9.6033,9603.2999
1,638.7266,9.6226,9622.5999
1,638.8797,9.7757,9775.6999
1,638.8966,9.7926,9792.5999
1,639.0086,9.9046,9904.5999
1,639.6391,10.5351,10535.0999
1,639.8615,10.7575,10757.4999
1,640.1086,11.0046,11004.5999
1,640.3584,11.2544,11254.3999
1,640.4800,11.3760,11375.9999
1,640.5407,11.4367,11436.6999
1,640.7866,11.6826,11682.5999
1,640.9592,11.8552,11855.1999
1,641.4535,12.3495,12349.4999
1,641.4891,12.3851,12385.0999
1,641.6647,12.5607,12560.6999
1,641.7068,12.6028,12602.7999
1,641.7973,12.6933,12693.2999
1,641.8790,12.7750,12774.9999
1,641.9337,12.8297,12829.6999
1,642.3698,13.2658,13265.7999
1,643.0089,13.9049,13904.8999
1,643.1948,14.0908,14090.7999
1,643.4190,14.3150,14314.9999
1,643.4374,14.3334,14333.3999
1,643.4672,14.3632,14363.1999
1,644.0317,14.9277,14927.6999
1,644.1801,15.0761,15076.0999
1,644.8167,15.7127,15712.6999
1,644.9744,15.8704,15870.3999
1,645.4025,16.2985,16298.4999
1,645.4214,16.3174,16317.3999
1,645.4622,16.3582,16358.1999
1,645.5731,16.4691,16469.0999
1,645.9837,16.8797,16879.6999
1,647.5966,18.4926,18492.5999
1,647.6056,18.5016,18501.5999
1,647.6146,18.5106,18510.5999
1,647.6295,18.5255,18525.4999
1,647.7338,18.6298,18629.7999
1,647.7649,18.6609,18660.8999
1,647.9908,18.8868,18886.7999
1,648.1102,19.0062,19006.1999
1,648.3914,19.2874,19287.3999
1,648.4463,19.3423,19342.2999
1,648.4696,19.3656,19365.5999
1,648.7892,19.6852,19685.1999
1,648.8636,19.7596,19759.5999
1,649.0708,19.9668,19966.7999
