units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,644.0542,14.9502,14950.1999
2,652.0164,22.9124,22912.3999
2,658.2481,29.1441,29144.0999
2,662.8418,33.7378,33737.7999
2,689.5263,60.4223,60422.2999
2,729.0469,99.9429,99942.8999
2,729.6315,100.5275,100527.4999
2,772.5367,143.4327,143432.6999
2,819.7826,190.6786,190678.5999
2,883.2843,254.1803,254180.2999
2,979.3566,350.2526,350252.5999
2,1151.4883,522.3843,522384.2999
2,1160.8332,531.7292,531729.1999
2,1163.8040,534.7000,534699.9999
2,1165.4634,536.3594,536359.3999
2,1167.5531,538.4491,538449.0999
2,1187.2996,558.1956,558195.5999
2,1218.6600,589.5560,589555.9999
2,1317.6465,688.5425,688542.4999
2,1628.8521,999.7481,999748.0999
2,1744.1161,1115.0121,1115012.0999
2,1753.1836,1124.0796,1124079.5999
2,1817.7856,1188.6816,1188681.5999
2,1819.3228,1190.2188,1190218.7999
2,2016.9735,1387.8695,1387869.4999
2,2056.5750,1427.4710,1427470.9999
2,2060.5928,1431.4888,1431488.7999
2,2146.6390,1517.5350,1517534.9999
2,2155.1417,1526.0377,1526037.6999
2,2249.9163,1620.8123,1620812.2999
2,2271.0312,1641.9272,1641927.1999
2,2343.3947,1714.2907,1714290.6999
2,2353.6897,1724.5857,1724585.6999
2,2371.3664,1742.2624,1742262.3999
2,2424.4453,1795.3413,1795341.2999
2,2440.1776,1811.0736,1811073.5999
2,2498.6716,1869.5676,1869567.5999
2,2532.7345,1903.6305,1903630.4999
2,2550.0777,1920.9737,1920973.6999
2,2622.3022,1993.1982,1993198.1999
