units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,629.1055,0.0015,1.4999
1,629.1467,0.0427,42.6999
1,629.7972,0.6932,693.1999
1,630.1395,1.0355,1035.4999
1,630.7932,1.6892,1689.1999
1,631.2522,2.1482,2148.1999
1,631.3373,2.2333,2233.2999
1,632.4841,3.3801,3380.0999
1,633.3638,4.2598,4259.7999
1,633.8396,4.7356,4735.5999
1,634.3246,5.2206,5220.5999
1,634.7877,5.6837,5683.6999
1,636.2234,7.1194,7119.3999
1,636.6072,7.5032,7503.1999
1,638.1832,9.0792,9079.1999
1,640.2796,11.1756,11175.5999
1,641.5894,12.4854,12485.3999
1,641.8627,12.7587,12758.6999
1,643.2594,14.1554,14155.3999
1,643.5673,14.4633,14463.2999
1,643.9597,14.8557,14855.6999
1,644.9006,15.7966,15796.5999
1,647.7892,18.6852,18685.1999
1,647.8745,18.7705,18770.4999
1,648.0528,18.9488,18948.7999
1,648.1046,19.0006,19000.5999
1,648.8770,19.7730,19772.9999
1,651.6616,22.5576,22557.5999
1,656.8138,27.7098,27709.7999
1,658.8520,29.7480,29747.9999
1,659.8017,30.6977,30697.6999
1,660.4096,31.3056,31305.5999
1,661.1357,32.0317,32031.6999
1,663.4836,34.3796,34379.5999
1,664.2750,35.1710,35170.9999
1,664.6389,35.5349,35534.8999
1,664.8912,35.7872,35787.1999
1,664.8996,35.7956,35795.5999
1,665.1889,36.0849,36084.8999
1,665.2957,36.1917,36191.6999
1,665.6554,36.5514,36551.3999
1,665.8152,36.7112,36711.1999
1,665.8420,36.7380,36737.9999
1,666.6257,37.5217,37521.6999
1,667.3723,38.2683,38268.2999
1,667.7273,38.6233,38623.2999
1,669.0972,39.9932,39993.1999
1,669.4654,40.3614,40361.3999
1,669.6123,40.5083,40508.2999
1,669.8361,40.7321,40732.0999
1,670.2529,41.1489,41148.8999
1,670.2847,41.1807,41180.6999
1,670.5624,41.4584,41458.3999
1,670.7963,41.6923,41692.2999
1,671.1569,42.0529,42052.8999
1,671.3041,42.2001,42200.0999
1,671.4774,42.3734,42373.3999
1,671.9160,42.8120,42811.9999
1,672.1233,43.0193,43019.2999
1,672.4475,43.3435,43343.4999
1,673.3480,44.2440,44243.9999
1,673.9352,44.8312,44831.1999
1,674.5183,45.4143,45414.2999
1,675.3586,46.2546,46254.5999
1,677.1922,48.0882,48088.1999
1,677.9393,48.8353,48835.2999
1,678.7416,49.6376,49637.5999
1,679.4974,50.3934,50393.3999
1,680.6042,51.5002,51500.1999
1,680.8714,51.7674,51767.3999
1,683.3154,54.2114,54211.3999
1,685.2868,56.1828,56182.7999
1,685.8103,56.7063,56706.2999
1,688.1550,59.0510,59050.9999
1,688.2768,59.1728,59172.7999
1,688.7152,59.6112,59611.1999
1,690.5593,61.4553,61455.2999
1,690.6156,61.5116,61511.5999
1,690.9363,61.8323,61832.2999
1,691.2334,62.1294,62129.3999
1,691.4173,62.3133,62313.2999
1,692.0121,62.9081,62908.0999
1,692.9659,63.8619,63861.8999
1,693.0767,63.9727,63972.6999
1,693.2693,64.1653,64165.2999
1,693.3594,64.2554,64255.3999
1,693.5485,64.4445,64444.4999
1,693.5943,64.4903,64490.2999
1,693.6958,64.5918,64591.7999
1,693.7737,64.6697,64669.6999
1,693.8507,64.7467,64746.6999
1,694.0602,64.9562,64956.1999
1,694.0827,64.9787,64978.6999
1,694.7014,65.5974,65597.3999
1,695.0230,65.9190,65918.9999
1,696.2752,67.1712,67171.1999
1,696.5960,67.4920,67491.9999
1,697.3983,68.2943,68294.2999
1,697.4298,68.3258,68325.7999
1,697.5398,68.4358,68435.7999
1,697.6022,68.4982,68498.1999
1,703.3296,74.2256,74225.5999
1,703.6568,74.5528,74552.7999
1,704.1099,75.0059,75005.8999
1,704.8737,75.7697,75769.6999
1,705.3088,76.2048,76204.7999
1,705.6935,76.5895,76589.4999
1,707.2071,78.1031,78103.0999
1,707.4531,78.3491,78349.0999
1,707.8344,78.7304,78730.3999
1,708.9648,79.8608,79860.7999
1,709.2473,80.1433,80143.2999
1,709.9147,80.8107,80810.6999
1,711.1922,82.0882,82088.1999
1,711.6258,82.5218,82521.7999
1,712.0724,82.9684,82968.3999
1,712.2103,83.1063,83106.2999
1,712.2971,83.1931,83193.0999
1,712.6602,83.5562,83556.1999
1,712.9246,83.8206,83820.5999
1,713.1183,84.0143,84014.2999
1,713.2427,84.1387,84138.6999
1,713.5638,84.4598,84459.7999
