units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
3,630.4061,1.3021,1302.0999
3,630.4315,1.3275,1327.4999
3,631.0625,1.9585,1958.4999
3,631.2122,2.1082,2108.1999
3,631.2227,2.1187,2118.6999
3,631.2527,2.1487,2148.6999
3,632.2485,3.1445,3144.4999
3,632.4056,3.3016,3301.5999
3,632.5582,3.4542,3454.1999
3,632.7088,3.6048,3604.7999
3,633.3180,4.2140,4213.9999
3,633.4795,4.3755,4375.4999
3,634.1897,5.0857,5085.6999
3,634.3826,5.2786,5278.5999
3,634.4103,5.3063,5306.2999
3,634.4252,5.3212,5321.1999
3,634.4385,5.3345,5334.4999
3,634.4522,5.3482,5348.1999
3,634.5003,5.3963,5396.2999
3,634.6552,5.5512,5551.1999
3,634.7470,5.6430,5642.9999
3,634.9151,5.8111,5811.0999
3,635.5949,6.4909,6490.8999
3,635.9476,6.8436,6843.5999
3,635.9944,6.8904,6890.3999
3,636.1192,7.0152,7015.1999
3,636.1709,7.0669,7066.8999
3,636.2399,7.1359,7135.8999
3,636.3465,7.2425,7242.4999
3,636.6912,7.5872,7587.1999
3,636.6939,7.5899,7589.8999
3,637.0200,7.9160,7915.9999
3,637.4658,8.3618,8361.7999
3,637.6720,8.5680,8567.9999
3,637.8414,8.7374,8737.3999
3,638.4428,9.3388,9338.7999
3,638.5950,9.4910,9490.9999
3,638.6092,9.5052,9505.1999
3,638.6982,9.5942,9594.1999
3,638.7597,9.6557,9655.6999
3,638.8565,9.7525,9752.4999
3,638.9083,9.8043,9804.2999
3,638.9489,9.8449,9844.8999
3,638.9942,9.8902,9890.1999
3,639.0249,9.9209,9920.8999
3,639.0424,9.9384,9938.3999
3,639.2131,10.1091,10109.0999
3,639.2945,10.1905,10190.4999
3,639.3488,10.2448,10244.7999
3,639.5343,10.4303,10430.2999
3,639.6203,10.5163,10516.2999
3,639.6507,10.5467,10546.6999
3,639.8715,10.7675,10767.4999
3,639.9032,10.7992,10799.1999
3,640.0326,10.9286,10928.5999
3,640.2739,11.1699,11169.8999
3,640.3525,11.2485,11248.4999
3,640.5047,11.4007,11400.6999
3,640.5207,11.4167,11416.6999
3,640.7072,11.6032,11603.1999
3,640.7146,11.6106,11610.5999
3,640.9232,11.8192,11819.1999
3,641.1372,12.0332,12033.1999
3,641.1412,12.0372,12037.1999
3,641.5060,12.4020,12401.9999
3,641.6872,12.5832,12583.1999
3,641.7105,12.6065,12606.4999
3,641.7395,12.6355,12635.4999
3,641.7777,12.6737,12673.6999
3,642.8733,13.7693,13769.2999
3,643.1969,14.0929,14092.8999
3,643.3284,14.2244,14224.3999
3,643.3370,14.2330,14232.9999
3,643.4015,14.2975,14297.4999
3,643.5191,14.4151,14415.0999
3,643.5865,14.4825,14482.4999
3,643.7861,14.6821,14682.0999
3,644.0410,14.9370,14936.9999
3,644.1478,15.0438,15043.7999
3,646.1670,17.0630,17062.9999
3,646.1931,17.0891,17089.0999
3,646.3615,17.2575,17257.4999
3,646.7324,17.6284,17628.3999
3,646.9741,17.8701,17870.0999
3,647.0653,17.9613,17961.2999
3,647.1963,18.0923,18092.2999
3,647.3340,18.2300,18229.9999
3,647.4287,18.3247,18324.6999
3,647.4466,18.3426,18342.5999
3,647.4605,18.3565,18356.4999
3,647.4631,18.3591,18359.0999
3,647.4750,18.3710,18370.9999
3,647.4889,18.3849,18384.8999
3,647.4961,18.3921,18392.0999
3,647.5165,18.4125,18412.4999
3,647.5257,18.4217,18421.6999
3,647.8012,18.6972,18697.1999
3,647.9295,18.8255,18825.4999
3,648.0621,18.9581,18958.0999
3,648.7574,19.6534,19653.3999
3,649.1148,20.0108,20010.7999
3,649.1899,20.0859,20085.8999
3,649.2103,20.1063,20106.2999
3,650.9258,21.8218,21821.7999
3,651.4003,22.2963,22296.2999
3,651.4856,22.3816,22381.5999
3,651.4941,22.3901,22390.0999
3,651.5211,22.4171,22417.0999
3,651.8352,22.7312,22731.1999
3,652.4620,23.3580,23357.9999
3,652.4738,23.3698,23369.7999
3,652.5601,23.4561,23456.0999
3,652.6634,23.5594,23559.3999
3,652.7682,23.6642,23664.1999
3,652.8380,23.7340,23733.9999
3,653.0044,23.9004,23900.3999
3,653.1330,24.0290,24028.9999
3,653.1372,24.0332,24033.1999
3,653.7618,24.6578,24657.7999
3,653.9425,24.8385,24838.4999
3,654.0092,24.9052,24905.1999
3,654.4918,25.3878,25387.7999
3,654.7675,25.6635,25663.4999
3,655.3636,26.2596,26259.5999
3,655.3923,26.2883,26288.2999
3,655.7740,26.6700,26669.9999
3,655.7899,26.6859,26685.8999
3,657.2189,28.1149,28114.8999
3,657.6775,28.5735,28573.4999
3,657.6970,28.5930,28592.9999
3,657.9343,28.8303,28830.2999
3,658.0512,28.9472,28947.1999
3,658.8201,29.7161,29716.0999
3,659.2406,30.1366,30136.5999
3,659.9148,30.8108,30810.7999
3,661.2030,32.0990,32098.9999
3,661.2082,32.1042,32104.1999
3,661.2251,32.1211,32121.0999
3,661.2671,32.1631,32163.0999
3,661.5877,32.4837,32483.6999
3,663.3914,34.2874,34287.3999
3,663.4440,34.3400,34339.9999
3,663.7837,34.6797,34679.6999
3,663.9457,34.8417,34841.6999
3,664.1283,35.0243,35024.2999
3,664.8826,35.7786,35778.5999
3,664.9131,35.8091,35809.0999
3,665.1786,36.0746,36074.5999
3,665.2289,36.1249,36124.8999
3,665.6073,36.5033,36503.2999
3,665.6956,36.5916,36591.5999
3,665.9374,36.8334,36833.3999
3,665.9736,36.8696,36869.5999
3,666.0363,36.9323,36932.2999
3,666.5037,37.3997,37399.6999
3,666.7743,37.6703,37670.2999
3,668.3195,39.2155,39215.4999
3,668.5045,39.4005,39400.4999
3,668.7370,39.6330,39632.9999
3,668.7568,39.6528,39652.7999
3,668.8145,39.7105,39710.4999
3,668.9626,39.8586,39858.5999
3,669.3706,40.2666,40266.5999
3,669.6509,40.5469,40546.8999
3,669.7092,40.6052,40605.1999
3,669.8119,40.7079,40707.8999
