bin_10s,spike_count,firing_rate_hz
0,1,0.1
1,0,0.0
2,1,0.1
3,0,0.0
4,0,0.0
5,1,0.1
6,1,0.1
7,0,0.0
8,0,0.0
9,1,0.1
10,0,0.0
11,1,0.1
12,0,0.0
13,0,0.0
14,0,0.0
15,2,0.2
16,1,0.1
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.0
23,0,0.0
24,0,0.0
25,1,0.1
26,1,0.1
27,1,0.1
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,2,0.2
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,2,0.2
41,1,0.1
42,1,0.1
43,0,0.0
44,2,0.2
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,1,0.1
52,0,0.0
53,0,0.0
54,0,0.0
55,0,0.0
56,0,0.0
57,0,0.0
58,1,0.1
59,0,0.0
60,2,0.2
61,0,0.0
62,0,0.0
63,0,0.0
64,1,0.1
65,0,0.0
66,1,0.1
67,1,0.1
68,1,0.1
69,2,0.2
70,0,0.0
71,0,0.0
72,2,0.2
73,1,0.1
74,0,0.0
75,0,0.0
76,0,0.0
77,1,0.1
78,0,0.0
79,0,0.0
80,1,0.1
81,2,0.2
82,0,0.0
83,1,0.1
84,0,0.0
85,1,0.1
86,0,0.0
87,0,0.0
88,1,0.1
89,0,0.0
90,0,0.0
91,0,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,0,0.0
98,0,0.0
99,1,0.1
100,0,0.0
101,1,0.1
102,0,0.0
103,2,0.2
104,0,0.0
105,2,0.2
106,0,0.0
107,0,0.0
108,0,0.0
109,0,0.0
110,0,0.0
111,0,0.0
112,1,0.1
113,0,0.0
114,1,0.1
115,0,0.0
116,0,0.0
117,0,0.0
118,3,0.3
119,1,0.1
120,0,0.0
121,0,0.0
122,1,0.1
123,0,0.0
124,0,0.0
125,0,0.0
126,0,0.0
127,1,0.1
128,0,0.0
129,0,0.0
130,0,0.0
131,0,0.0
132,2,0.2
133,0,0.0
134,1,0.1
135,2,0.2
136,0,0.0
137,0,0.0
138,1,0.1
139,3,0.3
140,2,0.2
141,1,0.1
142,0,0.0
143,0,0.0
144,0,0.0
145,0,0.0
146,0,0.0
147,0,0.0
148,1,0.1
149,0,0.0
150,0,0.0
151,0,0.0
152,0,0.0
153,0,0.0
154,0,0.0
155,0,0.0
156,0,0.0
157,0,0.0
158,0,0.0
159,0,0.0
160,0,0.0
161,0,0.0
162,0,0.0
163,0,0.0
164,0,0.0
165,1,0.1
166,0,0.0
167,0,0.0
168,0,0.0
169,1,0.1
170,2,0.2
171,1,0.1
172,0,0.0
173,1,0.1
174,0,0.0
175,0,0.0
176,0,0.0
177,0,0.0
178,0,0.0
179,0,0.0
180,1,0.1
181,0,0.0
182,0,0.0
183,0,0.0
184,0,0.0
185,1,0.1
186,2,0.2
187,0,0.0
188,0,0.0
189,0,0.0
190,0,0.0
191,0,0.0
192,0,0.0
193,1,0.1
194,0,0.0
195,0,0.0
196,0,0.0
197,0,0.0
198,0,0.0
199,0,0.0
200,0,0.0
201,1,0.1
202,0,0.0
203,1,0.1
