bin_10s,spike_count,firing_rate_hz
0,68,6.8
1,45,4.5
2,36,3.6
3,41,4.1
4,56,5.6
5,54,5.4
6,55,5.5
7,57,5.7
8,31,3.1
9,54,5.4
10,54,5.4
11,42,4.2
12,59,5.9
13,37,3.7
14,39,3.9
15,46,4.6
16,41,4.1
17,53,5.3
18,26,2.6
19,42,4.2
20,47,4.7
21,46,4.6
22,75,7.5
23,31,3.1
24,39,3.9
25,55,5.5
26,46,4.6
27,46,4.6
28,38,3.8
29,50,5.0
30,73,7.3
31,40,4.0
32,25,2.5
33,35,3.5
34,60,6.0
35,67,6.7
36,61,6.1
37,59,5.9
38,49,4.9
39,64,6.4
40,40,4.0
41,61,6.1
42,50,5.0
43,49,4.9
44,62,6.2
45,57,5.7
46,61,6.1
47,57,5.7
48,34,3.4
49,66,6.6
50,48,4.8
51,60,6.0
52,74,7.4
53,67,6.7
54,67,6.7
55,52,5.2
56,53,5.3
57,42,4.2
58,44,4.4
59,50,5.0
60,51,5.1
61,55,5.5
62,29,2.9
63,42,4.2
64,56,5.6
65,67,6.7
66,52,5.2
67,39,3.9
68,48,4.8
69,68,6.8
70,80,8.0
71,75,7.5
72,65,6.5
73,44,4.4
74,44,4.4
75,56,5.6
76,66,6.6
77,42,4.2
78,58,5.8
79,57,5.7
80,39,3.9
81,63,6.3
82,47,4.7
83,45,4.5
84,44,4.4
85,46,4.6
86,38,3.8
87,53,5.3
88,57,5.7
89,44,4.4
90,31,3.1
91,91,9.1
92,58,5.8
93,35,3.5
94,40,4.0
95,66,6.6
96,71,7.1
97,45,4.5
98,37,3.7
99,52,5.2
100,44,4.4
101,47,4.7
102,50,5.0
103,28,2.8
104,47,4.7
105,55,5.5
106,42,4.2
107,42,4.2
108,44,4.4
109,46,4.6
110,43,4.3
111,59,5.9
112,50,5.0
113,37,3.7
114,63,6.3
115,68,6.8
116,68,6.8
117,69,6.9
118,45,4.5
119,65,6.5
120,47,4.7
121,48,4.8
122,53,5.3
123,67,6.7
124,67,6.7
125,60,6.0
126,26,2.6
127,50,5.0
128,67,6.7
129,48,4.8
130,46,4.6
131,42,4.2
132,55,5.5
133,54,5.4
134,60,6.0
135,58,5.8
136,51,5.1
137,45,4.5
138,58,5.8
139,57,5.7
140,62,6.2
141,44,4.4
142,59,5.9
143,69,6.9
144,35,3.5
145,25,2.5
146,20,2.0
147,64,6.4
148,53,5.3
149,39,3.9
150,38,3.8
151,62,6.2
152,48,4.8
153,46,4.6
154,47,4.7
155,30,3.0
156,46,4.6
157,54,5.4
158,59,5.9
159,68,6.8
160,54,5.4
161,41,4.1
162,44,4.4
163,28,2.8
164,45,4.5
165,37,3.7
166,50,5.0
167,60,6.0
168,43,4.3
169,45,4.5
170,41,4.1
171,60,6.0
172,53,5.3
173,57,5.7
174,39,3.9
175,91,9.1
176,42,4.2
177,52,5.2
178,39,3.9
179,59,5.9
180,50,5.0
181,73,7.3
182,43,4.3
183,32,3.2
184,45,4.5
185,30,3.0
186,36,3.6
187,39,3.9
188,60,6.0
189,73,7.3
190,41,4.1
191,76,7.6
192,54,5.4
193,46,4.6
194,58,5.8
195,54,5.4
196,56,5.6
197,55,5.5
198,55,5.5
199,55,5.5
200,68,6.8
201,51,5.1
202,48,4.8
203,48,4.8
204,45,4.5
205,29,2.9
206,64,6.4
207,53,5.3
208,60,6.0
209,21,2.1
