bin_10s,spike_count,firing_rate_hz
0,7,0.7
1,3,0.3
2,0,0.0
3,9,0.9
4,4,0.4
5,6,0.6
6,5,0.5
7,0,0.0
8,1,0.1
9,4,0.4
10,6,0.6
11,5,0.5
12,13,1.3
13,11,1.1
14,4,0.4
15,6,0.6
16,0,0.0
17,1,0.1
18,0,0.0
19,4,0.4
20,4,0.4
21,3,0.3
22,5,0.5
23,3,0.3
24,11,1.1
25,7,0.7
26,2,0.2
27,1,0.1
28,15,1.5
29,12,1.2
30,14,1.4
31,8,0.8
32,20,2.0
33,19,1.9
34,24,2.4
35,10,1.0
36,7,0.7
37,3,0.3
38,12,1.2
39,11,1.1
40,6,0.6
41,4,0.4
42,12,1.2
43,8,0.8
44,4,0.4
45,10,1.0
46,8,0.8
47,12,1.2
48,10,1.0
49,23,2.3
50,5,0.5
51,3,0.3
52,3,0.3
53,4,0.4
54,18,1.8
55,16,1.6
56,5,0.5
57,6,0.6
58,2,0.2
59,9,0.9
60,10,1.0
61,9,0.9
62,3,0.3
63,3,0.3
64,4,0.4
65,4,0.4
66,2,0.2
67,1,0.1
68,2,0.2
69,10,1.0
70,6,0.6
71,7,0.7
72,4,0.4
73,0,0.0
74,19,1.9
75,3,0.3
76,6,0.6
77,9,0.9
78,13,1.3
79,7,0.7
80,4,0.4
81,9,0.9
82,5,0.5
83,11,1.1
84,4,0.4
85,16,1.6
86,18,1.8
87,17,1.7
88,9,0.9
89,13,1.3
90,9,0.9
91,2,0.2
92,12,1.2
93,11,1.1
94,10,1.0
95,2,0.2
96,1,0.1
97,1,0.1
98,1,0.1
99,8,0.8
100,5,0.5
101,0,0.0
102,14,1.4
103,12,1.2
104,12,1.2
105,25,2.5
106,5,0.5
107,8,0.8
108,5,0.5
109,14,1.4
110,16,1.6
111,7,0.7
112,7,0.7
113,0,0.0
114,7,0.7
115,9,0.9
116,7,0.7
117,5,0.5
118,7,0.7
119,9,0.9
120,4,0.4
121,9,0.9
122,16,1.6
123,7,0.7
124,4,0.4
125,9,0.9
126,22,2.2
127,21,2.1
128,5,0.5
129,8,0.8
130,8,0.8
131,7,0.7
132,20,2.0
133,13,1.3
134,3,0.3
135,5,0.5
136,10,1.0
137,12,1.2
138,18,1.8
139,10,1.0
140,1,0.1
141,0,0.0
142,7,0.7
143,12,1.2
144,3,0.3
145,1,0.1
146,6,0.6
147,8,0.8
148,8,0.8
149,9,0.9
150,3,0.3
151,1,0.1
152,7,0.7
153,10,1.0
154,3,0.3
155,4,0.4
156,3,0.3
157,3,0.3
158,9,0.9
159,1,0.1
160,5,0.5
161,12,1.2
162,12,1.2
163,11,1.1
164,17,1.7
165,8,0.8
166,10,1.0
167,1,0.1
168,14,1.4
169,11,1.1
170,7,0.7
171,12,1.2
172,14,1.4
173,4,0.4
174,14,1.4
175,12,1.2
176,4,0.4
177,3,0.3
178,6,0.6
179,10,1.0
180,10,1.0
181,3,0.3
182,0,0.0
183,1,0.1
184,7,0.7
185,7,0.7
186,12,1.2
187,4,0.4
188,17,1.7
189,8,0.8
190,3,0.3
191,0,0.0
192,1,0.1
193,0,0.0
194,6,0.6
195,5,0.5
196,18,1.8
197,14,1.4
198,9,0.9
199,9,0.9
200,4,0.4
201,9,0.9
202,21,2.1
203,10,1.0
204,27,2.7
205,8,0.8
206,4,0.4
207,6,0.6
208,4,0.4
