bin_10s,spike_count,firing_rate_hz
0,39,3.9
1,20,2.0
2,21,2.1
3,17,1.7
4,30,3.0
5,47,4.7
6,37,3.7
7,29,2.9
8,29,2.9
9,28,2.8
10,26,2.6
11,14,1.4
12,38,3.8
13,24,2.4
14,25,2.5
15,1,0.1
16,10,1.0
17,10,1.0
18,11,1.1
19,5,0.5
20,17,1.7
21,15,1.5
22,23,2.3
23,21,2.1
24,31,3.1
25,21,2.1
26,11,1.1
27,15,1.5
28,5,0.5
29,16,1.6
30,54,5.4
31,12,1.2
32,9,0.9
33,5,0.5
34,9,0.9
35,12,1.2
36,23,2.3
37,41,4.1
38,31,3.1
39,22,2.2
40,22,2.2
41,26,2.6
42,27,2.7
43,5,0.5
44,15,1.5
45,20,2.0
46,12,1.2
47,57,5.7
48,22,2.2
49,23,2.3
50,6,0.6
51,32,3.2
52,13,1.3
53,26,2.6
54,19,1.9
55,21,2.1
56,32,3.2
57,13,1.3
58,10,1.0
59,36,3.6
60,15,1.5
61,7,0.7
62,17,1.7
63,7,0.7
64,12,1.2
65,12,1.2
66,7,0.7
67,6,0.6
68,9,0.9
69,31,3.1
70,7,0.7
71,28,2.8
72,51,5.1
73,7,0.7
74,5,0.5
75,13,1.3
76,23,2.3
77,26,2.6
78,85,8.5
79,30,3.0
80,44,4.4
81,15,1.5
82,29,2.9
83,30,3.0
84,16,1.6
85,21,2.1
86,33,3.3
87,17,1.7
88,14,1.4
89,20,2.0
90,33,3.3
91,18,1.8
92,19,1.9
93,5,0.5
94,8,0.8
95,25,2.5
96,7,0.7
97,6,0.6
98,12,1.2
99,17,1.7
100,23,2.3
101,15,1.5
102,7,0.7
103,8,0.8
104,50,5.0
105,17,1.7
106,18,1.8
107,15,1.5
108,24,2.4
109,19,1.9
110,54,5.4
111,28,2.8
112,33,3.3
113,19,1.9
114,46,4.6
115,25,2.5
116,14,1.4
117,4,0.4
118,15,1.5
119,20,2.0
120,14,1.4
121,29,2.9
122,28,2.8
123,27,2.7
124,23,2.3
125,20,2.0
126,15,1.5
127,20,2.0
128,14,1.4
129,24,2.4
130,42,4.2
131,8,0.8
132,25,2.5
133,22,2.2
134,20,2.0
135,24,2.4
136,68,6.8
137,14,1.4
138,27,2.7
139,21,2.1
140,17,1.7
141,19,1.9
142,20,2.0
143,42,4.2
144,22,2.2
145,16,1.6
146,21,2.1
147,22,2.2
148,16,1.6
149,15,1.5
150,32,3.2
151,40,4.0
152,16,1.6
153,32,3.2
154,57,5.7
155,18,1.8
156,20,2.0
157,8,0.8
158,18,1.8
159,5,0.5
160,19,1.9
161,23,2.3
162,17,1.7
163,7,0.7
164,18,1.8
165,24,2.4
166,13,1.3
167,9,0.9
168,14,1.4
169,12,1.2
170,21,2.1
171,31,3.1
172,28,2.8
173,36,3.6
174,13,1.3
175,33,3.3
176,38,3.8
177,39,3.9
178,31,3.1
179,16,1.6
180,33,3.3
181,6,0.6
182,19,1.9
183,11,1.1
184,32,3.2
185,28,2.8
186,45,4.5
187,42,4.2
188,24,2.4
189,25,2.5
190,26,2.6
191,29,2.9
192,21,2.1
193,28,2.8
194,41,4.1
195,29,2.9
196,19,1.9
197,37,3.7
198,67,6.7
199,15,1.5
200,34,3.4
201,12,1.2
202,18,1.8
203,23,2.3
204,11,1.1
205,10,1.0
206,15,1.5
207,12,1.2
208,20,2.0
209,2,0.2
