units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,629.7428,0.6388,638.7999
1,633.0055,3.9015,3901.4999
1,637.7379,8.6339,8633.8999
1,645.0870,15.9830,15982.9999
1,646.6272,17.5232,17523.1999
1,648.1332,19.0292,19029.1999
1,648.4009,19.2969,19296.8999
1,650.5956,21.4916,21491.5999
1,650.8305,21.7265,21726.4999
1,651.0315,21.9275,21927.4999
1,651.3530,22.2490,22248.9999
1,652.1496,23.0456,23045.5999
1,654.5414,25.4374,25437.3999
1,657.0511,27.9471,27947.0999
1,661.3646,32.2606,32260.5999
1,667.3512,38.2472,38247.1999
1,669.7684,40.6644,40664.3999
1,672.0731,42.9691,42969.0999
1,673.3687,44.2647,44264.6999
1,673.4301,44.3261,44326.0999
1,700.7860,71.6820,71681.9999
1,700.9459,71.8419,71841.8999
1,709.4787,80.3747,80374.6999
1,709.7364,80.6324,80632.3999
1,724.1352,95.0312,95031.1999
1,725.2094,96.1054,96105.3999
1,725.6821,96.5781,96578.0999
1,726.2162,97.1122,97112.1999
1,726.3361,97.2321,97232.0999
1,728.7724,99.6684,99668.3999
1,754.3252,125.2212,125221.1999
1,757.5778,128.4738,128473.7999
1,764.9251,135.8211,135821.0999
1,786.2913,157.1873,157187.2999
1,786.4007,157.2967,157296.6999
1,789.6632,160.5592,160559.1999
1,794.6493,165.5453,165545.2999
1,799.6713,170.5673,170567.2999
1,816.2691,187.1651,187165.0999
1,816.9546,187.8506,187850.5999
1,816.9876,187.8836,187883.5999
1,820.8135,191.7095,191709.4999
1,822.6833,193.5793,193579.2999
1,824.5908,195.4868,195486.7999
1,828.1387,199.0347,199034.6999
1,831.5592,202.4552,202455.1999
1,831.9059,202.8019,202801.8999
1,834.4377,205.3337,205333.6999
1,838.4815,209.3775,209377.4999
1,838.5450,209.4410,209440.9999
1,840.9752,211.8712,211871.1999
1,843.5678,214.4638,214463.7999
1,847.6818,218.5778,218577.7999
1,850.1449,221.0409,221040.8999
1,861.8332,232.7292,232729.1999
1,873.5891,244.4851,244485.0999
1,877.5117,248.4077,248407.6999
1,880.2706,251.1666,251166.5999
1,880.4619,251.3579,251357.8999
1,900.9930,271.8890,271888.9999
1,901.7642,272.6602,272660.1999
1,905.6257,276.5217,276521.6999
1,911.0153,281.9113,281911.2999
1,911.7360,282.6320,282631.9999
1,912.0150,282.9110,282910.9999
1,912.3177,283.2137,283213.6999
1,912.7250,283.6210,283620.9999
1,913.3419,284.2379,284237.8999
1,914.1528,285.0488,285048.7999
1,917.8268,288.7228,288722.7999
1,922.7924,293.6884,293688.3999
1,932.8645,303.7605,303760.4999
1,935.6500,306.5460,306545.9999
1,936.5515,307.4475,307447.4999
1,936.7737,307.6697,307669.6999
1,937.2917,308.1877,308187.6999
1,937.8004,308.6964,308696.3999
1,945.8005,316.6965,316696.4999
1,951.9031,322.7991,322799.0999
1,952.1639,323.0599,323059.8999
1,952.9626,323.8586,323858.5999
1,952.9778,323.8738,323873.7999
1,953.0105,323.9065,323906.4999
1,957.9210,328.8170,328816.9999
1,965.5878,336.4838,336483.7999
1,966.8186,337.7146,337714.5999
1,970.3645,341.2605,341260.4999
1,982.2598,353.1558,353155.7999
1,992.0297,362.9257,362925.6999
1,1002.2645,373.1605,373160.4999
1,1004.6242,375.5202,375520.1999
1,1013.7588,384.6548,384654.7999
1,1015.6437,386.5397,386539.6999
1,1049.5593,420.4553,420455.2999
1,1053.9167,424.8127,424812.6999
1,1058.4524,429.3484,429348.3999
1,1072.1528,443.0488,443048.7999
1,1073.2036,444.0996,444099.5999
1,1085.3051,456.2011,456201.0999
1,1089.1696,460.0656,460065.5999
