units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,629.1151,0.0111,11.0999
1,629.1373,0.0333,33.2999
1,629.6546,0.5506,550.5999
1,629.7080,0.6040,603.9999
1,629.9363,0.8323,832.2999
1,629.9545,0.8505,850.4999
1,629.9960,0.8920,891.9999
1,630.1090,1.0050,1004.9999
1,630.7741,1.6701,1670.0999
1,631.1686,2.0646,2064.5999
1,631.8295,2.7255,2725.4999
1,631.8498,2.7458,2745.7999
1,631.9058,2.8018,2801.7999
1,631.9286,2.8246,2824.5999
1,631.9462,2.8422,2842.1999
1,632.2692,3.1652,3165.1999
1,632.5268,3.4228,3422.7999
1,632.8370,3.7330,3732.9999
1,632.8628,3.7588,3758.7999
1,632.9004,3.7964,3796.3999
1,633.0848,3.9808,3980.7999
1,633.2068,4.1028,4102.7999
1,633.4592,4.3552,4355.1999
1,633.9632,4.8592,4859.1999
1,634.0321,4.9281,4928.0999
1,634.2601,5.1561,5156.0999
1,634.2976,5.1936,5193.5999
1,634.7660,5.6620,5661.9999
1,634.7806,5.6766,5676.5999
1,634.8153,5.7113,5711.2999
1,634.8573,5.7533,5753.2999
1,635.2002,6.0962,6096.1999
1,635.2347,6.1307,6130.6999
1,635.2823,6.1783,6178.2999
1,635.3408,6.2368,6236.7999
1,635.3758,6.2718,6271.7999
1,635.4037,6.2997,6299.6999
1,635.4499,6.3459,6345.8999
1,635.6365,6.5325,6532.4999
1,635.6492,6.5452,6545.1999
1,635.6708,6.5668,6566.7999
1,635.7101,6.6061,6606.0999
1,636.0569,6.9529,6952.8999
1,636.0773,6.9733,6973.2999
1,636.1260,7.0220,7021.9999
1,636.1448,7.0408,7040.7999
1,636.2083,7.1043,7104.2999
1,636.3073,7.2033,7203.2999
1,636.3602,7.2562,7256.1999
1,636.5362,7.4322,7432.1999
1,636.5588,7.4548,7454.7999
1,636.5975,7.4935,7493.4999
1,636.9698,7.8658,7865.7999
1,637.0002,7.8962,7896.1999
1,637.0179,7.9139,7913.8999
1,637.0434,7.9394,7939.3999
1,637.0628,7.9588,7958.7999
1,637.0703,7.9663,7966.2999
1,637.1399,8.0359,8035.8999
1,637.2568,8.1528,8152.7999
1,637.3132,8.2092,8209.1999
1,637.4379,8.3339,8333.8999
1,637.4706,8.3666,8366.5999
1,638.3309,9.2269,9226.8999
1,638.5241,9.4201,9420.0999
1,638.7208,9.6168,9616.7999
1,638.7743,9.6703,9670.2999
1,638.9923,9.8883,9888.2999
1,639.3901,10.2861,10286.0999
1,639.4150,10.3110,10310.9999
1,639.7031,10.5991,10599.0999
1,639.8080,10.7040,10703.9999
1,639.8816,10.7776,10777.5999
1,640.2685,11.1645,11164.4999
1,640.3142,11.2102,11210.1999
1,640.3270,11.2230,11222.9999
1,640.3455,11.2415,11241.4999
1,640.3567,11.2527,11252.6999
1,640.5574,11.4534,11453.3999
1,640.7985,11.6945,11694.4999
1,640.8310,11.7270,11726.9999
1,640.9848,11.8808,11880.7999
1,640.9971,11.8931,11893.0999
1,641.0152,11.9112,11911.1999
1,641.0232,11.9192,11919.1999
1,641.0428,11.9388,11938.7999
1,641.2866,12.1826,12182.5999
1,641.4531,12.3491,12349.0999
1,641.6768,12.5728,12572.7999
1,642.4007,13.2967,13296.6999
1,642.4400,13.3360,13335.9999
1,642.9870,13.8830,13882.9999
1,643.0282,13.9242,13924.1999
1,643.4369,14.3329,14332.8999
1,644.0924,14.9884,14988.3999
1,644.9859,15.8819,15881.8999
1,645.0437,15.9397,15939.6999
1,645.0928,15.9888,15988.7999
1,645.1724,16.0684,16068.3999
1,645.3226,16.2186,16218.5999
1,645.3767,16.2727,16272.6999
1,645.4198,16.3158,16315.7999
1,645.4467,16.3427,16342.6999
1,645.8221,16.7181,16718.0999
1,645.8506,16.7466,16746.5999
1,646.2486,17.1446,17144.5999
1,646.3740,17.2700,17269.9999
1,647.7384,18.6344,18634.3999
1,648.4101,19.3061,19306.0999
1,648.4234,19.3194,19319.3999
1,648.4299,19.3259,19325.8999
1,648.4420,19.3380,19337.9999
1,648.4537,19.3497,19349.6999
1,649.5176,20.4136,20413.5999
1,649.7642,20.6602,20660.1999
1,650.9883,21.8843,21884.2999
1,651.2163,22.1123,22112.2999
1,651.2621,22.1581,22158.0999
1,651.4086,22.3046,22304.5999
1,651.4619,22.3579,22357.8999
1,651.4969,22.3929,22392.8999
1,651.5871,22.4831,22483.0999
1,651.8345,22.7305,22730.4999
1,651.8534,22.7494,22749.3999
1,651.8902,22.7862,22786.1999
1,652.0571,22.9531,22953.0999
1,652.0919,22.9879,22987.8999
1,652.1342,23.0302,23030.1999
1,653.2896,24.1856,24185.5999
1,653.3202,24.2162,24216.1999
1,653.3584,24.2544,24254.3999
1,654.5520,25.4480,25447.9999
1,654.5913,25.4873,25487.2999
1,654.6354,25.5314,25531.3999
1,654.8183,25.7143,25714.2999
1,655.0245,25.9205,25920.4999
1,656.5682,27.4642,27464.1999
1,656.6120,27.5080,27507.9999
1,656.8065,27.7025,27702.4999
1,656.8270,27.7230,27722.9999
1,656.8354,27.7314,27731.3999
1,657.0567,27.9527,27952.6999
1,657.5040,28.4000,28399.9999
1,658.2728,29.1688,29168.7999
1,658.2830,29.1790,29178.9999
1,658.2944,29.1904,29190.3999
1,658.8943,29.7903,29790.2999
1,658.9160,29.8120,29811.9999
1,658.9347,29.8307,29830.6999
1,659.2690,30.1650,30164.9999
1,660.0881,30.9841,30984.0999
1,660.2569,31.1529,31152.8999
1,660.3440,31.2400,31239.9999
1,660.3671,31.2631,31263.0999
1,660.3830,31.2790,31278.9999
1,660.3946,31.2906,31290.5999
1,660.5896,31.4856,31485.5999
1,661.7857,32.6817,32681.6999
1,662.4156,33.3116,33311.5999
1,663.1749,34.0709,34070.8999
1,663.5239,34.4199,34419.8999
1,663.5481,34.4441,34444.0999
1,663.5889,34.4849,34484.8999
1,663.7071,34.6031,34603.0999
1,663.7241,34.6201,34620.0999
1,663.7387,34.6347,34634.6999
1,663.9450,34.8410,34840.9999
1,663.9979,34.8939,34893.8999
1,664.1238,35.0198,35019.7999
1,664.1832,35.0792,35079.1999
1,664.4040,35.3000,35299.9999
1,664.4340,35.3300,35329.9999
1,664.4791,35.3751,35375.0999
1,664.5162,35.4122,35412.1999
1,665.8723,36.7683,36768.2999
1,666.1667,37.0627,37062.6999
1,666.1885,37.0845,37084.4999
1,666.9574,37.8534,37853.3999
1,667.1727,38.0687,38068.6999
1,667.1944,38.0904,38090.3999
1,667.2155,38.1115,38111.4999
1,667.4192,38.3152,38315.1999
1,667.7424,38.6384,38638.3999
1,667.9844,38.8804,38880.3999
1,668.6604,39.5564,39556.3999
1,668.6812,39.5772,39577.1999
1,668.8352,39.7312,39731.1999
1,668.8479,39.7439,39743.8999
1,668.8600,39.7560,39755.9999
1,668.8706,39.7666,39766.5999
1,669.5006,40.3966,40396.5999
1,669.5100,40.4060,40405.9999
1,670.3830,41.2790,41278.9999
1,670.4147,41.3107,41310.6999
1,670.9546,41.8506,41850.5999
1,670.9879,41.8839,41883.8999
1,671.5139,42.4099,42409.8999
1,671.5287,42.4247,42424.6999
1,671.7124,42.6084,42608.3999
1,671.9159,42.8119,42811.8999
1,672.1791,43.0751,43075.0999
1,672.3356,43.2316,43231.5999
1,672.5399,43.4359,43435.8999
1,672.7083,43.6043,43604.2999
1,672.7692,43.6652,43665.1999
1,673.2090,44.1050,44104.9999
1,673.5740,44.4700,44469.9999
1,673.5994,44.4954,44495.3999
1,673.6486,44.5446,44544.5999
1,673.6699,44.5659,44565.8999
1,673.6864,44.5824,44582.3999
1,674.0246,44.9206,44920.5999
1,674.0998,44.9958,44995.7999
