units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,1415.1050,786.0010,786000.9999
1,1431.3889,802.2849,802284.8999
1,1443.6539,814.5499,814549.8999
1,1540.8112,911.7072,911707.1999
1,1734.3800,1105.2760,1105275.9999
1,1849.3955,1220.2915,1220291.4999
1,2021.8207,1392.7167,1392716.6999
1,2055.9765,1426.8725,1426872.4999
1,2150.0361,1520.9321,1520932.0999
1,2452.0076,1822.9036,1822903.5999
1,2585.7604,1956.6564,1956656.3999
1,2597.6911,1968.5871,1968587.0999
1,2656.2159,2027.1119,2027111.8999
