units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,698.0193,68.9153,68915.2999
2,872.7768,243.6728,243672.7999
2,872.8020,243.6980,243697.9999
2,872.8086,243.7046,243704.5999
2,933.1086,304.0046,304004.5999
2,961.6551,332.5511,332551.0999
2,969.7145,340.6105,340610.4999
2,1014.2998,385.1958,385195.7999
2,1014.3028,385.1988,385198.7999
2,1014.3669,385.2629,385262.8999
2,1044.4689,415.3649,415364.8999
2,1083.4816,454.3776,454377.5999
2,1083.5057,454.4017,454401.6999
2,1083.5128,454.4088,454408.7999
2,1083.5183,454.4143,454414.2999
2,1083.5289,454.4249,454424.8999
2,1084.5318,455.4278,455427.7999
2,1133.4917,504.3877,504387.6999
2,1154.3229,525.2189,525218.8999
2,1163.0569,533.9529,533952.8999
2,1189.0683,559.9643,559964.2999
2,1297.6675,668.5635,668563.4999
2,1314.8291,685.7251,685725.0999
2,1347.9739,718.8699,718869.8999
2,1347.9760,718.8720,718871.9999
2,1348.1641,719.0601,719060.0999
2,1348.6933,719.5893,719589.2999
2,1348.7118,719.6078,719607.7999
2,1348.7181,719.6141,719614.0999
2,1351.1973,722.0933,722093.2999
2,1351.1996,722.0956,722095.5999
2,1352.9301,723.8261,723826.0999
2,1414.9024,785.7984,785798.3999
2,1618.0572,988.9532,988953.1999
2,1771.8692,1142.7652,1142765.1999
2,1773.4210,1144.3170,1144316.9999
2,1773.4494,1144.3454,1144345.3999
2,1773.4730,1144.3690,1144368.9999
2,1788.2450,1159.1410,1159140.9999
2,1788.2666,1159.1626,1159162.5999
2,1788.3191,1159.2151,1159215.0999
2,1788.3223,1159.2183,1159218.2999
2,1984.7810,1355.6770,1355676.9999
2,2009.1760,1380.0720,1380071.9999
2,2057.4171,1428.3131,1428313.0999
2,2057.4505,1428.3465,1428346.4999
2,2057.4711,1428.3671,1428367.0999
2,2058.6066,1429.5026,1429502.5999
2,2058.6103,1429.5063,1429506.2999
2,2059.2135,1430.1095,1430109.4999
2,2059.2231,1430.1191,1430119.0999
2,2059.2345,1430.1305,1430130.4999
2,2069.0731,1439.9691,1439969.0999
2,2141.9226,1512.8186,1512818.5999
2,2141.9449,1512.8409,1512840.8999
2,2143.6947,1514.5907,1514590.6999
2,2143.6995,1514.5955,1514595.4999
2,2144.3259,1515.2219,1515221.8999
2,2144.3575,1515.2535,1515253.4999
2,2170.8922,1541.7882,1541788.1999
2,2188.6185,1559.5145,1559514.4999
2,2215.0439,1585.9399,1585939.8999
2,2228.2346,1599.1306,1599130.5999
2,2228.2479,1599.1439,1599143.8999
2,2278.6716,1649.5676,1649567.5999
2,2278.6906,1649.5866,1649586.5999
2,2278.7024,1649.5984,1649598.3999
2,2282.6045,1653.5005,1653500.4999
2,2330.2066,1701.1026,1701102.5999
2,2330.8117,1701.7077,1701707.6999
2,2354.9387,1725.8347,1725834.6999
2,2367.2709,1738.1669,1738166.8999
2,2419.6275,1790.5235,1790523.4999
2,2427.4560,1798.3520,1798351.9999
2,2512.5235,1883.4195,1883419.4999
2,2512.5266,1883.4226,1883422.5999
2,2618.0102,1988.9062,1988906.1999
2,2631.3112,2002.2072,2002207.1999
2,2631.3223,2002.2183,2002218.2999
2,2631.3946,2002.2906,2002290.5999
2,2632.8584,2003.7544,2003754.3999
2,2632.8855,2003.7815,2003781.4999
2,2663.2793,2034.1753,2034175.2999
2,2668.3473,2039.2433,2039243.2999
